	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Co D6	III_14_0081	Sewen, Sewen	6.90688, 47.80694	héwåmm	h é w å mm	hewåmm	h e w å mm	1
1	Co D1	III_14_0082	Dollern (Dolleren), Dollern	6.93211, 47.80559	hewamm	h e w a mm	hewann	h e w a nn	2
2	Co D3	III_14_0080	Rimbach-Pès-Masevaux), Rimbach	6.9473, 47.82212	hewamm	h e w a mm	hebamme	h e b a mm e	2
3	Co p 2	III_13_0094	Wildenstein bei Krüt, Kreis Tann, Wildenstein	6.96296, 47.98143	hebåmme	h e b å mm e	hebamm	h e b a mm	2
4	Co p 1	III_13_0095	Krüt (Kruth), Krüt	6.96629, 47.92912	hewamm	h e w a mm	hebamme	h e b a mm e	2
5	Co D8	III_14_0085	Niederbruck, Niederbruck	6.97173, 47.78361	hewāmma	h e w ā mm a	hewamma	h e w a mm a	1
6	Co w 1	III_14_0004	Oderen, Odern	6.97525, 47.91008	hewamm	h e w a mm	hebamm	h e b a mm	1
7	Hag D 2	III_5_0022	Altweiler (Altwiller), Altweiler	6.98122, 48.93023	hewång	h e w å n g	hebamme	h e b a mm e	5
8	Co w 3	III_14_0006	Hüsseren-Wesserling (Husseren-Wesserling), Hüssern-Wesserling	6.98836, 47.88519	héwamm	h é w a mm	hebamme	h e b a mm e	3
9	Co E4	III_14_0087	Aue (Lauw), Aue	7.02216, 47.75778	hewama	h e w a m a	hewåma	h e w å m a	1
10	Co E1	III_14_0088	Oberburbach (Bourbach-Les-Haut), Oberburbach	7.02973, 47.7953	hewahma	h e w a h m a	hewamma	h e w a mm a	1
11	Co x 5	III_14_0009	St. Amarin, St. Amarin	7.03186, 47.87365	hebāmma	h e b ā mm a	hewama	h e w a m a	3
12	Co q 5	III_13_0096	Mittlach, Mittlach	7.03325, 48.00405	hewåmma	h e w å mm a	hewanmm	h e w a n mm	3
13	Co x 3	III_14_0010	Malmerspach, Malmerspach	7.03487, 47.86486	hewam	h e w a m	hebamme	h e b a mm e	3
14	Hag E 9	III_5_0027	Harskirchen, Harskirchen	7.0389, 48.93409	hewang	h e w a n g	hewamm	h e w a mm	2
15	Hag E 7	III_5_0024	Keskastel, Keskastel	7.04339, 48.96955	héwang	h é w a n g	hewang	h e w a n g	1
16	Co x 6	III_14_0011	Moosch, Moosch	7.04865, 47.86081	hewåmm	h e w å mm	he̠wamm	h e ̠ w a mm	2
17	Hag M 12	III_6_0005	Diedendorf, Diedendorf	7.04974, 48.87869	hewām	h e w ā m	hewamm	h e w a mm	2
18	Hag E 8	III_5_0026	Schopperten, Schopperten	7.05316, 48.94524	hewamm	h e w a mm	hewang	h e w a n g	2
19	Co E3	III_14_0090	Sentheim, Sentheim	7.0544, 47.75581	hǟwammå	h ǟ w a mm å	hēwammă	h ē w a mm ă	2
20	Co M2	III_15_0001	Obersulzbach Kreis Tann (Soppe-Le-Haut), Obersulzbach <Morzweiler> Morzweiler steht nur auf S.1	7.05724, 47.73372	hewamma	h e w a mm a	hewamm	h e w a mm	1
21	Co T9	III_16_0014	Gottestal, Luttern (Valdieu-Lutran), Gottestal	7.05852, 47.63139	hewāmm	h e w ā mm	hebamme	h e b a mm e	3
22	Hag T 2	III_7_0006	Kirberg (Kirrberg), Kirberg	7.06204, 48.8233	häwam	h ä w a m	hewang	h e w a n g	3
23	Co M7	III_15_0007	St Kosman (Saint-Cosme), St. Kosman	7.06248, 47.68339	hewamm	h e w a mm	hewamma	h e w a mm a	1
