	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	KST t5	III_20_0030	Oberacker, Oberacker	8.71399, 49.1087	äbire	ä b i r e	äbiere	ä b ie r e	1
1	KST t10	III_20_0031	Menzingen, Menzingen	8.77067, 49.13931	erbīre	e r b ī r e	ärbierä	ä r b ie r ä	4
2	KST m5	III_19_0031, III_19_0030	Michelfeld, Michelfeld	8.7808, 49.22723	erbīere	e r b ī e r e	erbire	e r b i r e	2
3	KST t9	III_20_0034	Bahnbrücken, Bahnbrücken	8.78671, 49.11865	ärbiere	ä r b ie r e	äbiere	ä b ie r e	1
4	KST t11	III_20_0033	Landshausen, Landshausen	8.80627, 49.14899	erbiere	e r b ie r e	erbier	e r b ie r	1
5	KST t8	III_20_0040	Zaisenhausen, Zaisenhausen	8.81712, 49.10745	äbiera	ä b ie r a	äbira	ä b i r a	1
6	KST n1	III_19_0034	Dühren, Dühren	8.83562, 49.24557	erbira	e r b i r a	erbiere	e r b ie r e	2
7	KST B1	III_21_0033	Kürnbach, Kürnbach	8.84279, 49.07732	arbierä	a r b ie r ä	erbiere	e r b ie r e	2
8	KST u4	III_20_0041	Rohrbach (am Giesshübel), Rohrbach	8.85649, 49.14055	erbire	e r b i r e	erbiere	e r b ie r e	1
9	KST n13	III_19_0037	Weiler, Weiler	8.87587, 49.20862	erbire	e r b i r e	erdbire	e r d b i r e	1
10	KST n10	III_20_0046	Adelshofen, Adelshofen	8.89073, 49.16806	äbbiere	ä bb ie r e	erbiere	e r b ie r e	2
11	KST u6	III_20_0052	Mühlbach, Mühlbach	8.90301, 49.09703	ärbirre	ä r b i rr e	ärbiere	ä r b ie r e	1
12	KST u3	III_20_0050, III_20_0047, III_20_0051, III_20_0049, III_20_0048	Eppingen, Eppingen	8.9098, 49.13704	erbiere	e r b ie r e	ärbiera	ä r b ie r a	2
13	KST n9	III_19_0046	Ittlingen, Ittlingen	8.93691, 49.19224	erbiere	e r b ie r e	erdbire	e r d b i r e	2
14	KST n8	III_19_0047	Richen, Richen	8.94083, 49.17134	erbīre	e r b ī r e	ärbierä	ä r b ie r ä	4
15	KST n7	III_19_0048	Berwangen, Berwangen	8.98098, 49.18431	äbire	ä b i r e	erdbiere	e r d b ie r e	4
16	KST u1	III_20_0053, III_20_0056, III_20_0054, III_20_0055	Gemmingen, Gemmingen	8.98358, 49.15633	äbiere	ä b ie r e	erbire	e r b i r e	3
17	TÜB g1	III_25_0044	Sindelfingen, Sindelfingen	9.00194, 48.70797	a͜ebirâ	a ͜ e b i r â	erdbirn	e r d b i r n	4
18	KST g3	III_18_0062	Hüffenhardt, Hüffenhardt	9.08386, 49.2913	erdbieren	e r d b ie r e n	erbieren	e r b ie r e n	1
19	KST o3	III_19_0058, III_19_0057	Bad Rappenau, Bad Rappenau	9.10212, 49.24032	erbiire	e r b ii r e	erbiere	e r b ie r e	1
20	KST v1	III_20_0066	Schluchtern, Schluchtern	9.1026, 49.14843	erbiere	e r b ie r e	erdbirne	e r d b i r n e	3
21	MH Y4	III_18_0076	Stein am Kocher, Stein	9.29954, 49.26198	äbbirre	ä bb i r r e	äbbirn	ä bb i r n	2
22	STU h1	III_24_0080	Stetten/Remstal, Stetten/Remstal	9.34045, 48.79285	ebbira	e bb i r a	äbira	ä b i r a	2
23	STU u1	III_26_0090	Nürtingen, Nürtingen	9.34192, 48.62663	aibire	a i b i r e	ebier	e b ie r	4
24	MH Z1	III_18_0081	Ruchsen, Ruchsen	9.37887, 49.31914	äbbirn	ä bb i r n	erdbirn	e r d b i r n	3
25	MH V2	II_93_0002	Sennfeld, Sennfeld	9.38438, 49.38045	äbiern	ä b ie r n	äbier	ä b ie r	1
26	MH V1	II_93_0003	Adlesheim, Adlesheim	9.39101, 49.40289	erbiern	e r b ie r n	erbiere	e r b ie r e	1
27	MH V5	II_93_0004	Korb, Korb	9.39732, 49.35594	äbbirn	ä bb i r n	erdbirn	e r d b i r n	3
28	MH V3	II_93_0005	Leibenstadt, Leibenstadt	9.42028, 49.36861	ebiern	e b ie r n	erbiern	e r b ie r n	1
29	MH N5	II_92_0007, II_92_0006	Osterburken, Osterburken	9.42838, 49.4308	ebirn	e b i r n	aebiirn	a e b ii r n	2
30	MH V4	II_93_0006	Unterkessach, Unterkessach	9.43829, 49.34571	äbīrn	ä b ī r n	ēbirn	ē b i r n	2
31	MH N7	II_92_0009	Sindolsheim, Sindolsheim	9.45384, 49.48715	ebīrn	e b ī r n	ebiern	e b ie r n	2
