	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Co D1	III_14_0082	Dollern (Dolleren), Dollern	6.93211, 47.80559	hārdäpfel	h ā r d ä p f e l	hardäpfel	h a r d ä p f e l	1
1	Co D2	III_14_0083	Oberbruck, Oberbruck	6.94324, 47.80838	hardäpfel	h a r d ä p f e l	herdäpfel	h e r d ä p f e l	1
2	Co D3	III_14_0080	Rimbach-Pès-Masevaux), Rimbach	6.9473, 47.82212	ardäpfel	a r d ä p f e l	erdäpfel	e r d ä p f e l	1
3	Co D4	III_14_0084	Kirchberg-Wegscheid, Kirchberg	6.95965, 47.79904	herdäpfel	h e r d ä p f e l	hardäpfel	h a r d ä p f e l	1
4	Co p 2	III_13_0094	Wildenstein bei Krüt, Kreis Tann, Wildenstein	6.96296, 47.98143	hārdepfl	h ā r d e p f l	hardäpfel	h a r d ä p f e l	3
5	Co w 1	III_14_0004	Oderen, Odern	6.97525, 47.91008	härdepfel	h ä r d e p f e l	hardepfel	h a r d e p f e l	1
6	Co w 3	III_14_0006	Hüsseren-Wesserling (Husseren-Wesserling), Hüssern-Wesserling	6.98836, 47.88519	hardepfel	h a r d e p f e l	hartäpfel	h a r t ä p f e l	2
7	Co x 1	III_14_0008	Ranspach, Ranspach	7.01113, 47.88081	hārdepfel	h ā r d e p f e l	hardepfel	h a r d e p f e l	1
8	Co x 5	III_14_0009	St. Amarin, St. Amarin	7.03186, 47.87365	ardäpfel	a r d ä p f e l	ardepfl	a r d e p f l	2
9	Co q 5	III_13_0096	Mittlach, Mittlach	7.03325, 48.00405	hardepfel	h a r d e p f e l	ardepfel	a r d e p f e l	1
10	Co x 3	III_14_0010	Malmerspach, Malmerspach	7.03487, 47.86486	hardepfel	h a r d e p f e l	hardäpfel	h a r d ä p f e l	1
11	Co x 6	III_14_0011	Moosch, Moosch	7.04865, 47.86081	hardepfel	h a r d e p f e l	ha̠rde̠pfel	h a ̠ r d e ̠ p f e l	2
12	Co E3	III_14_0090	Sentheim, Sentheim	7.0544, 47.75581	härdäpfl	h ä r d ä p f l	hārdäpfl	h ā r d ä p f l	1
13	Co M2	III_15_0001	Obersulzbach Kreis Tann (Soppe-Le-Haut), Obersulzbach <Morzweiler> Morzweiler steht nur auf S.1	7.05724, 47.73372	hardäpfell	h a r d ä p f e ll	hardäpfel	h a r d ä p f e l	1
14	Co x 9	III_14_0013	Geishausen, Geishausen	7.05832, 47.88017	hardepfel	h a r d e p f e l	herdepfel	h e r d e p f e l	1
15	Co T9	III_16_0014	Gottestal, Luttern (Valdieu-Lutran), Gottestal	7.05852, 47.63139	hardäpfel	h a r d ä p f e l	erdäpfel	e r d ä p f e l	2
16	Co E2	III_14_0091	Niederburbach (Bourbach-Le-Bas), Niederburbach	7.05868, 47.77527	hardäpfel	h a r d ä p f e l	hardepfel	h a r d e p f e l	1
17	Co M7	III_15_0007	St Kosman (Saint-Cosme), St. Kosman	7.06248, 47.68339	hardäpfel	h a r d ä p f e l	hartepfl	h a r t e p f l	3
18	Co T1	III_15_0008	Brückensweiler (Bréchaumont), Brückensweiler	7.0684, 47.66973	hardepfel	h a r d e p f e l	hartäpfel	h a r t ä p f e l	2
19	Co E13	III_14_0092	Rammersmatt, Rammersmatt	7.07084, 47.78935	hardäpfel	h a r d ä p f e l	hardöpf	h a r d ö p f	3
20	Co i 3	III_13_0008	Metzeral, Metzeral	7.07146, 48.01325	hardepfel	h a r d e p f e l	ardäpfel	a r d ä p f e l	2
21	Co q 4	III_13_0097	Sondernach, Sondernach	7.07276, 47.99621	ārdäpfel	ā r d ä p f e l	ardäpfel	a r d ä p f e l	1
22	Co i 10	III_13_0007	Mühlbach (Muhlbach-Sur-Munster), Mühlbach	7.08731, 48.02582	ardäpfel	a r d ä p f e l	ardepfel	a r d e p f e l	1
23	Co M1	III_15_0002	Gewenheim, Gewenheim	7.0913, 47.75291	hardäpfel	h a r d ä p f e l	härdäpfel	h ä r d ä p f e l	1
24	Co T8	III_16_0017	Retzweiler, Retzweiler	7.09315, 47.63072	hardöpfel	h a r d ö p f e l	hardäpfel	h a r d ä p f e l	1
25	Co E6	III_14_0093	Leimbach, Leimbach	7.09999, 47.79305	hardepfel	h a r d e p f e l	haardepfel	h aa r d e p f e l	1
26	Co i 7	III_13_0006	Breitenbach (Breitenbach-Haut-Rhin), Breitenbach	7.10087, 48.02382	ardäpfel	a r d ä p f e l	erdäpfel	e r d ä p f e l	1
27	Co i 9	III_13_0003, III_13_0004	Stossweier, Stossweier	7.10163, 48.05432	ardepfel	a r d e p f e l	hardäpfel	h a r d ä p f e l	2
28	Co i 2	III_13_0009	Sulzern (Soultzeren), Sulzern	7.10254, 48.06373	hardäpfel	h a r d ä p f e l	ardöpfel	a r d ö p f e l	2
29	Co x 7	III_14_0014	Goldbach-Altenbach, Goldbach-Altenbach	7.10326, 47.87359	herdepfel	h e r d e p f e l	herdöpfel	h e r d ö p f e l	1
30	Co E7	III_14_0094	Tann (Thann), Thann	7.10335, 47.81019	hardäpfel	h a r d ä p f e l	hardepfel	h a r d e p f e l	1
31	Co T12	III_16_0002	Altenach, Altenach	7.11466, 47.60658	hârdepfel	h â r d e p f e l	ardäpfel	a r d ä p f e l	3
32	Co i 6	III_13_0005	Luttenbach (Luttenbach-Près-Munster), Luttenbach	7.11745, 48.03105	hardepfel	h a r d e p f e l	ardepfel	a r d e p f e l	1
33	Co T13	III_16_0003	St. Ulrich bei Dammerkirch, St. Ulrich	7.11911, 47.59537	hardäpfl	h a r d ä p f l	hāᵉrdepfl	h ā ᵉ r d e p f l	3
34	Co T6	III_16_0018	Dammerkirch (Dannemarie), Dammerkirch	7.1214, 47.63024	hardepfl	h a r d e p f l	hardepfel	h a r d e p f e l	1
35	Co i 5	III_13_0002	Hohrod, Hohrod	7.12607, 48.05444	ardepfl	a r d e p f l	ardepfel	a r d e p f e l	1
36	Co i 1/1, Co i 1/2	III_13_0065	Münster (Munster), Münster	7.13185, 48.0418	ardäpfel	a r d ä p f e l	arddepfel	a r dd e p f e l	2
37	Co T5	III_16_0004	Gommersdorf, Gommersdorf	7.13318, 47.64299	hardöpfel	h a r d ö p f e l	hardäpfl	h a r d ä p f l	2
38	Co E10	III_14_0098	Oberasbach (Aspach-Le-Haute), Oberaspach	7.13352, 47.77692	hartepfel	h a r t e p f e l	hartepfl	h a r t e p f l	1
39	Co M8	III_15_0011, III_15_0010	Gildweiler (Gildwiller), Falkweiler, Hecken, Falkweiler, Gildweiler	7.13461, 47.6894	herdepfel	h e r d e p f e l	erdapfel	e r d a p f e l	2
40	Co i 8	III_13_0001	Hohrodberg, Hohrodberg	7.13528, 48.06037	ardäpfel	a r d ä p f e l	àrdäpfel	à r d ä p f e l	1
41	Co Vc 2	III_16_0011	Hindlingen, Hindlingen	7.13734, 47.57341	hardäpfel	h a r d ä p f e l	artäpfel	a r t ä p f e l	2
42	Co q 7	III_13_0099	Lautenbachzell, Lautenbachzell	7.14925, 47.94057	hartäpfel	h a r t ä p f e l	ardäpfel	a r d ä p f e l	2
43	Co T3	III_16_0008	Büttweiler (Buethwiller), Bütweiler	7.14982, 47.65627	hardäpfel	h a r d ä p f e l	erdäpfel	e r d ä p f e l	2
44	Co M4	III_15_0014	Oberburnhaupt (Burnhaupt-Le-Haut), Oberburnhaupt	7.14988, 47.72886	hardepfel	h a r d e p f e l	hārdepfel	h ā r d e p f e l	1
45	Co E11	III_14_0099	Niederasbach (Aspach-Le-Bas), Niederaspach	7.15065, 47.7618	hartepfl	h a r t e p f l	hardepfel	h a r d e p f e l	2
46	Co x 8	III_14_0015	Rimbach bei Gebweiler (Rimbach-près-Guebwiller), Rimbach	7.15658, 47.90483	hardäpfel	h a r d ä p f e l	herdäpfel	h e r d ä p f e l	1
47	Co T4	III_16_0009	Hagenbach, Hagenbach	7.15712, 47.65028	ardäpfel	a r d ä p f e l	ardepfel	a r d e p f e l	1
48	Co q 2	III_13_0100	Lautenbach (Kreis Tann), Lautenbach	7.15877, 47.9414	hardäpfel	h a r d ä p f e l	hartepfel	h a r t e p f e l	2
49	Co q 3	III_13_0011	Wasserburg Kreis Colmar (Wasserbourg), Wasserburg	7.15948, 48.00283	hardäpfel	h a r d ä p f e l	erdapfel	e r d a p f e l	3
50	Co M5	III_15_0013	Niederburnhaupt (Burnhaupt-Le-Bas), Niederburnhaupt	7.16039, 47.71674	herdöpfel	h e r d ö p f e l	hardäpfel	h a r d ä p f e l	2
51	Co q 6	III_13_0101	Murbach, Murbach	7.1604, 47.92318	hārdäpfel	h ā r d ä p f e l	hardäpfel	h a r d ä p f e l	1
52	Co T15	III_16_0010	Ballersdorf, Ballersdorf	7.1624, 47.625	hardäpfel	h a r d ä p f e l	hartäpfel	h a r t ä p f e l	1
53	Co N1	III_14_0100	Schweighausem (Schweighouse-Thann), Schweighausen	7.16714, 47.75272	härdöpfel	h ä r d ö p f e l	herdepfel	h e r d e p f e l	2
54	Co N12	III_15_0028	Balschweiler bei Altkirch, Balschweiler	7.1681, 47.66772	hardäpfl	h a r d ä p f l	hardebfel	h a r d e b f e l	3
55	Co k 2	III_13_0015	Günsbach (Gunsbach), Günsbach	7.17323, 48.0464	hardepfel	h a r d e p f e l	ardäpfel	a r d ä p f e l	2
56	Co F5	III_14_0016	Wattweiler (Wattwiller), Wattweiler	7.17766, 47.83549	hardepfl	h a r d e p f l	hardepfel	h a r d e p f e l	1
57	Co F2	III_14_0097	Sennheim (Cerany), Sennheim	7.17837, 47.80918	hārdepfel	h ā r d e p f e l	hardäpfel	h a r d ä p f e l	2
58	Stra V 1, Stra U 1/1, Stra U 1/2	III_12_0002	Markich (Sainte-Marie-Aux-Marines), Markirch	7.17972, 48.24483	hardebfel	h a r d e b f e l	hardäpfel	h a r d ä p f e l	2
59	Co r 9	III_13_0103	Bühl Landkreis Gebweiler (Buhl), Bühl	7.18638, 47.92816	hårdäpfel	h å r d ä p f e l	hardtåpfel	h a r d t å p f e l	3
60	Co Ua 5	III_17_0030	Largitzen, Largitzen	7.1873, 47.56163	hardäpfel	h a r d ä p f e l	herdäpfel	h e r d ä p f e l	1
61	Co N14	III_15_0027	Bernweiler (Bernwiller), Bernweiler	7.19368, 47.69085	hardäpfel	h a r d ä p f e l	hardäpfl	h a r d ä p f l	1
62	Co N13	III_15_0029	Enschingen (Saint-Bernard), Enschingen	7.20293, 47.67101	hardäpfel	h a r d ä p f e l	erdäpfel	e r d ä p f e l	2
63	Co k 11	III_13_0027	Sulzbach (Soultzbach-Les-Bains), Sulzbach	7.20324, 48.03797	erdäpfel	e r d ä p f e l	hardepfel	h a r d e p f e l	3
64	Co y 4	III_14_0019	Wünheim, Wünheim	7.20969, 47.87406	hardäpfel	h a r d ä p f e l	hadäpfel	h a d ä p f e l	1
65	Co y 13, Co y 13, 14, Co y 5, Co y 14	III_14_0027	Gebweiler (Guebwiller), Gebweiler (Guebwiller) , Gebweiler	7.21078, 47.9095	hartäpfel	h a r t ä p f e l	hardäpfel	h a r d ä p f e l	1
66	Co Ua 12	III_17_0012	Mooslargue, Moos	7.21833, 47.50939	hardäpfel	h a r d ä p f e l	hardäpfl	h a r d ä p f l	1
67	Co r 2	III_13_0104	Osenbach, Osenbach	7.21903, 47.98623	hardäpfel	h a r d ä p f e l	herdaepfil	h e r d a e p f i l	4
68	Co Ua 6	III_17_0013	Bisel, Bisel	7.22032, 47.53456	hardepfel	h a r d e p f e l	hardäpfel	h a r d ä p f e l	1
69	Co N11	III_15_0017	Galfingen (Galfingue), Galfingen	7.22481, 47.70563	hardepfel	h a r d e p f e l	hardäpfel	h a r d ä p f e l	1
70	Co N15	III_15_0021	Heimsbrunn, Heimsbrunn	7.22696, 47.72682	hardepfel	h a r d e p f e l	hardäpfel	h a r d ä p f e l	1
71	Co U 5	III_16_0027	Aspach, Aspach	7.23354, 47.6401	ardäpfel	a r d ä p f e l	hartäpfel	h a r t ä p f e l	2
72	Co r 7/1	III_13_0105	Bergholzzell, Orschweier (Bergholtzzell, Orschwihr), Bergholzzell	7.23501, 47.9292	hardäpfel	h a r d ä p f e l	hardapfel	h a r d a p f e l	1
73	Co k 15	III_13_0012	Zimmerbach, Zimmerbach	7.23755, 48.07261	hardäpfl	h a r d ä p f l	herdäpfel	h e r d ä p f e l	2
