	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Hag D 2	III_5_0022	Altweiler (Altwiller), Altweiler	6.98122, 48.93023	grumbēre	g r u m b ē r e	grumbiere	g r u m b ie r e	2
1	Co x 5	III_14_0009	St. Amarin, St. Amarin	7.03186, 47.87365	grundbirne	g r u n d b i r n e	grumbera	g r u m b e r a	5
2	Hag E 9	III_5_0027	Harskirchen, Harskirchen	7.0389, 48.93409	grummber	g r u mm b e r	grumbeer	g r u m b ee r	2
3	Hag E 7	III_5_0024	Keskastel, Keskastel	7.04339, 48.96955	grumbire	g r u m b i r e	grumbier	g r u m b ie r	2
4	Hag M 12	III_6_0005	Diedendorf, Diedendorf	7.04974, 48.87869	grumbeere	g r u m b ee r e	grumbeer	g r u m b ee r	1
5	Hag E 8	III_5_0026	Schopperten, Schopperten	7.05316, 48.94524	grumbeer	g r u m b ee r	grumbeere	g r u m b ee r e	1
6	Hag T 2	III_7_0006	Kirberg (Kirrberg), Kirberg	7.06204, 48.8233	grumbier	g r u m b ie r	grumbirr	g r u m b i rr	1
7	Hag M 2	III_6_0002	Pisdorf (Bischtroff-sur-Sarre), Pisdorf	7.06995, 48.9005	grumbier	g r u m b ie r	krummbire	k r u mm b i r e	4
8	Hag M 11/2, Hag M 11/1	III_6_0003	Wolfskirchen, Wolfskirchen	7.07612, 48.87884	krummbeer	k r u mm b e e r	grumbeer	g r u m b ee r	2
9	Hag M 1	III_5_0034	Zollingen, Zollingen	7.07636, 48.91048	grůmbeer	g r ů m b ee r	grummberre	g r u mm b e r r e	4
10	Hag T 4	III_7_0013	Goerlingen, Görlingen	7.08247, 48.79646	grumbier	g r u m b ie r	grumbiere	g r u m b ie r e	1
11	Hag x 2	III_4_0053	Herbitzheim, Herbitzheim	7.08355, 49.01459	grumbeere	g r u m b ee r e	grumbier	g r u m b ie r	2
12	Hag E 5	III_5_0033	Saarwerden (Sarrewerden), Saarwerden	7.08411, 48.9218	grumbēre	g r u m b ē r e	grumbär	g r u m b ä r	2
13	Hag M 10	III_6_0012	Bärendorf (Baerendorf), Bärendorf	7.08463, 48.83742	krummbir	k r u mm b i r	krumbier	k r u m b ie r	2
14	Hag E 6/1, Hag E 6/2	III_5_0028, III_5_0029	Saarbuckenheim (Sarre-Union), Saarbuckenheim	7.08686, 48.93919	grumbeer	g r u m b ee r	grumbier	g r u m b ie r	1
15	Hag x 1	III_4_0044	Silzheim (Siltzheim), Silzheim	7.09071, 49.0616	grumbiere	g r u m b ie r e	grumbeern	g r u m b ee r n	2
