	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Ma h2/3, Ma h2/1, Ma h2/2	II_59_0064	Neckarau, Mannheim-Neckarau, Mannheim	8.49104, 49.45335	kadoffl	k a d o ff l	katoffle	k a t o ff l e	2
1	MH z4/2, MH z4/1	II_58_0065, II_58_0066	Mannheim-Käfertal, Käferthal	8.51715, 49.51259	kadoffel	k a d o ff e l	kartoffelä	k a r t o ff e l ä	3
2	MH Q7	II_60_0033	Ketsch, Ketsch	8.52432, 49.3678	kadoffl	k a d o ff l	kartoffel	k a r t o ff e l	3
3	MH H2	II_59_0067	Feudenheim, Feudenheim	8.53299, 49.4864	kardoffl	k a r d o ff l	kartoffel	k a r t o ff e l	2
4	MH Q1	II_60_0032	Brühl, Brühl	8.53485, 49.3951	kartoffel	k a r t o ff e l	kadoffl	k a d o ff l	3
5	KST d1	III_18_0015	Hockenheim, Hockenheim	8.54755, 49.31857	kadoffl	k a d o ff l	katoffl	k a t o ff l	1
6	MH H6	II_59_0068	Seckenheim, Seckenheim	8.56313, 49.46724	katoffl	k a t o ff l	kadoffl	k a d o ff l	1
7	MH H3	II_59_0069	Ilvesheim, Ilvesheim	8.56668, 49.47129	kadoffel	k a d o ff e l	kartoffel	k a r t o ff e l	2
8	KST d4	III_18_0018	Reilingen, Reilingen	8.56943, 49.29368	kårtoffl	k å r t o ff l	kartoffl	k a r t o ff l	1
9	MH Q2	II_60_0035, II_60_0034	Schwetzingen, Schwetzingen	8.57064, 49.38567	kardoffl	k a r d o ff l	kadoffl	k a d o ff l	1
10	MH Q6	II_60_0092	Oftersheim, Oftersheim	8.58107, 49.36823	kartoffel	k a r t o ff e l	kardoffl	k a r d o ff l	2
11	MH Q3	II_60_0036	Plankstadt, Plankstadt	8.59271, 49.39179	katoffel	k a t o ff e l	kartoffel	k a r t o ff e l	1
12	MH H5	II_59_0072	Neckarhausen, Neckarhausen	8.60233, 49.46433	kadoffl	k a d o ff l	kartoffel	k a r t o ff e l	3
13	MH z3	II_58_0067	Heddesheim, Heddesheim	8.60327, 49.50529	kadofl	k a d o f l	kartoffel	k a r t o ff e l	4
14	MH H4	II_59_0070	Ladenburg, Ladenburg	8.61098, 49.47244	kardoffl	k a r d o ff l	kartoffel	k a r t o ff e l	2
15	MH H8	II_59_0073	Edingen, Edingen	8.61196, 49.44847	katoffeln	k a t o ff e l n	kartoffeln	k a r t o ff e l n	1
16	MH Q4	II_60_0037	Eppelheim, Eppelheim	8.62885, 49.40164	kardoffel	k a r d o ff e l	kadofl	k a d o f l	3
17	KST d5	III_18_0020	Walldorf, Walldorf	8.64294, 49.3028	kadoffel	k a d o ff e l	kartoffel	k a r t o ff e l	2
18	MH r1	II_57_0082, II_57_0081	Laudenbach, Laudenbach	8.65434, 49.6119	kardoffl	k a r d o ff l	kartoffel	k a r t o ff e l	2
19	MH H11	II_58_0068	Leutershausen, Leutershausen	8.65616, 49.49821	kadoffl	k a d o ff l	kartoffl	k a r t o ff l	2
20	MH z1	II_58_0072	Sulzbach, Sulzbach	8.661, 49.57763	kardoffl	k a r d o ff l	kartoffl	k a r t o ff l	1
21	MH J1	II_59_0071	Schrießheim, Schriesheim	8.66514, 49.47649	kardoffl	k a r d o ff l	kartoffel	k a r t o ff e l	2
22	MH A2	II_58_0071	Lützelsachsen, Lützelsachsen	8.66627, 49.52737	kadoffel	k a d o ff e l	kartoffel	k a r t o ff e l	2
23	MH J2	II_59_0076	Dossenheim, Dossenheim	8.66806, 49.44988	kadoffl	k a d o ff l	katoffl	k a t o ff l	1
