	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Hag V 9	III_7_0045, III_7_0046	St, Johann (Saint-Jean-Saverne), St, Johann	7.36064, 48.76931	müllwarfl	m ü ll w a r f l	mullwarfl	m u ll w a r f l	1
1	Stra t 12	III_10_0023	Mollkirch, Mollkirch	7.38528, 48.50755	müllwerwel	m ü ll w e r w e l	mülwarfel	m ü l w a r f e l	3
2	Stra A 7	III_10_0095	St, Nabor (Sain-Nabor), St, Nabor	7.42423, 48.4458	mülwarfel	m ü l w a r f e l	müllwarfel	m ü ll w a r f e l	1
3	Stra t 11	III_10_0021	Rosenweiler, Rosenweiler	7.4409, 48.50587	müllwårfl	m ü ll w å r f l	mülwarfel	m ü l w a r f e l	3
4	Stra A 1/3, Stra A 1/2, Stra A 1/1	III_10_0087	Rosheim, Rosheim	7.46905, 48.49622	mühlwarfel	m ü h l w a r f e l	mülwarfel	m ü l w a r f e l	1
5	Stra A 2	III_10_0088	Bischofsheim (Bischoffsheim), Bischofsheim	7.49675, 48.48669	müllwarfel	m ü ll w a r f e l	mülwarfel	m ü l w a r f e l	1
6	Stra u 17	III_10_0028	Kolbsheim, Kolbsheim	7.58834, 48.56138	müllwarfel	m ü ll w a r f e l	mülwarfel	m ü l w a r f e l	1
7	Stra u 14	III_10_0035	Bläsheim, Bläsheim	7.60783, 48.50535	müllwarfel	m ü ll w a r f e l	mülwaerfel	m ü l w a e r f e l	2
8	Stra u 10	III_10_0031	Hangenbieten, Hangenbieten	7.61529, 48.55876	müllwarfel	m ü ll w a r f e l	mülwarfl	m ü l w a r f l	2
9	Stra v 8	III_10_0032	Holzheim, Holzheim	7.64383, 48.55724	müllwarfle	m ü ll w a r f l e	müllwarfel	m ü ll w a r f e l	2
10	KST y 4	III_21_0021	Grötzingen, Grötzingen	8.49556, 49.00711	maulwerfel	m a u l w e r f e l	murwerfel	m u r w e r f e l	2
11	MH L2	II_59_0101	Oberdielbach, Oberdielbach	9.05361, 49.44781	mullwǟrfle	m u ll w ǟ r f l e	mulwerfl	m u l w e r f l	3
12	MH L6	II_59_0102	Waldkatzenbach, Waldkatzenbach	9.05484, 49.45603	muhlwerfel	m u h l w e r f e l	mulwerfel	m u l w e r f e l	1
13	MH o7	II_89_0007	Nassig, Nassig	9.45146, 49.73582	moutwerfel	m o u t w e r f e l	mo̬utwörfel	m o ̬ u t w ö r f e l	2
14	MH o5	II_89_0009	Sachsenhausen, Sachsenhausen	9.49147, 49.73223	måutwerfel	m å u t w e r f e l	moudwürfl	m o u d w ü r f l	4
15	Hag V 9	III_7_0045, III_7_0046	St, Johann (Saint-Jean-Saverne), St, Johann	7.36064, 48.76931	müllwarfl	m ü ll w a r f l	müllwarfel	m ü ll w a r f e l	1
16	Hag V 9	III_7_0045, III_7_0046	St, Johann (Saint-Jean-Saverne), St, Johann	7.36064, 48.76931	müllwarfl	m ü ll w a r f l	mullwarfl	m u ll w a r f l	1
17	Stra A 1/3, Stra A 1/2, Stra A 1/1	III_10_0087	Rosheim, Rosheim	7.46905, 48.49622	müllwărfel	m ü ll w ă r f e l	mülwarfel	m ü l w a r f e l	2
18	Stra A 1/3, Stra A 1/2, Stra A 1/1	III_10_0087	Rosheim, Rosheim	7.46905, 48.49622	müllwarfel	m ü ll w a r f e l	mülwarfel	m ü l w a r f e l	1
19	Stra A 1/3, Stra A 1/2, Stra A 1/1	III_10_0087	Rosheim, Rosheim	7.46905, 48.49622	mühlwarfel	m ü h l w a r f e l	mülwarfel	m ü l w a r f e l	1
20	Stra A 2	III_10_0088	Bischofsheim (Bischoffsheim), Bischofsheim	7.49675, 48.48669	müllwarfel	m ü ll w a r f e l	mülwarfl	m ü l w a r f l	2
21	Stra A 2	III_10_0088	Bischofsheim (Bischoffsheim), Bischofsheim	7.49675, 48.48669	müllwarfel	m ü ll w a r f e l	mülwarfel	m ü l w a r f e l	1
