	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Hag T 2	III_7_0006	Kirberg (Kirrberg), Kirberg	7.06204, 48.8233	müllwärfer	m ü ll w ä r f e r	mülwerfer	m ü l w e r f e r	2
1	Hag T 3	III_7_0008	Rauweiler, Rauweiler	7.10907, 48.81139	müllwerfer	m ü ll w e r f e r	mülwerfer	m ü l w e r f e r	1
2	Hag M 8	III_6_0007	Eschweiler (Eschwiller), Eschweiler	7.11652, 48.8596	mülwerfer	m ü l w e r f e r	mǖlwerfer	m ü ̄ l w e r f e r	1
3	Hag M 7	III_6_0016	Eyweiler (Eywiller), Eyweiler	7.13172, 48.8709	müllwerfer	m ü ll w e r f e r	müllwärfer	m ü ll w ä r f e r	1
4	Hag N 9	III_6_0018	Adamsweiler (Adamswiller), Adamsweiler	7.20348, 48.90463	mǖlwerfr	m ǖ l w e r f r	mülwerfer	m ü l w e r f e r	2
5	Hag N 16	III_6_0028	Sieweiler (Siewiller), Sieweiler	7.20676, 48.84318	mülwerfer	m ü l w e r f e r	müllwerfer	m ü ll w e r f e r	1
6	Hag N 12	III_6_0023	Aßweiler (Asswiller), Assweiler	7.2198, 48.88035	müllwerfer	m ü ll w e r f e r	mülwerfer	m ü l w e r f e r	1
7	Hag N 14	III_6_0030, III_6_0029	Ottweiler (Ottwiller), Ottweiler	7.23096, 48.86516	mülwerfer	m ü l w e r f e r	mulwerfer	m u l w e r f e r	1
8	Hag N 15	III_6_0031	Lohr, Lohr	7.24351, 48.85748	mülwerfer	m ü l w e r f e r	müllwerfer	m ü ll w e r f e r	1
9	Hag N 5	III_6_0019	Tieffenbach, Tieffenbach	7.24987, 48.90483	mülwärfer	m ü l w ä r f e r	mülwelfer	m ü l w e l f e r	2
10	Hag N 4	III_5_0048	Weislingen, Weislingen	7.25159, 48.91879	mülwärfr	m ü l w ä r f r	müllwerfer	m ü ll w e r f e r	3
11	Hag N 6	III_6_0022	Strut (Struth), Strut	7.25475, 48.89009	mühlwerfer	m ü h l w e r f e r	mülwerfer	m ü l w e r f e r	1
12	Stra z 2	III_10_0086	Natzweiler, Natzweiler	7.25895, 48.43628	mulwarfr	m u l w a r f r	mülwarfr	m ü l w a r f r	1
13	Hag N 3	III_6_0020	Frohmühl (Frohmuhl), Frohmühl	7.28007, 48.90754	müllwerfer	m ü ll w e r f e r	mülwerfer	m ü l w e r f e r	1
14	Hag U 2	III_7_0034	Graufthal, Grauftal	7.28092, 48.81935	mülwälfer	m ü l w ä l f e r	mülwelver	m ü l w e l v e r	2
15	Stra G 7	III_11_0001	Bassenberg (Bassemberg), Bassenberg	7.28546, 48.33566	müllwalfer	m ü ll w a l f e r	mühwolfer	m ü h w o l f e r	3
16	Hag N 2	III_6_0021	Hinsburg (Hinsbourg), Hinsburg	7.28852, 48.90706	müllwerfer	m ü ll w e r f e r	mülwerfer	m ü l w e r f e r	1
17	Stra s 3	III_10_0003	Mühlbach (Muhlbach-Sur-Bruche), Mühlbach	7.29709, 48.51659	mülwaͤlfer	m ü l w a ͤ l f e r	müllwarfer	m ü ll w a r f e r	3
18	Stra l 1, Stra l 3	III_9_0005, III_9_0007	Engenthal, Engental, Engental-Windsburg, Engental	7.30153, 48.63467	mulwalfer	m u l w a l f e r	mülwalver	m ü l w a l v e r	2
19	Stra O 4	III_11_0086	Wanzel (La Vancelle), Wanzel	7.30201, 48.28406	mülwarfer	m ü l w a r f e r	müllwärfer	m ü ll w ä r f e r	2
20	Stra O 2	III_11_0084	Neukirch (Neuve-Église), Neukirch	7.31338, 48.32872	mülwolfer	m ü l w o l f e r	müllwolfer	m ü ll w o l f e r	1
21	Stra z 1/1, Stra z 1/2	III_10_0085	Grendelbruch, Grendelbruch	7.32375, 48.49241	mülwalfer	m ü l w a l f e r	müllwalfer	m ü ll w a l f e r	1
22	Stra s 2	III_10_0004	Urmatt, Urmatt	7.32457, 48.52675	müllwalfer	m ü ll w a l f e r	mülwarfer	m ü l w a r f e r	2
23	Stra s 1/1, Stra s 1/2	III_10_0001	Oberhaslach, Oberhaslach	7.33046, 48.5499	mülwärfer	m ü l w ä r f e r	mülwarfer	m ü l w a r f e r	1
24	Stra m 17	III_8_0043	Hengweiler, Hengweiler	7.33273, 48.66842	mülwarfer	m ü l w a r f e r	müllwerfer	m ü ll w e r f e r	2
25	Stra P 1	III_11_0091	St Moritz (Saint-Maurice), St, Moritz	7.33562, 48.32669	müllwalfer	m ü ll w a l f e r	mulwalfer	m u l w a l f e r	2
26	Hag G 1	III_5_0052	Rosteig, Rosteig	7.33838, 48.9327	meulwarfer	m e u l w a r f e r	mäulweafer	m ä u l w e a f e r	3
27	Stra t 14	III_10_0012	Niederhaslach, Niederhaslach	7.34119, 48.54244	müllwarfer	m ü ll w a r f e r	mullwarfer	m u ll w a r f e r	1
28	Stra e 1	III_7_0047	Otterstal, Ottersthal	7.34837, 48.75567	mülwalfer	m ü l w a l f e r	müllwelfer	m ü ll w e l f e r	2
29	Stra e 16	III_8_0040	Tal bei Maursmünster (Marmoutier), Tal-Maursmünster	7.35204, 48.70268	müllwälver	m ü ll w ä l v e r	mülwalfer	m ü l w a l f e r	3
30	Hag V 10	III_7_0044	Eckartsweiler, Eckartsweiler	7.357, 48.76744	mülwalfer	m ü l w a l f e r	müllwalfer	m ü ll w a l f e r	1
31	Stra e 19	III_8_0042	Dimbstal, Dimbstal	7.35926, 48.6727	mühlwalfer	m ü h l w a l f e r	müllwerfer	m ü ll w e r f e r	3
32	Hag O 4	III_6_0037	Erkartsweiler (Erckartswiller), Erkartsweiler	7.3596, 48.87532	mülwärfer	m ü l w ä r f e r	müllwellfer	m ü ll w e ll f e r	4
33	Stra P 2	III_11_0092	St Petersholz (Saint Pierre Bois), St, Petersholz	7.36093, 48.3272	mülwalver	m ü l w a l v e r	mülwalfer	m ü l w a l f e r	1
34	Stra e 2/3, Stra e 2/1, Stra e 2/2	III_8_0029	Zabern, Zabern	7.36605, 48.73948	mullwelfer	m u ll w e l f e r	mülwerfer	m ü l w e r f e r	3
