	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Hag x 1	III_4_0044	Silzheim (Siltzheim), Silzheim	7.09071, 49.0616	mulwurf	m u l w u r f	murwolf	m u r w o l f	3
1	Hag E 1	III_4_0050	Örmingen (Oermingen), Örmingen	7.12881, 49.00062	mürwölf	m ü r w ö l f	mülwurf	m ü l w u r f	3
2	Stra G 2	III_11_0004, III_11_0003	Breitenbach, Breitenbach	7.2921, 48.36514	mürwolf	m ü r w o l f	murwolf	m u r w o l f	1
3	Stra G 6	III_11_0005	Weiler (Villé), Weiler, ortsteil Erlenbach	7.30273, 48.34253	müllwolf	m ü ll w o l f	mürwolf	m ü r w o l f	2
4	Stra G 8	III_11_0006	Triembach (Triembach-Au-Val), Triembach	7.32386, 48.33763	mürwalf	m ü r w a l f	mürwolf	m ü r w o l f	1
5	Co l 1/3, Co l 1/2, Co l 1/1	III_13_0030	Kolmar (/Hausen an der Möhlin), Kolmar, Kolmar	7.36359, 48.08198	mülworf	m ü l w o r f	mulwurf	m u l w u r f	2
6	Co P8	III_15_0045	Bamlach, Bamlach	7.54942, 47.71753	mulwurf	m u l w u r f	mŭlwŭrf	m ŭ l w ŭ r f	2
7	Hag P 14	III_6_0066	Pfaffenhofen, Pfaffenhofen	7.60881, 48.84422	mǖlwurf	m ǖ l w u r f	mülwurf	m ü l w u r f	1
8	Co f 6	III_12_0124	Schelingen am Kaiserstuhl, Schelingen	7.68308, 48.10435	mülwurf	m ü l w u r f	muhlwurf	m u h l w u r f	2
9	Co g 2	III_12_0139	Waldkirch, Waldkirch	7.96049, 48.09361	mulwürf	m u l w ü r f	maulwurf	m a u l w u r f	2
10	TUTT p4	III_13_0155	Buchenbach, Buchenbach	8.00773, 47.96134	mūlwurf	m ū l w u r f	muulwurf	m uu l w u r f	2
11	TÜB h13	III_9_0096, III_9_0095	Neusatz , Neusatz	8.14904, 48.65879	mūlwurf	m ū l w u r f	mullwärf	m u ll w ä r f	3
12	TÜB x5	III_10_0145	Bad Rippoldsau, Bad Rippoldsau	8.32852, 48.42806	mūlwurf	m ū l w u r f	mulwurf	m u l w u r f	1
13	TUTT y4	III_35_0002	Reiselfingen, Reiselfingen	8.35108, 47.85467	mūlwurf	m ū l w u r f	mulworf	m u l w o r f	2
14	TUTT k9	III_33_0002	Herzogenweiler, Herzogenweiler	8.37157, 48.0254	maulwurf	m a u l w u r f	mulwuerf	m u l w u e r f	2
15	KST F2	III_22_0001	Bulach, Bulach	8.38244, 48.9868	maulwerf	m a u l w e r f	maulwurf	m a u l w u r f	1
