	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Co i 3	III_13_0008	Metzeral, Metzeral	7.07146, 48.01325	schärer	sch ä r e r	scharer	sch a r e r	1
1	Co q 4	III_13_0097	Sondernach, Sondernach	7.07276, 47.99621	schārer	sch ā r e r	scharer	sch a r e r	1
2	Co i 7	III_13_0006	Breitenbach (Breitenbach-Haut-Rhin), Breitenbach	7.10087, 48.02382	schārer	sch ā r e r	scharer	sch a r e r	1
3	Co i 9	III_13_0003, III_13_0004	Stossweier, Stossweier	7.10163, 48.05432	schaarer	sch aa r e r	schaara	sch aa r a	2
4	Co i 2	III_13_0009	Sulzern (Soultzeren), Sulzern	7.10254, 48.06373	schārer	sch ā r e r	scharer	sch a r e r	1
5	Co i 1/1, Co i 1/2	III_13_0065	Münster (Munster), Münster	7.13185, 48.0418	schār	sch ā r	scharer	sch a r e r	3
6	Co i 8	III_13_0001	Hohrodberg, Hohrodberg	7.13528, 48.06037	scharrer	sch a rr e r	schàrrer	sch à rr e r	1
7	Co Vc 2	III_16_0011	Hindlingen, Hindlingen	7.13734, 47.57341	schaar	sch aa r	chahr	ch a h r	2
8	Co T14	III_16_0006	Füllern (Fulleren), Füllern	7.14596, 47.59468	schar	sch a r	schaar	sch aa r	1
9	Co k 1	III_13_0016	Griesbach (Griesbach-Au-Val), Griesbach	7.17071, 48.03351	scharer	sch a r e r	schere	sch e r e	2
10	Co k 2	III_13_0015	Günsbach (Gunsbach), Günsbach	7.17323, 48.0464	schaarer	sch aa r e r	scherer	sch e r e r	2
11	Co N14	III_15_0027	Bernweiler (Bernwiller), Bernweiler	7.19368, 47.69085	schār	sch ā r	schar	sch a r	1
12	Co Ua 12	III_17_0012	Mooslargue, Moos	7.21833, 47.50939	schār	sch ā r	schar	sch a r	1
13	Co Ub 1	III_17_0063	Dürlinsdorf (Durlinsdorf), Dürlinsdorf	7.24121, 47.48531	schār	sch ā r	schär	sch ä r	1
