	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Co D6	III_14_0081	Sewen, Sewen	6.90688, 47.80694	schōrmüß	sch ō r m ü ß	scharrmüß	sch a rr m ü ß	2
1	Co D1	III_14_0082	Dollern (Dolleren), Dollern	6.93211, 47.80559	schōrmüss	sch ō r m ü ss	schormüss	sch o r m ü ss	1
2	Co D2	III_14_0083	Oberbruck, Oberbruck	6.94324, 47.80838	schormǖs	sch o r m ǖ s	scharmaus	sch a r m a u s	3
3	Co w 5	III_14_0001	Urbis, St, Amarintal (Urbès), Urbis	6.95521, 47.88255	scharrmus	sch a rr m u s	scharmüss	sch a r m ü ss	3
4	Co p 1	III_13_0095	Krüt (Kruth), Krüt	6.96629, 47.92912	scharmus	sch a r m u s	scharmüs	sch a r m ü s	1
5	Co D8	III_14_0085	Niederbruck, Niederbruck	6.97173, 47.78361	scharrmüs	sch a rr m ü s	scharmüs	sch a r m ü s	1
6	Co w 4	III_14_0003	Mollau , Mollau	6.97488, 47.87245	schärrmuss	sch ä rr m u s s	schermus	sch e r m u s	3
7	Co w 1	III_14_0004	Oderen, Odern	6.97525, 47.91008	schärmuus	sch ä r m uu s	scharrmus	sch a rr m u s	3
8	Co w 3	III_14_0006	Hüsseren-Wesserling (Husseren-Wesserling), Hüssern-Wesserling	6.98836, 47.88519	scharmus	sch a r m u s	schermaus	sch e r m a u s	2
9	Co x 2	III_14_0007	Mitzach, Mitzach	7.00519, 47.87122	scharrmūs	sch a rr m ū s	scharrmus	sch a rr m u s	1
10	Co x 1	III_14_0008	Ranspach, Ranspach	7.01113, 47.88081	scharmus	sch a r m u s	scharmuss	sch a r m u ss	1
11	Co x 3	III_14_0010	Malmerspach, Malmerspach	7.03487, 47.86486	scharmuß	sch a r m u ß	scharmüs	sch a r m ü s	2
12	Co x 6	III_14_0011	Moosch, Moosch	7.04865, 47.86081	scharrmüs	sch a rr m ü s	scha̠rrmüß	sch a ̠ rr m ü ß	2
13	Co E3	III_14_0090	Sentheim, Sentheim	7.0544, 47.75581	schārmǖs	sch ā r m ǖ s	schǟrmuus	sch ǟ r m uu s	3
14	Co M2	III_15_0001	Obersulzbach Kreis Tann (Soppe-Le-Haut), Obersulzbach <Morzweiler> Morzweiler steht nur auf S,1	7.05724, 47.73372	schārmüs	sch ā r m ü s	scharmüs	sch a r m ü s	1
15	Co x 9	III_14_0013	Geishausen, Geishausen	7.05832, 47.88017	scharmus	sch a r m u s	schårmus	sch å r m u s	1
16	Co T9	III_16_0014	Gottestal, Luttern (Valdieu-Lutran), Gottestal	7.05852, 47.63139	scharrmüs	sch a rr m ü s	scharmüs	sch a r m ü s	1
17	Co x 4	III_14_0012	Weiler, Weiler	7.07073, 47.84351	schărmus	sch a ̆ r m u s	scharmüs	sch a r m ü s	2
18	Co E13	III_14_0092	Rammersmatt, Rammersmatt	7.07084, 47.78935	schārrmǖs	sch ā rr m ǖ s	schearmües	sch e a r m ü e s	4
19	Co E9	III_14_0089	Tann-Bitschweiler (Bitschwiller-Lès-Thann), Bitschweiler	7.07947, 47.82929	scharrmüs	sch a rr m ü s	scharmüs	sch a r m ü s	1
20	Co E6	III_14_0093	Leimbach, Leimbach	7.09999, 47.79305	scharmüs	sch a r m ü s	schahrmuus	sch a h r m uu s	3
21	Co x 7	III_14_0014	Goldbach-Altenbach, Goldbach-Altenbach	7.10326, 47.87359	schaarmüüs	sch aa r m ü ü s	schermüs	sch e r m ü s	3
22	Co E7	III_14_0094	Tann (Thann), Thann	7.10335, 47.81019	schārmüs	sch ā r m ü s	scharmüs	sch a r m ü s	1
23	Co T12	III_16_0002	Altenach, Altenach	7.11466, 47.60658	schârmus	sch â r m u s	scharmüs	sch a r m ü s	2
24	Co T13	III_16_0003	St, Ulrich bei Dammerkirch, St, Ulrich	7.11911, 47.59537	scharmüs	sch a r m ü s	schaᵉrmūes	sch a ᵉ r m ū e s	3
25	Co T6	III_16_0018	Dammerkirch (Dannemarie), Dammerkirch	7.1214, 47.63024	schaarmüüs	sch aa r m ü ü s	scharmüs	sch a r m ü s	2
26	Co q 1	III_13_0098	Lintal (Linthal, Kreis Tann), Lintal	7.12943, 47.94619	schaarmis	sch aa r m i s	scharmüs	sch a r m ü s	2
27	Co M8	III_15_0011, III_15_0010	Gildweiler (Gildwiller), Falkweiler, Hecken, Falkweiler, Gildweiler	7.13461, 47.6894	scharmǟs	sch a r m ǟ s	scharmaus	sch a r m a u s	2
28	Co E12	III_14_0096	Steinbach, Steinbach	7.15487, 47.82041	scharmüs	sch a r m ü s	schaarmüs	sch aa r m ü s	1
29	Co x 8	III_14_0015	Rimbach bei Gebweiler (Rimbach-près-Guebwiller), Rimbach	7.15658, 47.90483	schārmǖs	sch ā r m ǖ s	scharmus	sch a r m u s	2
