	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Stra B 1	III_10_0038	Griesheim (Griesheim-Près-Molsheim), Griesheim	7.53227, 48.50237	wiēler	w i ē l e r	wieler	w ie l e r	1
1	KST r2	III_20_0003, III_20_0004	Hochstetten, Hochstetten	8.41566, 49.13702	wiehler	w ie h l e r	wühler	w ü h l e r	2
2	Ma h1/2	II_59_0061, II_59_0043, II_59_0047, II_59_0056, II_59_0042	Mannheim, Mannheim	8.46678, 49.4865	wühler	w ü h l e r	wihler	w i h l e r	1
3	Ma h2/2	II_59_0064	Neckarau, Mannheim	8.49104, 49.45335	wihler	w i h l e r	wiehler	w ie h l e r	1
4	MH H3	II_59_0069	Ilvesheim, Ilvesheim	8.56668, 49.47129	wihla	w i h l a	wühler	w ü h l e r	3
5	KST z 1	III_21_0016	Obergrombach, Obergrombach	8.58542, 49.07709	wiehler	w ie h l e r	wühler	w ü h l e r	2
6	KST s2	III_20_0019, III_20_0018	Bruchsal (Forstamt), Bruchsal	8.60102, 49.12377	wühler	w ü h l e r	wihler	w i h l e r	1
7	MH H5	II_59_0072	Neckarhausen, Neckarhausen	8.60233, 49.46433	wihler	w i h l e r	wühler	w ü h l e r	1
8	KST d6	III_18_0021	Rot, Rot	8.63137, 49.26348	wieler	w ie l e r	wihla	w i h l a	3
9	KST s1	III_20_0024	Ubstadt, Ubstadt	8.6322, 49.16181	wihler	w i h l e r	wiehler	w ie h l e r	1
10	KST l6	III_19_0016	Stettfeld, Stettfeld	8.64516, 49.18353	wihler	w i h l e r	wiihler	w ii h l e r	1
11	KST s10	III_20_0026	Heidelsheim, Heidelsheim	8.64542, 49.10114	wiehler	w ie h l e r	wühler	w ü h l e r	2
12	KST l4	III_19_0018, III_19_0017, III_19_0020, III_19_0019	Mingolsheim, Mingolsheim	8.65316, 49.21986	wihler	w i h l e r	wǖl	w ü ̄ l	4
13	KST m10	III_19_0027	Zeutern, Zeutern	8.67522, 49.17718	wiehler	w ie h l e r	wühler	w ü h l e r	2
14	KST A6	III_21_0023	Diedelsheim, Diedelsheim	8.67848, 49.04109	wihler	w i h l e r	wühler	w ü h l e r	1
15	KST e10	III_18_0024	Malschenberg, Malschenberg	8.67996, 49.25599	wīla	w ī l a	wihler	w i h l e r	4
16	KST A3	III_21_0022	Neibsheim (bei Bruchsal), Neibsheim	8.68509, 49.07104	wīhler	w ī h l e r	wühler	w ü h l e r	1
17	KST m2	III_19_0023	Rettigheim, Rettigheim	8.6981, 49.24111	wiela	w ie l a	wühler	w ü h l e r	4
18	KST e9	III_18_0025	Rauenberg, Rauenberg	8.70096, 49.27036	wiehla	w ie h l a	wühler	w ü h l e r	4
19	KST e11	III_18_0026	Rotenberg, Rotenberg	8.71207, 49.25813	wieler	w ie l e r	wüler	w ü l e r	2
20	KST m11	III_19_0025, III_19_0024, III_19_0026	Östringen, Östringen	8.7137, 49.22037	wühler	w ü h l e r	wihler	w i h l e r	1
21	KST t5	III_20_0030	Oberacker, Oberacker	8.71399, 49.1087	wilår	w i l å r	wieler	w ie l e r	2
22	MH R6	II_60_0047	Ochsenbach, Ochsenbach	8.73932, 49.33778	wihler	w i h l e r	wühler	w ü h l e r	1
23	KST t6	III_20_0032	Gochsheim, Gochsheim	8.74551, 49.10407	wūler	w ū l e r	wühler	w ü h l e r	2
24	KST m9	III_19_0028	Odenheim, Odenheim	8.75076, 49.17902	wihler	w i h l e r	wühler	w ü h l e r	1
25	KST e12	III_18_0029	Tairnbach, Tairnbach	8.75625, 49.26367	wila	w i l a	wühler	w ü h l e r	4
