	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Co D6	III_14_0081	Sewen, Sewen	6.90688, 47.80694	pflǖma	p f l ǖ m a	pflüme	p f l ü m e	2
1	Co D2	III_14_0083	Oberbruck, Oberbruck	6.94324, 47.80838	pflüme	p f l ü m e	pflumme	p f l u mm e	2
2	Co D3	III_14_0080	Rimbach-Pès-Masevaux), Rimbach	6.9473, 47.82212	pflüma	p f l ü m a	pflaume	p f l a u m e	3
3	Co w 5	III_14_0001	Urbis, St. Amarintal (Urbès), Urbis	6.95521, 47.88255	pflum	p f l u m	pflüm	p f l ü m	1
4	Co D4	III_14_0084	Kirchberg-Wegscheid, Kirchberg	6.95965, 47.79904	pflumä	p f l u m ä	pflüma	p f l ü m a	2
5	Co p 2	III_13_0094	Wildenstein bei Krüt, Kreis Tann, Wildenstein	6.96296, 47.98143	pflüme	p f l ü m e	pfluma	p f l u m a	2
6	Co p 1	III_13_0095	Krüt (Kruth), Krüt	6.96629, 47.92912	pflume	p f l u m e	pflaume	p f l a u m e	1
7	Co w 4	III_14_0003	Mollau , Mollau	6.97488, 47.87245	bflumä	b f l u m ä	pflume	p f l u m e	2
8	Co w 1	III_14_0004	Oderen, Odern	6.97525, 47.91008	pflūmä	p f l ū m ä	pflüm	p f l ü m	2
9	Hag D 2	III_5_0022	Altweiler (Altwiller), Altweiler	6.98122, 48.93023	prümme	p r ü mm e	brüme	b r ü m e	2
10	Co w 2	III_14_0005	Fellerlingen (Fellering), Felleringen	6.98613, 47.89621	pfluma	p f l u m a	pflüma	p f l ü m a	1
11	Co w 3	III_14_0006	Hüsseren-Wesserling (Husseren-Wesserling), Hüssern-Wesserling	6.98836, 47.88519	pflǖma	p f l ǖ m a	pflüma	p f l ü m a	1
12	Co x 2	III_14_0007	Mitzach, Mitzach	7.00519, 47.87122	pflūm	p f l ū m	pfluma	p f l u m a	2
13	Co E1	III_14_0088	Oberburbach (Bourbach-Les-Haut), Oberburbach	7.02973, 47.7953	plǖma	p l ǖ m a	pfluma	p f l u m a	2
14	Co x 3	III_14_0010	Malmerspach, Malmerspach	7.03487, 47.86486	pfluma	p f l u m a	pflüme	p f l ü m e	2
15	Hag E 7	III_5_0024	Keskastel, Keskastel	7.04339, 48.96955	brumme	b r u mm e	prumm	p r u mm	2
16	Hag M 12	III_6_0005	Diedendorf, Diedendorf	7.04974, 48.87869	prümme	p r ü mm e	prüm	p r ü m	2
17	Hag E 8	III_5_0026	Schopperten, Schopperten	7.05316, 48.94524	prümm	p r ü mm	pflaume	p f l a u m e	5
18	Co E3	III_14_0090	Sentheim, Sentheim	7.0544, 47.75581	pfluumå	p f l uu m å	pflūmă	p f l ū m ă	3
19	Co T9	III_16_0014	Gottestal, Luttern (Valdieu-Lutran), Gottestal	7.05852, 47.63139	pflüm	p f l ü m	pflaume	p f l a u m e	3
20	Co E2	III_14_0091	Niederburbach (Bourbach-Le-Bas), Niederburbach	7.05868, 47.77527	pflüme	p f l ü m e	pfluma	p f l u m a	2
21	Co M7	III_15_0007	St Kosman (Saint-Cosme), St. Kosman	7.06248, 47.68339	pflǖme	p f l ǖ m e	pflüma	p f l ü m a	2
22	Co T1	III_15_0008	Brückensweiler (Bréchaumont), Brückensweiler	7.0684, 47.66973	pflüme	p f l ü m e	pflüma	p f l ü m a	1
23	Co x 4	III_14_0012	Weiler, Weiler	7.07073, 47.84351	pflümă	p f l ü m ă	pflume	p f l u m e	2
24	Co E13	III_14_0092	Rammersmatt, Rammersmatt	7.07084, 47.78935	pflǖma	p f l ǖ m a	pfluimea	p f l u i m e a	3
25	Co M6	III_15_0004	Bretten Landkreis Altkirch, Bretten	7.0716, 47.69963	pflume	p f l u m e	pflüma	p f l ü m a	2
