	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Co w 4	III_14_0003	Mollau , Mollau	6.97488, 47.87245	gīfelä	g ī f e l ä	giefele	g ie f e l e	3
1	Co r 3	III_13_0110	Westhalten, Westhalten	7.2595, 47.95742	giefla	g ie f l a	geefla	g ee f l a	1
2	Hag U 1	III_7_0033	Etschburg (Eschbourg), Eschburg	7.29591, 48.81267	giffel	g i ff e l	gēflel	g ē f l e l	2
3	Co l 7	III_13_0034	Logelnheim (Logelheim), Logelnheim	7.40918, 48.0211	giefla	g ie f l a	gefla	g e f l a	1
4	Co d 5	III_12_0092	Riedweier, Riedweier	7.44536, 48.12387	gūfela	g ū f e l a	giefeler	g ie f e l e r	4
5	Co e 12	III_12_0103	Sasbach, Sasbach	7.61363, 48.13798	giefli	g ie f l i	gifla	g i f l a	2
6	Co P4	III_15_0059	Feuerbach, Feuerbach	7.642, 47.73653	güfli	g ü f l i	güfle	g ü f l e	1
7	Co e 7	III_12_0032, III_12_0031	Wyhl am Kaiserstuhl, Wyhl	7.64933, 48.1663	givli	g i v l i	güfli	g ü f l i	2
8	Co e 2	III_12_0105	Kiechlinsbergen, Kiechlinsbergen	7.65306, 48.12469	giefle	g ie f l e	geefli	g ee f l i	2
9	Co e 11	III_12_0104	Königschaffhausen am Kaiserstuhl, Königschaffhausen	7.65562, 48.13337	gefli	g e f l i	gifli	g i f l i	1
10	Co B1	III_14_0050	Tunsel, Tunsel	7.66581, 47.90315	güfle	g ü f l e	güfeli	g ü f e l i	2
11	Co u 18	III_13_0127	Niederrimsingen, Niederrimsingen	7.67114, 47.98702	giefli	g ie f l i	giveli	g i v e l i	2
12	Co f 12	III_12_0123	Amoltern, Amoltern	7.67629, 48.12873	gīefli	g ī e f l i	giefli	g ie f l i	1
13	Co n 4	III_13_0059, III_13_0058	Merdingen, Merdingen	7.68864, 48.0173	gi̠fli	g i ̠ f l i	gifli	g i f l i	1
14	Co B3	III_14_0055, III_14_0056	Wettelbrunn, Wettelbrunn	7.69689, 47.87134	giefli	g ie f l i	gifili	g i f i l i	2
15	Co u 16	III_13_0129	Munzingen, Munzingen	7.69883, 47.96873	gi̠fli	g i ̠ f l i	giifli	g ii f l i	1
16	Co f 9	III_12_0119	Forchheim, Forchheim	7.7031, 48.16341	gīfli	g ī f l i	giifli	g ii f l i	2
17	Co f 1	III_12_0122, III_12_0120, III_12_0121	Endingen, Endingen	7.70312, 48.1419	gifle	g i f l e	gifli	g i f l i	1
18	Co J7	III_14_0147, III_15_0061	Malsburg, Malsburg	7.70866, 47.73257	güfle	g ü f l e	güefli	g ü e f l i	2
19	Stra Y 2	III_12_0035	Oberhausen, Oberhausen	7.71048, 48.22667	gīfli	g ī f l i	giefli	g ie f l i	2
20	Co n 13	III_13_0056	Waltershofen, Waltershofen	7.71857, 48.02338	gīfle	g ī f l e	gifli	g i f l i	2
21	Co B10	III_14_0057	Grunern bei Müllheim, Grunern	7.72184, 47.87162	giflé	g i f l é	gifli	g i f l i	1
22	Co n 12	III_13_0050, III_13_0051	Bötzingen, Bötzingen	7.72593, 48.07743	gīvli̍	g ī v l i ̍	giefli	g ie f l i	4
23	Co f 10	III_12_0111	Bahlingen, Bahlingen	7.73937, 48.12209	gīfaͤli	g ī f a ͤ l i	giifili	g ii f i l i	4
24	Co f 2	III_12_0113	Riegel, Riegel	7.7507, 48.15056	gifli	g i f l i	gievle	g ie v l e	3
25	Stra Y 8	III_12_0038, III_12_0039, III_12_0037	Herbolzheim a. d. Bleich, Herbolzheim	7.77743, 48.22249	gifli	g i f l i	giefli	g ie f l i	1
26	Stra Y 4	III_12_0033	Ringsheim, Ringsheim	7.78041, 48.24632	gīflī	g ī f l ī	giefli	g ie f l i	3
27	Stra Y 7	III_12_0040	Tutschfelden, Tutschfelden	7.80659, 48.21534	gifli	g i f l i	güfle	g ü f l e	2
28	Stra R 7	III_11_0113	Mahlberg, Mahlberg	7.81323, 48.28708	gifli	g i f l i	giifli	g ii f l i	1
