	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Co D6	III_14_0081	Sewen, Sewen	6.90688, 47.80694	gōfe	g ō f e	gufe	g u f e	1
1	Co D1	III_14_0082	Dollern (Dolleren), Dollern	6.93211, 47.80559	gūffa	g ū ff a	guffa	g u ff a	1
2	Co D2	III_14_0083	Oberbruck, Oberbruck	6.94324, 47.80838	gūfa	g ū f a	gufe	g u f e	2
3	Co D3	III_14_0080	Rimbach-Pès-Masevaux), Rimbach	6.9473, 47.82212	guf	g u f	gufe	g u f e	1
4	Co w 5	III_14_0001	Urbis, St. Amarintal (Urbès), Urbis	6.95521, 47.88255	guf	g u f	guff	g u ff	1
5	Co w 3	III_14_0006	Hüsseren-Wesserling (Husseren-Wesserling), Hüssern-Wesserling	6.98836, 47.88519	goff	g o ff	gofe	g o f e	1
6	Co x 2	III_14_0007	Mitzach, Mitzach	7.00519, 47.87122	kūf	k ū f	guf	g u f	2
7	Co x 1	III_14_0008	Ranspach, Ranspach	7.01113, 47.88081	gu̠fa	g u ̠ f a	guf	g u f	2
8	Co E4	III_14_0087	Aue (Lauw), Aue	7.02216, 47.75778	gūf	g ū f	gufa	g u f a	2
9	Hag E 9	III_5_0027	Harskirchen, Harskirchen	7.0389, 48.93409	guw	g u w	guff	g u ff	2
10	Hag E 7	III_5_0024	Keskastel, Keskastel	7.04339, 48.96955	gu̠w	g u ̠ w	guff	g u ff	2
11	Hag E 8	III_5_0026	Schopperten, Schopperten	7.05316, 48.94524	guw	g u w	guwe	g u w e	1
12	Co E3	III_14_0090	Sentheim, Sentheim	7.0544, 47.75581	gūfå	g ū f å	gūfă	g ū f ă	1
13	Co E2	III_14_0091	Niederburbach (Bourbach-Le-Bas), Niederburbach	7.05868, 47.77527	gufä	g u f ä	gufa	g u f a	1
14	Co T1	III_15_0008	Brückensweiler (Bréchaumont), Brückensweiler	7.0684, 47.66973	guwa	g u w a	guffa	g u ff a	2
15	Co E13	III_14_0092	Rammersmatt, Rammersmatt	7.07084, 47.78935	gufa	g u f a	gufae	g u f a e	1
16	Co i 3	III_13_0008	Metzeral, Metzeral	7.07146, 48.01325	gūf	g ū f	guuf	g uu f	2
17	Co q 4	III_13_0097	Sondernach, Sondernach	7.07276, 47.99621	gūf	g ū f	goof	g oo f	2
18	Hag M 1	III_5_0034	Zollingen, Zollingen	7.07636, 48.91048	guw	g u w	güw	g ü w	1
19	Co E9	III_14_0089	Tann-Bitschweiler (Bitschwiller-Lès-Thann), Bitschweiler	7.07947, 47.82929	gufa	g u f a	gūfe	g ū f e	2
20	Hag T 4	III_7_0013	Goerlingen, Görlingen	7.08247, 48.79646	guf	g u f	guff	g u ff	1
21	Hag E 5	III_5_0033	Saarwerden (Sarrewerden), Saarwerden	7.08411, 48.9218	guwwe	g u ww e	guw	g u w	2
22	Hag M 10	III_6_0012	Bärendorf (Baerendorf), Bärendorf	7.08463, 48.83742	guwe	g u w e	guf	g u f	2
23	Co i 10	III_13_0007	Mühlbach (Muhlbach-Sur-Munster), Mühlbach	7.08731, 48.02582	goͦf	g o ͦ f	guf	g u f	2
24	Co M3	III_15_0003	Niedersulzbach (soppe-Le-Bas), Niedersulzbach	7.09079, 47.71688	gufa	g u f a	kuva	k u v a	2
25	Co M1	III_15_0002	Gewenheim, Gewenheim	7.0913, 47.75291	gūfa	g ū f a	gûfe	g û f e	2
26	Co i 7	III_13_0006	Breitenbach (Breitenbach-Haut-Rhin), Breitenbach	7.10087, 48.02382	gůf	g ů f	gŭ̊f	g ŭ ̊ f	2
27	Co i 2	III_13_0009	Sulzern (Soultzeren), Sulzern	7.10254, 48.06373	gů̄f	g ů ̄ f	gof	g o f	2
28	Co E7	III_14_0094	Tann (Thann), Thann	7.10335, 47.81019	gūfe	g ū f e	gufă	g u f ă	2
29	Co i 6	III_13_0005	Luttenbach (Luttenbach-Près-Munster), Luttenbach	7.11745, 48.03105	goof	g oo f	gof	g o f	1
30	Co T6	III_16_0018	Dammerkirch (Dannemarie), Dammerkirch	7.1214, 47.63024	hufa	h u f a	gufa	g u f a	1
31	Co q 8	III_13_0102	Sengern, Sengern	7.12209, 47.94246	guf	g u f	gūf	g ū f	1
32	Co i 5	III_13_0002	Hohrod, Hohrod	7.12607, 48.05444	gufe	g u f e	guhf	g u h f	2
33	Co M8	III_15_0011, III_15_0010	Gildweiler (Gildwiller), Falkweiler, Hecken, Falkweiler, Gildweiler	7.13461, 47.6894	gufa	g u f a	guve	g u v e	2
34	Co i 8	III_13_0001	Hohrodberg, Hohrodberg	7.13528, 48.06037	gof	g o f	gaof	g a o f	1
35	Co Vc 2	III_16_0011	Hindlingen, Hindlingen	7.13734, 47.57341	gūfa	g ū f a	gufa	g u f a	1
36	Co i 4	III_13_0010	Eschbach, Eschbach	7.14594, 48.02896	goof	g oo f	gof	g o f	1
37	Co q 7	III_13_0099	Lautenbachzell, Lautenbachzell	7.14925, 47.94057	guf	g u f	kūf	k ū f	2
38	Co T3	III_16_0008	Büttweiler (Buethwiller), Bütweiler	7.14982, 47.65627	gufa	g u f a	gufe	g u f e	1
39	Co T4	III_16_0009	Hagenbach, Hagenbach	7.15712, 47.65028	guve	g u v e	guva	g u v a	1
40	Co q 2	III_13_0100	Lautenbach (Kreis Tann), Lautenbach	7.15877, 47.9414	gūf	g ū f	guhf	g u h f	2
41	Co q 6	III_13_0101	Murbach, Murbach	7.1604, 47.92318	guf	g u f	gūfe	g ū f e	2
42	Co T15	III_16_0010	Ballersdorf, Ballersdorf	7.1624, 47.625	gufa	g u f a	guffa	g u ff a	1
43	Co N12	III_15_0028	Balschweiler bei Altkirch, Balschweiler	7.1681, 47.66772	gufe	g u f e	gufa	g u f a	1
44	Co k 1	III_13_0016	Griesbach (Griesbach-Au-Val), Griesbach	7.17071, 48.03351	gȭf	g õ ̄ f	goof	g oo f	2
45	Hag F 4	III_5_0039	Lorenzen (Lorentzen), Lorenzen	7.1752, 48.95249	guw	g u w	guv	g u v	1
46	Co r 6	III_13_0107	Schweighausen Kreis Gebweiler (Schweighouse bei Lautenbach), Schweighausen	7.17716, 47.93851	gūf	g ū f	guhf	g u h f	2
47	Co F5	III_14_0016	Wattweiler (Wattwiller), Wattweiler	7.17766, 47.83549	guufe	g uu f e	glūfa	g l ū f a	3
48	Co F2	III_14_0097	Sennheim (Cerany), Sennheim	7.17837, 47.80918	gōf	g ō f	gufa	g u f a	2
49	Stra V 1, Stra U 1/1, Stra U 1/2	III_12_0002	Markich (Sainte-Marie-Aux-Marines), Markirch	7.17972, 48.24483	gouf	g o u f	guf	g u f	1
50	Co y 1/2, Co y 1/1	III_14_0017	Rimbach-Zell (Rimbachzell), Rimbach-Zell	7.17995, 47.8995	guf	g u f	gufa	g u f a	1
51	Co r 9	III_13_0103	Bühl Landkreis Gebweiler (Buhl), Bühl	7.18638, 47.92816	guf	g u f	güfa	g ü f a	2
52	Hag F 5	III_5_0040	Diemeringen, Diemeringen	7.18685, 48.94061	guw	g u w	guff	g u ff	2
53	Hag N 13	III_6_0026	Drulingen, Drulingen	7.18979, 48.8662	guw	g u w	guff	g u ff	2
54	Co N14	III_15_0027	Bernweiler (Bernwiller), Bernweiler	7.19368, 47.69085	gufa	g u f a	guhfa	g u h f a	1
55	Hag N 10	III_6_0024	Dürstel (Durstel), Durstel	7.19745, 48.89156	gūwe	g ū w e	guv	g u v	3
