	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Co E6	III_14_0093	Leimbach, Leimbach	7.09999, 47.79305	schdecknodla	sch d e ck n o d l a	stecknodla	s t e ck n o d l a	3
1	Hag F 3	III_5_0044	Ratzweiler (Ratzwiller), Ratzweiler	7.23978, 48.95501	stecknådel	s t e ck n å d e l	stecknādel	s t e ck n ā d e l	1
2	Stra l 3	III_9_0005	Engental, Engental	7.30153, 48.63467	stecknoudel	s t e ck n o u d e l	schteggnodel	sch t e gg n o d e l	5
3	Stra e 2/2	III_8_0029	Zabern, Zabern	7.36605, 48.73948	stecknodel	s t e ck n o d e l	stecknadel	s t e ck n a d e l	1
4	Hag O 2	III_6_0038	Wimmenau, Wimmenau	7.41957, 48.91035	stecknodel	s t e ck n o d e l	stegnodel	s t e g n o d e l	2
5	Stra H 12	III_11_0021	Ittersweiler (Itterswiller), Ittersweiler	7.4322, 48.36386	stecknodel	s t e ck n o d e l	stecknadel	s t e ck n a d e l	1
6	Hag G 3	III_5_0058	Reipertsweiler (Reipertswiller), Reipertsweiler	7.46373, 48.93214	stecknodel	s t e ck n o d e l	stecknadel	s t e ck n a d e l	1
7	Stra n 1	III_9_0037	Winzenheim (Wintzenheim-Kochersberg), Winzenheim	7.51469, 48.65916	schtecknudel	sch t e ck n u d e l	stecknudel	s t e ck n u d e l	2
8	Co m 3	III_13_0038	Ihringen, Ihringen	7.64554, 48.04572	stecknōdle	s t e ck n ō d l e	stecknodla	s t e ck n o d l a	2
9	Co B4	III_14_0049	Ballrechten-Dottingen, Ballrechten	7.70076, 47.86061	stecknodel	s t e ck n o d e l	stecknodle	s t e ck n o d l e	2
10	Hag Q 2	III_6_0070	Eberbach , Eberbach	7.71711, 48.91154	schtecknodl	sch t e ck n o d l	stecknodel	s t e ck n o d e l	3
11	Co u 5	III_13_0136	Norsingen, Norsingen	7.72683, 47.93837	stecknoadl	s t e ck n o a d l	stecknodle	s t e ck n o d l e	2
12	Co X 8	III_16_0099	Höllstein, Höllstein	7.74574, 47.63943	schtecknōdlĕ	sch t e ck n ō d l ĕ	schtecknoodlä	sch t e ck n oo d l ä	3
13	Stra K 2	III_11_0042	Ottenheim, Ottenheim	7.75477, 48.38593	stäcknodel	s t ä ck n o d e l	stecknodl	s t e ck n o d l	2
14	Co u 9	III_13_0140	Ebringen, Ebringen	7.77981, 47.95761	stecknodle	s t e ck n o d l e	stecknadel	s t e ck n a d e l	3
15	Co Xa 3	III_17_0045, III_17_0044, III_17_0046	Rheinfelden-Stadt (Baden), Rheinfelden	7.78875, 47.55945	stecknådel	s t e ck n å d e l	stecknodle	s t e ck n o d l e	3
16	Stra C 6	III_10_0115	Dundenheim, Dundenheim	7.81569, 48.44904	stecknodel	s t e ck n o d e l	stecknodl	s t e ck n o d l	1
17	Stra w 1	III_10_0049	Neumühl, Neumühl	7.84392, 48.57012	stecknodel	s t e ck n o d e l	schdecknodel	sch d e ck n o d e l	3
18	Co R6	III_15_0077	Atzenbach, Atzenbach <+ Riedichen>	7.8735, 47.71532	stecknådle	s t e ck n å d l e	stecknodel	s t e ck n o d e l	3
19	Stra D 17	III_10_0131, III_10_0133	Schutterwald, Schutterwald	7.88679, 48.45347	stecknodl	s t e ck n o d l	stecknodel	s t e ck n o d e l	1
20	Hag C 1	III_4_0100	Weißenburg-Weiler, Weissenburg-Weiler	7.91271, 49.0377	stecknŏdel	s t e ck n ŏ d e l	schtecknodl	sch t e ck n o d l	4
21	Stra D 3	III_10_0130	Weier, Weier	7.91766, 48.49812	stecknodel	s t e ck n o d e l	stecknodl	s t e ck n o d l	1
22	Co v 8	III_13_0150	Oberried, Oberried	7.94506, 47.93146	schteknodle	sch t e k n o d l e	schtecknodle	sch t e ck n o d l e	1
23	Hag C 2	III_4_0094, III_4_0093	Weißenburg (Wissembourg), Weißenburg	7.9521, 49.03733	stecknådel	s t e ck n å d e l	stecknadel	s t e ck n a d e l	1
