	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Co D1	III_14_0082	Dollern (Dolleren), Dollern	6.93211, 47.80559	gais	g a i s	geis	g ei s	1
1	Co w 5	III_14_0001	Urbis, St. Amarintal (Urbès), Urbis	6.95521, 47.88255	geiß	g ei ß	geiss	g ei ss	2
2	Co D8	III_14_0085	Niederbruck, Niederbruck	6.97173, 47.78361	geiss	g ei ss	gaiß	g a i ß	3
3	Co w 1	III_14_0004	Oderen, Odern	6.97525, 47.91008	gais	g a i s	geiß	g ei ß	2
4	Hag D 2	III_5_0022	Altweiler (Altwiller), Altweiler	6.98122, 48.93023	gäiß	g ä i ß	geiß	g ei ß	1
5	Co w 2	III_14_0005	Fellerlingen (Fellering), Felleringen	6.98613, 47.89621	geis	g ei s	geiss	g ei ss	1
6	Co w 3	III_14_0006	Hüsseren-Wesserling (Husseren-Wesserling), Hüssern-Wesserling	6.98836, 47.88519	gais	g a i s	geiß	g ei ß	2
7	Co D7	III_14_0086	Masmünster (Masevaux), Maasmünster	6.99386, 47.7727	gais	g a i s	geiß	g ei ß	2
8	Co E4	III_14_0087	Aue (Lauw), Aue	7.02216, 47.75778	geiß	g ei ß	gais	g a i s	2
9	Co E1	III_14_0088	Oberburbach (Bourbach-Les-Haut), Oberburbach	7.02973, 47.7953	geis	g ei s	geiß	g ei ß	1
10	Co q 5	III_13_0096	Mittlach, Mittlach	7.03325, 48.00405	gäis	g ä i s	geis	g ei s	1
11	Hag E 9	III_5_0027	Harskirchen, Harskirchen	7.0389, 48.93409	geis	g ei s	gäs	g ä s	2
12	Hag E 7	III_5_0024	Keskastel, Keskastel	7.04339, 48.96955	gais	g a i s	geis	g ei s	1
13	Co x 6	III_14_0011	Moosch, Moosch	7.04865, 47.86081	geiß	g ei ß	geis	g ei s	1
14	Hag E 8	III_5_0026	Schopperten, Schopperten	7.05316, 48.94524	geiß	g ei ß	geiss	g ei ss	2
15	Co x 9	III_14_0013	Geishausen, Geishausen	7.05832, 47.88017	geiß	g ei ß	gaiß	g a i ß	1
16	Co T9	III_16_0014	Gottestal, Luttern (Valdieu-Lutran), Gottestal	7.05852, 47.63139	gei	g ei	geiß	g ei ß	1
17	Co E2	III_14_0091	Niederburbach (Bourbach-Le-Bas), Niederburbach	7.05868, 47.77527	geiß	g ei ß	geiss	g ei ss	2
18	Hag T 2	III_7_0006	Kirberg (Kirrberg), Kirberg	7.06204, 48.8233	gais	g a i s	geiß	g ei ß	2
19	Co x 4	III_14_0012	Weiler, Weiler	7.07073, 47.84351	gais	g a i s	geiss	g ei ss	2
20	Co E13	III_14_0092	Rammersmatt, Rammersmatt	7.07084, 47.78935	gaïss	g a ï ss	geaiß	g e a i ß	4
21	Co i 3	III_13_0008	Metzeral, Metzeral	7.07146, 48.01325	gais	g a i s	géis	g é i s	1
22	Co M6	III_15_0004	Bretten Landkreis Altkirch, Bretten	7.0716, 47.69963	gaiß	g a i ß	geiss	g ei ss	3
23	Co q 4	III_13_0097	Sonder ch, Sonder ch	7.07276, 47.99621	gäiß	g ä i ß	geiß	g ei ß	1
24	Hag M 11/2, Hag M 11/1	III_6_0003	Wolfskirchen, Wolfskirchen	7.07612, 48.87884	geiss	g ei ss	geiß	g ei ß	2
25	Hag M 1	III_5_0034	Zollingen, Zollingen	7.07636, 48.91048	gäiss	g ä i ss	gäis	g ä i s	1
26	Hag T 4	III_7_0013	Goerlingen, Görlingen	7.08247, 48.79646	geiß	g ei ß	gais	g a i s	2
27	Hag E 5	III_5_0033	Saarwerden (Sarrewerden), Saarwerden	7.08411, 48.9218	gais	g a i s	gaiss	g a i ss	1
28	Co M3	III_15_0003	Niedersulzbach (soppe-Le-Bas), Niedersulzbach	7.09079, 47.71688	geis	g ei s	geiß	g ei ß	1
29	Co M1	III_15_0002	Gewenheim, Gewenheim	7.0913, 47.75291	geis	g ei s	geiß	g ei ß	1
30	Co T8	III_16_0017	Retzweiler, Retzweiler	7.09315, 47.63072	geiss	g ei ss	gais	g a i s	2
31	Co E6	III_14_0093	Leimbach, Leimbach	7.09999, 47.79305	gais	g a i s	gaiß	g a i ß	1
32	Co i 7	III_13_0006	Breitenbach (Breitenbach-Haut-Rhin), Breitenbach	7.10087, 48.02382	gäiß	g ä i ß	geiß	g ei ß	1
33	Co i 2	III_13_0009	Sulzern (Soultzeren), Sulzern	7.10254, 48.06373	gäïs	g ä ï s	gäiß	g ä i ß	2
34	Co E7	III_14_0094	Tann (Thann), Thann	7.10335, 47.81019	geiss	g ei ss	geis	g ei s	1
35	Hag T 3	III_7_0008	Rauweiler, Rauweiler	7.10907, 48.81139	geiss	g ei ss	geis	g ei s	1
36	Hag M 3	III_6_0004	Burbach, Burbach	7.11226, 48.90144	geiß	g ei ß	geis	g ei s	1
37	Co M9	III_15_0009	Diefmatten Kreis Altkirch, Diefmatten	7.11319, 47.70828	geis	g ei s	geiß	g ei ß	1
38	Co T7	III_16_0007	Wolfersdorf, Wolfersdorf	7.1132, 47.63625	geis	g ei s	gais	g a i s	1
39	Hag T 1	III_6_0011	Hirschland, Hirschland	7.11324, 48.83701	geiss	g ei ss	geiß	g ei ß	2
40	Co T12	III_16_0002	Alte ch, Alte ch	7.11466, 47.60658	gaiß	g a i ß	geis	g ei s	2
41	Hag M 8	III_6_0007	Eschweiler (Eschwiller), Eschweiler	7.11652, 48.8596	gaiß	g a i ß	geiß	g ei ß	1
42	Co i 6	III_13_0005	Luttenbach (Luttenbach-Près-Munster), Luttenbach	7.11745, 48.03105	gejs	g e j s	geis	g ei s	1
43	Co T13	III_16_0003	St. Ulrich bei Dammerkirch, St. Ulrich	7.11911, 47.59537	gais	g a i s	gaⁱs	g a ⁱ s	1
44	Co T6	III_16_0018	Dammerkirch (Dannemarie), Dammerkirch	7.1214, 47.63024	gaiß	g a i ß	gaiss	g a i ss	2
45	Co E8	III_14_0095	Alttann (Vieux-Thann), Alttann	7.12206, 47.80704	geiß	g ei ß	geis	g ei s	1
46	Co i 5	III_13_0002	Hohrod, Hohrod	7.12607, 48.05444	geis	g ei s	geiß	g ei ß	1
47	Co q 1	III_13_0098	Lintal (Linthal, Kreis Tann), Lintal	7.12943, 47.94619	geis	g ei s	geiss	g ei ss	1
48	Co i 1/1, Co i 1/2	III_13_0065	Münster (Munster), Münster	7.13185, 48.0418	gäis	g ä i s	geis	g ei s	1
49	Co T5	III_16_0004	Gommersdorf, Gommersdorf	7.13318, 47.64299	geiss	g ei ss	gais	g a i s	2
50	Co Vc 2	III_16_0011	Hindlingen, Hindlingen	7.13734, 47.57341	geiss	g ei ss	gais	g a i s	2
51	Hag E 2	III_5_0030	Völlerdingen (Voellerdingen), Völlerdingen	7.14098, 48.9622	geiß	g ei ß	geis	g ei s	1
52	Co i 4	III_13_0010	Eschbach, Eschbach	7.14594, 48.02896	gäis	g ä i s	gejs	g e j s	2
53	Co T3	III_16_0008	Büttweiler (Buethwiller), Bütweiler	7.14982, 47.65627	gaiß	g a i ß	geiß	g ei ß	1
54	Co Vc 1	III_17_0002	Friesen, Friesen	7.15001, 47.56535	geiß	g ei ß	geiss	g ei ss	2
55	Co E11	III_14_0099	Niederasbach (Aspach-Le-Bas), Niederaspach	7.15065, 47.7618	gais	g a i s	geiss	g ei ss	2
56	Hag E 3	III_5_0031	Domfessel, Domfessel	7.15171, 48.95143	gäis	g ä i s	geiß	g ei ß	2
57	Hag M 5	III_6_0008	Berg, Berg	7.1532, 48.89487	geis	g ei s	gäjs	g ä j s	2
58	Co x 8	III_14_0015	Rimbach bei Gebweiler (Rimbach-près-Guebwiller), Rimbach	7.15658, 47.90483	geis	g ei s	geiß	g ei ß	1
59	Co T4	III_16_0009	Hagenbach, Hagenbach	7.15712, 47.65028	geiss	g ei ss	gaiss	g a i ss	1
60	Hag M 6	III_6_0009	Güngweiler (Gungwiller), Gu[e]ngweiler	7.15771, 48.88171	gaiß	g a i ß	gaiss	g a i ss	2
61	Co q 3	III_13_0011	Wasserburg Kreis Colmar (Wasserbourg), Wasserburg	7.15948, 48.00283	geis	g ei s	geiß	g ei ß	1
62	Co M5	III_15_0013	Niederburnhaupt (Burnhaupt-Le-Bas), Niederburnhaupt	7.16039, 47.71674	gais	g a i s	geis	g ei s	1
63	Co T15	III_16_0010	Ballersdorf, Ballersdorf	7.1624, 47.625	gais	g a i s	geis	g ei s	1
64	Hag F 4	III_5_0039	Lorenzen (Lorentzen), Lorenzen	7.1752, 48.95249	geiss	g ei ss	geiß	g ei ß	2
65	Co Ua 14	III_17_0014	Niedersept (Seppois-le-Bas), Niedersept	7.17622, 47.53614	geiß	g ei ß	geiss	g ei ss	2
66	Hag N 17	III_6_0017	Berg, Rexingen, Rexingen	7.17654, 48.90012	geis	g ei s	geiß	g ei ß	1
67	Co F5	III_14_0016	Wattweiler (Wattwiller), Wattweiler	7.17766, 47.83549	gaiß	g a i ß	geiß	g ei ß	1
68	Co F2	III_14_0097	Sennheim (Cerany), Sennheim	7.17837, 47.80918	geiß	g ei ß	geiss	g ei ss	2
69	Stra V 1, Stra U 1/1, Stra U 1/2	III_12_0002	Markich (Sainte-Marie-Aux-Marines), Markirch	7.17972, 48.24483	gaiß	g a i ß	gais	g a i s	1
70	Co r 9	III_13_0103	Bühl Landkreis Gebweiler (Buhl), Bühl	7.18638, 47.92816	geiß	g ei ß	geiz	g ei z	1
71	Hag F 5	III_5_0040	Diemeringen, Diemeringen	7.18685, 48.94061	geiß	g ei ß	gaiß	g a i ß	1
72	Hag N 13	III_6_0026	Drulingen, Drulingen	7.18979, 48.8662	geiß	g ei ß	geis	g ei s	1
73	Hag F 1	III_5_0037	Dehlingen, Dehlingen	7.19095, 48.98016	geis	g ei s	geiß	g ei ß	1
74	Co N14	III_15_0027	Bernweiler (Bernwiller), Bernweiler	7.19368, 47.69085	geis	g ei s	geiß	g ei ß	1
75	Hag N 10	III_6_0024	Dürstel (Durstel), Durstel	7.19745, 48.89156	gaiß	g a i ß	geiss	g ei ss	3
76	Co r 4	III_13_0109	Winzfelden (Wintzfelden), Winzfelden	7.19806, 47.97442	gais	g a i s	gaiß	g a i ß	1
77	Co k 9	III_13_0014	Weier (Wihr-Au-Val), Weier im Tal	7.20558, 48.05217	gäis	g ä i s	geis	g ei s	1
78	Hag N 16	III_6_0028	Sieweiler (Siewiller), Sieweiler	7.20676, 48.84318	geis	g ei s	gaiß	g a i ß	2
79	Co U 6	III_16_0028	Karspach (Carspach), Karspach	7.21307, 47.61448	gaiß	g a i ß	geiß	g ei ß	1
80	Hag F 7	III_5_0050	Waldhambach, Waldhambach	7.21529, 48.92578	geiß	g ei ß	gāiß	g ā i ß	1
81	Co y 6	III_14_0021	Berrweiler (Berrwiller), Berrweiler	7.21533, 47.8484	gaiß	g a i ß	geiß	g ei ß	1
82	Co Ua 12	III_17_0012	Mooslargue, Moos	7.21833, 47.50939	gais	g a i s	geiß	g ei ß	2
83	Co r 2	III_13_0104	Osenbach, Osenbach	7.21903, 47.98623	gais	g a i s	geis	g ei s	1
84	Hag N 12	III_6_0023	Aßweiler (Asswiller), Assweiler	7.2198, 48.88035	geiß	g ei ß	gais	g a i s	2
85	Co U 12	III_16_0021, III_16_0020	Hirzbach (Hirtzbach), Hirzbach	7.22017, 47.59449	geiß	g ei ß	geiss	g ei ss	2
86	Co Ua 6	III_17_0013	Bisel, Bisel	7.22032, 47.53456	gais	g a i s	geis	g ei s	1
87	Co N15	III_15_0021	Heimsbrunn, Heimsbrunn	7.22696, 47.72682	gaiß	g a i ß	geiß	g ei ß	1
88	Co y 3	III_14_0022	Sulz (Soultz-Haut-Rhin), Sulz	7.22862, 47.88613	gais	g a i s	geiß	g ei ß	2
89	Co N2	III_15_0020	Reinigen, Reiningen	7.2319, 47.74911	gais	g a i s	geiß	g ei ß	2
90	Co r 7/2	III_13_0106	Orschweier (Orschwihr), Orschweier	7.23248, 47.9323	geiss	g ei ss	gais	g a i s	2
91	Co r 8/2, Co r 8/1	III_13_0108	Sulzmatt (Soultzmatt), Sulzmatt	7.23437, 47.96595	gaiß	g a i ß	geiß	g ei ß	1
92	Co r 7/1	III_13_0105	Bergholzzell, Orschweier (Bergholtzzell, Orschwihr), Bergholzzell	7.23501, 47.9292	geiß	g ei ß	gaiß	g a i ß	1
93	Co k 15	III_13_0012	Zimmerbach, Zimmerbach	7.23755, 48.07261	gais	g a i s	geiß	g ei ß	2
94	Co Ub 1	III_17_0063	Dürlinsdorf (Durlinsdorf), Dürlinsdorf	7.24121, 47.48531	gais	g a i s	geiß	g ei ß	2
95	Hag N 5	III_6_0019	Tieffenbach, Tieffenbach	7.24987, 48.90483	geiß	g ei ß	geis	g ei s	1
96	Hag N 4	III_5_0048	Weislingen, Weislingen	7.25159, 48.91879	gais	g a i s	geiss	g ei ss	2
97	Co y 11	III_14_0029	Isenheim (Issenheim), Isenheim	7.25365, 47.90288	gais	g a i s	geiß	g ei ß	2
98	Co U 13	III_16_0034	Hisingen (Hirsingue), Hirsingen	7.25483, 47.58601	geiß	g ei ß	geiss	g ei ss	2
99	Stra z 2	III_10_0086	tzweiler,  tzweiler	7.25895, 48.43628	geiß	g ei ß	gaiß	g a i ß	1
100	Co r 3	III_13_0110	Westhalten, Westhalten	7.2595, 47.95742	gaiß	g a i ß	gaise	g a i s e	2
101	Co c 1	III_12_0081	Kaysersberg, Kaysersberg	7.2617, 48.13853	gäīs	g ä ī s	gaïss	g a ï ss	3
102	Co Ub 6	III_17_0068	Winkel, Winkel	7.26347, 47.46074	gais	g a i s	gaiß	g a i ß	1
103	Stra G 3	III_11_0010, III_11_0009	Meisengott (Maisonsgoutte), Meisengott	7.26349, 48.3533	geiss	g ei ss	gäis	g ä i s	2
104	Co N3	III_15_0016	Niedermorschweiler (Morschwiller-Le-Bas), Niedermorschweiler	7.26699, 47.73596	gaiß	g a i ß	gaiss	g a i ss	2
105	Hag U 3	III_6_0033	Schönburg (Schoenbourg), Schönburg	7.26823, 48.83392	geiß	g ei ß	geiss	g ei ss	2
106	Hag N 7	III_6_0035	Petersbach, Petersbach	7.26874, 48.86912	geiß	g ei ß	gäiß	g ä i ß	1
107	Co Ua 2	III_16_0036	Bettendorf, Bettendorf	7.27676, 47.58379	gais	g a i s	geis	g ei s	1
108	Co U 8	III_16_0030	Wittersdorf, Wittersdorf	7.27817, 47.62015	geis	g ei s	gaiß	g a i ß	2
109	Hag N 3	III_6_0020	Frohmühl (Frohmuhl), Frohmühl	7.28007, 48.90754	gais	g a i s	geiß	g ei ß	2
110	Hag U 2	III_7_0034	Graufthal, Grauftal	7.28092, 48.81935	geis	g ei s	geiß	g ei ß	1
111	Co F6	III_14_0104	Lutterbach, Lutterbach	7.28171, 47.7605	gaïs	g a ï s	geis	g ei s	2
112	Co k 13	III_13_0017	Vöklinshofen (Voegtlinshoffen), Vöklinshofen	7.28224, 48.01954	gaïss	g a ï ss	gaiß	g a i ß	3
113	Co c 12	III_12_0082	Ammerschweier, Ammerschweier	7.28484, 48.12465	gǟiß	g ǟ i ß	geiß	g ei ß	1
114	Stra G 7	III_11_0001	Bassenberg (Bassemberg), Bassenberg	7.28546, 48.33566	geïß	g e ï ß	gäïß	g ä ï ß	1
115	Co c 7	III_12_0080	Kientzheim, Kientzheim	7.28695, 48.13649	gaiss	g a i ss	gȇiß	g ȇ i ß	3
116	Co U 2	III_16_0023, III_16_0024	Lümschweiler (Luemschwiller) und Tagolsheim, Tagolsheim, Lümschweiler	7.28747, 47.65547	geiß	g ei ß	geiss	g ei ss	2
117	Hag N 2	III_6_0021	Hinsburg (Hinsbourg), Hinsburg	7.28852, 48.90706	gais	g a i s	geiß	g ei ß	2
118	Stra G 4	III_11_0008	St. Martin (Saint-Martin), St. Martin	7.28942, 48.35047	gais	g a i s	geis	g ei s	1
119	Co U 9	III_16_0031	Emlingen, Emlingen	7.29244, 47.62397	geis	g ei s	gaiß	g a i ß	2
120	Co r 5	III_13_0112	Gundolsheim, Gundolsheim	7.2942, 47.92837	gais	g a i s	geiß	g ei ß	2
121	Co N6	III_15_0019	Zillisheim, Zillisheim	7.29485, 47.69387	gais	g a i s	geis	g ei s	1
122	Hag U 1	III_7_0033	Etschburg (Eschbourg), Eschburg	7.29591, 48.81267	gaiß	g a i ß	geiss	g ei ss	3
123	Stra s 3	III_10_0003	Mühlbach (Muhlbach-Sur-Bruche), Mühlbach	7.29709, 48.51659	geͣiss	g e ͣ i ss	gäis	g ä i s	3
124	Stra O 4	III_11_0086	Wanzel (La Vancelle), Wanzel	7.30201, 48.28406	gaiß	g a i ß	geiß	g ei ß	1
125	Co U 10	III_16_0032	Tagsdorf, Tagsdorf	7.30232, 47.62138	geiß	g ei ß	gaiß	g a i ß	1
126	Stra G 6	III_11_0007, III_11_0005	Weiler (Villé), Weiler, Weiler, ortsteil Erlenbach	7.30273, 48.34253	gejs	g e j s	geis	g ei s	1
127	Co c 9	III_12_0079	Sigolsheim, Sigolsheim	7.3035, 48.13267	geiß	g ei ß	geis	g ei s	1
128	Stra V 2, Stra V 3	III_12_0003	Glashütte, Tannenkirch (Thannenkirch), Tannenkirch	7.30397, 48.22949	geis	g ei s	geiss	g ei ss	1
129	Co y 9	III_14_0031	Ungersheim, Ungersheim	7.30418, 47.87789	geiß	g ei ß	gaiß	g a i ß	1
130	Co c 10	III_12_0086	Ingersheim, Ingersheim	7.30725, 48.0936	geis	g ei s	geiß	g ei ß	1
131	Co Ub 5	III_17_0066	Lüxdorf (Ligsdorf), Lüxdorf	7.3091, 47.47235	geiss	g ei ss	geiß	g ei ß	2
132	Co N7	III_15_0024	Flachslanden (Flaxlanden), Flachslanden	7.30924, 47.69692	geiß	g ei ß	gais	g a i s	2
133	Co l 4	III_12_0087	Logelbach, Logelbach	7.30991, 48.0865	geiß	g ei ß	geis	g ei s	1
134	Stra O 2	III_11_0084	Neukirch (Neuve-Église), Neukirch	7.31338, 48.32872	gäis	g ä i s	geis	g ei s	1
135	Stra V 6	III_12_0006	Hu weier (Hu wihr), Hu weier	7.31671, 48.18091	gais	g a i s	geis	g ei s	1
136	Co N16	III_15_0023	Brunnstatt (Brunstatt), Brunstatt	7.31747, 47.72106	geis	g ei s	geiß	g ei ß	1
137	Co Ua 3	III_16_0035	Weiler (Kreis Altkirch), Weiler	7.31925, 47.5857	gaiß	g a i ß	geis	g ei s	2
138	Stra z 1/1, Stra z 1/2	III_10_0085	Grendelbruch, Grendelbruch	7.32375, 48.49241	geis	g ei s	geiß	g ei ß	1
139	Stra G 8	III_11_0006	Triembach (Triembach-Au-Val), Triembach	7.32386, 48.33763	geiß	g ei ß	gäiß	g ä i ß	1
140	Stra V 4	III_12_0005	Rappoltsweiler (Ribeauvillé), Rappoltsweiler	7.32486, 48.19355	gaiß	g a i ß	gaïs	g a ï s	2
141	Stra d 1	III_8_0027	Sankt Gallen, Tal St. Gallen	7.32779, 48.69001	ga̍s	g a ̍ s	gäs	g ä s	2
142	Co k 10	III_13_0026	Herlisheim (Herrlisheim), Herlisheim	7.32932, 48.01677	gaiß	g a i ß	geiß	g ei ß	1
143	Stra G 1	III_11_0002	Le Hohwald, Hohwald	7.33005, 48.40339	gäjs	g ä j s	gäiß	g ä i ß	2
144	Stra s 1/1, Stra s 1/2	III_10_0001	Oberhaslach, Oberhaslach	7.33046, 48.5499	gäjis	g ä j i s	gejs	g e j s	2
145	Stra m 17	III_8_0043	Hengweiler, Hengweiler	7.33273, 48.66842	geiß	g ei ß	geiss	g ei ss	2
146	Co G3	III_14_0123	Kingersheim, Kingersheim	7.33579, 47.79025	geis	g ei s	geiss	g ei ss	1
147	Co G2	III_14_0124	Wittenheim, Wittenheim	7.33993, 47.81085	gaïs	g a ï s	geiß	g ei ß	3
148	Co Va 13	III_17_0033	Steinsulz (Steinsoultz), Steinsulz	7.34276, 47.55541	gaiß	g a i ß	geiß	g ei ß	1
149	Co F7/1, Co F7/2	III_14_0107, III_14_0108, III_14_0121, III_14_0119, III_14_0115, III_14_0111, III_14_0112, III_14_0116, III_14_0113, III_14_0118, III_14_0120, III_14_0117, III_14_0114, III_14_0109, III_14_0110	Mülhausen, Mülhausen	7.34375, 47.7517	gaïs	g a ï s	gaiß	g a i ß	2
150	Co V 1	III_16_0048	Obersteinbrunn (Steinbrunn-le-Haut), Obersteinbrunn	7.3467, 47.65852	gaiß	g a i ß	geiß	g ei ß	1
151	Stra e 1	III_7_0047	Otterstal, Ottersthal	7.34837, 48.75567	geiß	g ei ß	gais	g a i s	2
152	Co G4, Co G7	III_14_0122	poleonsinsel (Ile  poléon), Illzach, Illzach, Illzach	7.34839, 47.78217	gaiß	g a i ß	geiss	g ei ss	3
153	Co V 6	III_16_0041	Wahlbach, Wahlbach	7.34876, 47.63135	geis	g ei s	geiß	g ei ß	1
154	Stra e 16	III_8_0039, III_8_0040	Tal bei Maursmünster (Marmoutier), Tal-Maursmünster	7.35204, 48.70268	gǟs	g ǟ s	geiß	g ei ß	3
155	Co z 6	III_14_0036	Regisheim (Réguisheim), Regisheim	7.35308, 47.89742	gais	g a i s	geiss	g ei ss	2
156	Co V 10	III_16_0043	Franken, Franken	7.35483, 47.59947	kais	k a i s	geis	g ei s	2
157	Hag V 10	III_7_0044	Eckartsweiler, Eckartsweiler	7.357, 48.76744	geiß	g ei ß	gäïs	g ä ï s	3
158	Stra W 4	III_12_0013	Bergheim, Bergheim	7.35777, 48.20604	gaiß	g a i ß	geiß	g ei ß	1
