	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Co Va 9	III_17_0020	Buchsweiler (Bouxwiller), Buchsweiler	7.34362, 47.50479	fliage	f l i a g e	fliaga	f l i a g a	1
1	Co Va 8	III_17_0023	Mittelmüspach-Niedermüspach (Muespach), Müspach	7.3807, 47.54728	fliaga	f l i a g a	fliege	f l ie g e	2
2	Co Wa 5	III_17_0028	Neuweiler (Neuwiller), Neuweiler	7.51526, 47.52439	flīägä	f l ī ä g ä	fliegä	f l ie g ä	2
3	Co W 1	III_16_0067	Istein , Istein	7.53541, 47.66186	fliège	f l i è g e	fliega	f l ie g a	2
4	Co P8	III_15_0045	Bamlach, Bamlach	7.54942, 47.71753	fliēgen	f l i ē g e n	fliege	f l ie g e	2
5	Co P18	III_15_0052	Huttingen, Huttingen	7.5497, 47.67294	fliĕge	f l i ĕ g e	fliäge	f l i ä g e	1
6	Co W 3, Co W 2	III_16_0068, III_16_0069	Kirchen (Efringen-Kirchen), Efringen (Efringen-Kirchen), Kirchen, Efringen	7.56471, 47.64989	fliēge	f l i ē g e	fliegä	f l ie g ä	2
7	Co P17	III_15_0053	Wintersweiler, Wintersweiler	7.56756, 47.67374	fliĕge	f l i ĕ g e	fliĕga	f l i ĕ g a	1
8	Co A10	III_14_0042	Zienken (Müllheim), Zienken	7.57779, 47.84303	fliega	f l ie g a	fliage	f l i a g e	2
9	Co W 12	III_16_0070	Märkt, Märkt	7.58103, 47.627	fliege	f l ie g e	fliëge	f l i ë g e	1
10	Co A9	III_14_0043	Grißheim (Grissheim) , Grissheim	7.59238, 47.87313	fliegä	f l ie g ä	fliēge	f l i ē g e	2
11	Co P14	III_15_0054	Mappach, Mappach	7.59794, 47.68033	fliĕgĕ	f l i ĕ g ĕ	fliëge	f l i ë g e	2
12	Co W 22	III_16_0089, III_16_0090	Haltingen, Haltingen	7.61378, 47.61384	fliege	f l ie g e	fliége	f l i é g e	1
13	Co P15	III_15_0055	Holzen, Holzen	7.62775, 47.69538	fliēge	f l i ē g e	fliege	f l ie g e	1
14	Co W 18	III_16_0085	Weil am Rhein, Weil	7.63299, 47.59278	fliege	f l ie g e	fliäge	f l i ä g e	1
15	Co A4	III_14_0046	Buggingen, Buggingen	7.63735, 47.8479	fliēge	f l i ē g e	flie̠ge	f l ie ̠ g e	2
16	Co A5	III_14_0045	Seefelden, Seefelden	7.63962, 47.85945	fliege	f l ie g e	fliëge	f l i ë g e	1
17	Co H12	III_14_0142	Obereggenen, Niedereggenen, Obereggenen, Niedereggenen	7.64434, 47.75677	fliēge	f l i ē g e	fliäge	f l i ä g e	1
18	Co W 7, 9/1	III_16_0086	Wittlingen, Wittlingen	7.64842, 47.6562	flie̠ge	f l ie ̠ g e	fliége	f l i é g e	2
19	Co H9	III_14_0141	Lipburg, Lipburg	7.65665, 47.78685	flīĕgĕ	f l ī ĕ g ĕ	fliege	f l ie g e	3
20	Co H4	III_14_0139, III_14_0138	Dattingen, Dattingen	7.65681, 47.83383	flīge	f l ī g e	fliëge	f l i ë g e	2
21	Co W 19 , Co W 20	III_16_0079, III_16_0080, III_16_0082, III_16_0083	Lörrach, Lörrach , Lörrach, Lörrach <Adolf Hitler Schule>	7.66409, 47.61258	fliege	f l ie g e	fliěgě	f l i ě g ě	2
22	Co B1	III_14_0051, III_14_0050	Tunsel, Tunsel	7.66581, 47.90315	fliege	f l ie g e	fliegä	f l ie g ä	1
23	Co Wa 6	III_17_0037	Grenzach (Grenzach-Wyhlen), Grenzach	7.66607, 47.55136	fliege	f l ie g e	fliäge	f l i ä g e	1
24	Co J1	III_14_0144	Britzingen, Britzingen	7.67237, 47.82744	fliege	f l ie g e	fliäge	f l i ä g e	1
25	Co u 21	III_13_0134	Schlatt, Schlatt	7.67473, 47.92531	fliage	f l i a g e	flege	f l e g e	2
26	Co J2	III_14_0145	Badenweiler, Badenweiler	7.67934, 47.80555	fliēge	f l i ē g e	fliege	f l ie g e	1
27	Co X 16	III_16_0096	Inzlingen, Inzlingen	7.68772, 47.58811	flīege	f l ī e g e	fliege	f l ie g e	1
28	Co X 5	III_16_0093	Hauingen, Hauingen	7.69375, 47.64287	fliäge	f l i ä g e	fliägä	f l i ä g ä	1
29	Co J3	III_14_0153	Schweighof, Schweighof	7.69904, 47.80743	fliege	f l ie g e	fliēge	f l i ē g e	1
30	Co J7, Co Q1	III_14_0147, III_15_0061	Malsburg, Malsburg	7.70866, 47.73257	fliäge	f l i ä g e	fliege	f l ie g e	1
31	Co u 17	III_13_0130	Mengen, Mengen	7.71392, 47.95851	fliäge	f l i ä g e	fliege	f l ie g e	1
