	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Co D6	III_14_0081	Sewen, Sewen	6.90688, 47.80694	mugga	m u gg a	mucke	m u ck e	3
1	Co D2	III_14_0083	Oberbruck, Oberbruck	6.94324, 47.80838	mugga	m u gg a	mucker	m u ck e r	4
2	Co D3	III_14_0080	Rimbach-Pès-Masevaux), Rimbach	6.9473, 47.82212	mucka	m u ck a	mucke	m u ck e	1
3	Co w 5	III_14_0001	Urbis, St. Amarintal (Urbès), Urbis	6.95521, 47.88255	mugge	m u gg e	muck	m u ck	3
4	Co D4	III_14_0084	Kirchberg-Wegscheid, Kirchberg	6.95965, 47.79904	mucka	m u ck a	můka	m ů k a	2
5	Co p 2	III_13_0094	Wildenstein bei Krüt, Kreis Tann, Wildenstein	6.96296, 47.98143	mugge	m u gg e	mucka	m u ck a	3
6	Co p 1	III_13_0095	Krüt (Kruth), Krüt	6.96629, 47.92912	mugga	m u gg a	mücke	m ü ck e	4
7	Co w 4	III_14_0003	Mollau , Mollau	6.97488, 47.87245	muggä	m u gg ä	muck	m u ck	3
8	Co w 1	III_14_0004	Oderen, Odern	6.97525, 47.91008	muck	m u ck	mugg	m u gg	2
9	Co w 2	III_14_0005	Fellerlingen (Fellering), Felleringen	6.98613, 47.89621	mugg	m u gg	muck	m u ck	2
10	Co w 3	III_14_0006	Hüsseren-Wesserling (Husseren-Wesserling), Hüssern-Wesserling	6.98836, 47.88519	mugga	m u gg a	mücke	m ü ck e	4
11	Co D7	III_14_0086	Masmünster (Masevaux), Maasmünster	6.99386, 47.7727	mugga	m u gg a	mucke	m u ck e	3
12	Co E4	III_14_0087	Aue (Lauw), Aue	7.02216, 47.75778	muck	m u ck	muga	m u g a	2
13	Co E1	III_14_0088	Oberburbach (Bourbach-Les-Haut), Oberburbach	7.02973, 47.7953	mohka	m o h k a	måka	m å k a	2
14	Co x 5	III_14_0009	St. Amarin, St. Amarin	7.03186, 47.87365	mugga	m u gg a	muck	m u ck	3
15	Co q 5	III_13_0096	Mittlach, Mittlach	7.03325, 48.00405	muk	m u k	muck	m u ck	1
16	Co x 3	III_14_0010	Malmerspach, Malmerspach	7.03487, 47.86486	muga	m u g a	muck	m u ck	2
17	Hag E 9	III_5_0027	Harskirchen, Harskirchen	7.0389, 48.93409	mugg	m u gg	mugge	m u gg e	1
18	Hag E 8	III_5_0026	Schopperten, Schopperten	7.05316, 48.94524	muck	m u ck	mücke	m ü ck e	2
19	Co E3	III_14_0090	Sentheim, Sentheim	7.0544, 47.75581	muckä	m u ck ä	muggă	m u gg ă	3
20	Co x 9	III_14_0013	Geishausen, Geishausen	7.05832, 47.88017	mucka	m u ck a	muck	m u ck	1
21	Co T9	III_16_0014	Gottestal, Luttern (Valdieu-Lutran), Gottestal	7.05852, 47.63139	muck	m u ck	mucka	m u ck a	1
22	Co E2	III_14_0091	Niederburbach (Bourbach-Le-Bas), Niederburbach	7.05868, 47.77527	mugge	m u gg e	mucka	m u ck a	3
23	Hag T 2	III_7_0006	Kirberg (Kirrberg), Kirberg	7.06204, 48.8233	mugg	m u gg	muck	m u ck	2
24	Co T1	III_15_0008	Brückensweiler (Bréchaumont), Brückensweiler	7.0684, 47.66973	mucke	m u ck e	mucka	m u ck a	1
25	Co x 4	III_14_0012	Weiler, Weiler	7.07073, 47.84351	muggǎ	m u gg ǎ	mücke	m ü ck e	4
26	Co E13	III_14_0092	Rammersmatt, Rammersmatt	7.07084, 47.78935	muga	m u g a	mŭgge	m ŭ gg e	3
27	Co M6	III_15_0004	Bretten Landkreis Altkirch, Bretten	7.0716, 47.69963	muggä	m u gg ä	mocka	m o ck a	4
28	Hag M 1	III_5_0034	Zollingen, Zollingen	7.07636, 48.91048	můck	m ů ck	muck	m u ck	1
29	Co E9	III_14_0089	Tann-Bitschweiler (Bitschwiller-Lès-Thann), Bitschweiler	7.07947, 47.82929	mucka	m u ck a	muck	m u ck	1
30	Hag x 2	III_4_0053	Herbitzheim, Herbitzheim	7.08355, 49.01459	muck	m u ck	muock	m u o ck	1
31	Hag E 5	III_5_0033	Saarwerden (Sarrewerden), Saarwerden	7.08411, 48.9218	mugg	m u gg	muck	m u ck	2
32	Hag M 10	III_6_0012	Bärendorf (Baerendorf), Bärendorf	7.08463, 48.83742	muck	m u ck	mucke	m u ck e	1
33	Hag x 1	III_4_0044	Silzheim (Siltzheim), Silzheim	7.09071, 49.0616	mecken	m e ck e n	mock	m o ck	3
34	Co M3	III_15_0003	Niedersulzbach (soppe-Le-Bas), Niedersulzbach	7.09079, 47.71688	muga	m u g a	mucka	m u ck a	2
35	Co M1	III_15_0002	Gewenheim, Gewenheim	7.0913, 47.75291	muk	m u k	muke	m u k e	1
36	Co i 7	III_13_0006	Breitenbach (Breitenbach-Haut-Rhin), Breitenbach	7.10087, 48.02382	můck	m ů ck	mŭ̊ck	m ŭ ̊ ck	2
37	Co i 9	III_13_0003, III_13_0004	Stossweier, Stossweier	7.10163, 48.05432	mok	m o k	mōk	m ō k	1
38	Co i 2	III_13_0009	Sulzern (Soultzeren), Sulzern	7.10254, 48.06373	moͧck	m o ͧ ck	mock	m o ck	1
39	Co x 7	III_14_0014	Goldbach-Altenbach, Goldbach-Altenbach	7.10326, 47.87359	mucke	m u ck e	mugge	m u gg e	2
40	Co E7	III_14_0094	Tann (Thann), Thann	7.10335, 47.81019	mucke	m u ck e	muckă	m u ck ă	1
41	Hag T 3	III_7_0008	Rauweiler, Rauweiler	7.10907, 48.81139	mŭcke	m ŭ ck e	muck	m u ck	2
42	Hag M 3	III_6_0004	Burbach, Burbach	7.11226, 48.90144	muck	m u ck	mück	m ü ck	1
43	Co T7	III_16_0007	Wolfersdorf, Wolfersdorf	7.1132, 47.63625	mucka	m u ck a	mugga	m u gg a	2
44	Hag T 1	III_6_0011	Hirschland, Hirschland	7.11324, 48.83701	mŭcke	m ŭ ck e	muck	m u ck	2
45	Co T12	III_16_0002	Altenach, Altenach	7.11466, 47.60658	mucka	m u ck a	mugga	m u gg a	2
46	Co T13	III_16_0003	St. Ulrich bei Dammerkirch, St. Ulrich	7.11911, 47.59537	mucka	m u ck a	mugga	m u gg a	2
47	Co T6	III_16_0018	Dammerkirch (Dannemarie), Dammerkirch	7.1214, 47.63024	mugga	m u gg a	mucka	m u ck a	2
48	Hag E 4	III_5_0032	Rimsdorf, Rimsdorf	7.12568, 48.92923	mugge	m u gg e	muck	m u ck	3
49	Co q 1	III_13_0098	Lintal (Linthal, Kreis Tann), Lintal	7.12943, 47.94619	mucka	m u ck a	muck	m u ck	1
50	Co i 1/1, Co i 1/2	III_13_0065	Münster (Munster), Münster	7.13185, 48.0418	mŭg	m ŭ g	mock	m o ck	3
51	Co i 8	III_13_0001	Hohrodberg, Hohrodberg	7.13528, 48.06037	mock	m o ck	muka	m u k a	3
52	Co Vc 2	III_16_0011	Hindlingen, Hindlingen	7.13734, 47.57341	mugga	m u gg a	mucka	m u ck a	2
53	Co T3	III_16_0008	Büttweiler (Buethwiller), Bütweiler	7.14982, 47.65627	můcka	m ů ck a	mücke	m ü ck e	2
54	Co Vc 1	III_17_0002	Friesen, Friesen	7.15001, 47.56535	mugge	m u gg e	mugga	m u gg a	1
55	Co E11	III_14_0099	Niederasbach (Aspach-Le-Bas), Niederaspach	7.15065, 47.7618	mugga	m u gg a	muga	m u g a	1
56	Hag E 3	III_5_0031	Domfessel, Domfessel	7.15171, 48.95143	mugg	m u gg	muck	m u ck	2
57	Hag M 5	III_6_0008	Berg, Berg	7.1532, 48.89487	muck	m u ck	mück	m ü ck	1
58	Co x 8	III_14_0015	Rimbach bei Gebweiler (Rimbach-près-Guebwiller), Rimbach	7.15658, 47.90483	mugg	m u gg	muck	m u ck	2
59	Hag M 6	III_6_0009	Güngweiler (Gungwiller), Gu[e]ngweiler	7.15771, 48.88171	muck	m u ck	mück	m ü ck	1
60	Co q 2	III_13_0100	Lautenbach (Kreis Tann), Lautenbach	7.15877, 47.9414	mugg	m u gg	mugge	m u gg e	1
61	Hag M 9	III_6_0010	Weyer, Weyer	7.15976, 48.85488	mugge	m u gg e	muck	m u ck	3
62	Co M5	III_15_0013	Niederburnhaupt (Burnhaupt-Le-Bas), Niederburnhaupt	7.16039, 47.71674	mugga	m u gg a	muga	m u g a	1
63	Co q 6	III_13_0101	Murbach, Murbach	7.1604, 47.92318	muck	m u ck	mücka	m ü ck a	2
64	Co T15	III_16_0010	Ballersdorf, Ballersdorf	7.1624, 47.625	muka	m u k a	mucka	m u ck a	1
65	Co Ua 11	III_17_0031	Pfetterhausen (Pfetterhouse), Pfetterhausen	7.16635, 47.50105	mucka	m u ck a	mücke	m ü ck e	2
66	Co k 1	III_13_0016	Griesbach (Griesbach-Au-Val), Griesbach	7.17071, 48.03351	moͧck	m o ͧ ck	muck	m u ck	2
67	Co F5	III_14_0016	Wattweiler (Wattwiller), Wattweiler	7.17766, 47.83549	mugga	m u gg a	muggå	m u gg å	1
68	Co F1	III_14_0101	Uffholz, Uffholz	7.17804, 47.81981	mucke	m u ck e	mucka	m u ck a	1
69	Co F2	III_14_0097	Sennheim (Cerany), Sennheim	7.17837, 47.80918	muck	m u ck	mucka	m u ck a	1
70	Stra V 1, Stra U 1/1, Stra U 1/2	III_12_0002	Markich (Sainte-Marie-Aux-Marines), Markirch	7.17972, 48.24483	můgg	m ů gg	muck	m u ck	3
