Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Fessenheim (Gutenstein), Fessenheim	7.53712	47.91578	1	-0.32664335555819857	0.01635422041461296
Zienken (Müllheim)	7.57779	47.84303	2	0.4216194737649724	-0.14078055649024163
Blodelsheim	7.53396	47.88426	1	-0.32664335555819857	0.0218616455758086
Rumersheim (Rumersheim-le-Haute)	7.51712	47.85248	2	0.4216194737649724	-0.08405886664293115
Buggingen	7.63735	47.8479	0	-1.0749061848813695	0.5167844614112534
Seefelden	7.63962	47.85945	0	-1.0749061848813695	0.5366779771953072
Heitersheim	7.66768	47.87108	2	0.4216194737649724	-0.24013766467670838
Eschbach (bei Heitersheim)	7.65221	47.8908	2	0.4216194737649724	-0.25386669867627126
Bremgarten (Hartheim)	7.62385	47.91694	2	0.4216194737649724	-0.28497367323855904
Grißheim (Grissheim) 	7.59238	47.87313	2	0.4216194737649724	-0.16464750506946213
Tunsel	7.66581	47.90315	0	-1.0749061848813695	0.5919587982808302
Grunern bei Müllheim	7.72184	47.87162	1	-0.32664335555819857	0.19720699438939443
Bad Krozingen	7.70333	47.91813	1	-0.32664335555819857	0.24051903081468914
Obermünstertal-Krumlinden (Obermünstertal)	7.81186	47.87153	3	1.1698823030881433	-0.4592672736063293
Wettelbrunn	7.69689	47.87134	1	-0.32664335555819857	0.2071987013023345
Ballrechten-Dottingen	7.70076	47.86061	0	-1.0749061848813695	0.6199974544317198
Laufen	7.68471	47.8434	0	-1.0749061848813695	0.5429999567919769
Sulzburg	7.70727	47.84122	0	-1.0749061848813695	0.6070286707926585
Untermünstertal-Ziegelplatz (Untermünstertal)	7.78649	47.85518	0	-1.0749061848813695	0.28978199172076613
Untermünstertal-Rotenbuck	7.79435	47.84136	0	-1.0749061848813695	0.2743818148444671
Staufen (bei Freiburg)	7.72962	47.88166	2	0.4216194737649724	-0.26105788552961284
Kaysersberg	7.2617	48.13853	1	-0.32664335555819857	0.08871429334524385
Ingersheim	7.30725	48.0936	1	-0.32664335555819857	0.04243882849279514
Ammerschweier	7.28484	48.12465	1	-0.32664335555819857	0.06038691116885081
Mittelweier	7.32094	48.14982	1	-0.32664335555819857	0.06691527362423245
Bebelnheim (Beblenheim)	7.32264	48.15802	1	-0.32664335555819857	0.06155849407257486
Türkheim (Turckheim)	7.27884	48.0862	1	-0.32664335555819857	0.06869752478294155
Katzenthal	7.28497	48.10796	2	0.4216194737649724	-0.08808631802566601
Niedermorschweiher	7.27596	48.09972	1	-0.32664335555819857	0.05606178303569208
Kientzheim	7.28695	48.13649	3	1.1698823030881433	-0.3250600126866356
Bennweier	7.32417	48.14496	3	1.1698823030881433	-0.29592433413728547
Sigolsheim	7.3035	48.13267	0	-1.0749061848813695	0.17482141758818584
Obermünstertal-Stohren	7.87525	47.8938	1	-0.32664335555819857	0.06905406255997142
Obermünstertal-Spielweg	7.83588	47.87776	1	-0.32664335555819857	0.07791521987975372
Wieden	7.8814	47.84169	3	1.1698823030881433	0.02576639659828353
Todtnauberg, Todtnauberg	7.94335	47.85074	0	-1.0749061848813695	-0.4241829296037789
Sankt Wilhelm, Sankt Wilhelm	7.94887	47.89511	3	1.1698823030881433	0.16453576995746963
Hofsgrund	7.89778	47.90096	0	-1.0749061848813695	-0.07618042365537823
Ostheim	7.37011	48.1551	2	0.4216194737649724	-0.0961810481046154
Fortschweier	7.45233	48.08996	3	1.1698823030881433	-0.2980741028254395
Grussenheim	7.48794	48.1443	1	-0.32664335555819857	0.1423851593148397
Munzenheim (Muntzenheim), Munzenheim (Muntzenheim)	7.47318	48.10199	0	-1.0749061848813695	0.35415453096909466
Bischweier	7.43735	48.09944	0	-1.0749061848813695	0.24082069462034145
Holzweier	7.42541	48.11028	1	-0.32664335555819857	0.09241037987575709
Riedweier	7.44536	48.12387	0	-1.0749061848813695	0.2713253998668799
Wickerschweier	7.43868	48.10708	1	-0.32664335555819857	0.10969899505072886
Jebsheim	7.47771	48.12279	2	0.4216194737649724	-0.15545256297008592
Hausen bei Kolmar (Houssen)	7.37665	48.125	1	-0.32664335555819857	0.08273362419080468
Elsenheim	7.50131	48.16133	1	-0.32664335555819857	0.16306412270952106
Dollern (Dolleren)	6.93211	47.80559	1	-0.32664335555819857	0.043770485036783664
