Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Dambach	7.63179	49.00256	0	-0.6063015950399561	0.11564241805021011
Obersteinbach	7.69364	49.03549	1	-0.13605710141810876	0.02930053241949618
Niedersteinbach	7.71501	49.0295	1	-0.13605710141810876	0.029118492300639735
Wingen	7.81729	49.02601	0	-0.6063015950399561	0.14891059740587823
Lembach	7.78942	49.00701	0	-0.6063015950399561	0.17473271443156876
Weißenburg-Weiler	7.91271	49.0377	1	-0.13605710141810876	0.03437213270760534
Weißenburg (Wissembourg)	7.9521	49.03733	0	-0.6063015950399561	0.05095344520069872
Altenstadt	7.96964	49.03158	1	-0.13605710141810876	0.0175745713589528
Rott	7.91304	49.02495	0	-0.6063015950399561	0.16740641944921497
Steinselz (Steinseltz)	7.93035	49.0109	1	-0.13605710141810876	0.04184037768532971
Kleeburg (Cleebourg)	7.89318	49.00093	1	-0.13605710141810876	0.04670970364735454
Klimbach (Climbach)	7.85041	49.01803	0	-0.6063015950399561	0.14744869779781467
Altweiler (Altwiller)	6.98122	48.93023	1	-0.13605710141810876	-0.017983561437046727
Örmingen (Oermingen)	7.12881	49.00062	3	0.8044318858255859	-0.046257821411747
Völlerdingen (Voellerdingen)	7.14098	48.9622	0	-0.6063015950399561	-0.03715607301110835
Domfessel	7.15171	48.95143	1	-0.13605710141810876	0.009147633616005638
Rimsdorf	7.12568	48.92923	1	-0.13605710141810876	-0.04268798378023926
Saarwerden (Sarrewerden)	7.08411	48.9218	0	-0.6063015950399561	-0.2753931738086159
Saarbuckenheim (Sarre-Union), Saarbuckenheim (Sarre-Union)	7.08686	48.93919	1	-0.13605710141810876	-0.038341431715890294
Keskastel	7.04339	48.96955	2	0.3341873922037386	0.06531593434376326
Schopperten	7.05316	48.94524	0	-0.6063015950399561	-0.22993439171312105
Harskirchen	7.0389	48.93409	1	-0.13605710141810876	-0.07068667507070982
Dehlingen	7.19095	48.98016	0	-0.6063015950399561	0.10944976634785389
Bütten (Butten)	7.2205	48.97095	0	-0.6063015950399561	0.11546705483837164
Ratzweiler (Ratzwiller)	7.23978	48.95501	1	-0.13605710141810876	0.04279438129909019
Lorenzen (Lorentzen)	7.1752	48.95249	0	-0.6063015950399561	0.022087947039684818
Diemeringen	7.18685	48.94061	0	-0.6063015950399561	0.18797909301493504
Mackweiler (Mackwiller)	7.17502	48.9258	0	-0.6063015950399561	-0.03925341202298906
Waldhambach	7.21529	48.92578	0	-0.6063015950399561	0.21830977913188673
Rosteig	7.33838	48.9327	2	0.3341873922037386	-0.08375427423078974
Wingen (Wingen-Sur-Moder)	7.38129	48.91753	1	-0.13605710141810876	0.016581891976214076
Reipertsweiler (Reipertswiller)	7.46373	48.93214	4	1.2746763794474334	-0.2794617320177945
Oberbronn	7.6082	48.94109	1	-0.13605710141810876	0.046064181865291313
Bad-Niederbronn (Niederbronn-Les-Bains), Niederbronn (GID von Niederbronn les bains), Bad-Niederbronn (Niederbronn-Les-Bains)	7.64282	48.95108	0	-0.6063015950399561	0.1919617683455651
Reichshofen (Reichshoffen)	7.66338	48.93223	0	-0.6063015950399561	0.17911143459525664
Lembach-Pfaffenbronn (Pfaffenbronn) 	7.83111	48.99355	2	0.3341873922037386	-0.12282717772444196
Mattstall	7.7613	48.98757	0	-0.6063015950399561	0.1577019986531933
Lampertsloch	7.81713	48.95698	1	-0.13605710141810876	0.04456909474508121
Mitschdorf	7.78435	48.9524	0	-0.6063015950399561	0.17440401553320142
Görsdorf (Goersdorf)	7.76782	48.95111	0	-0.6063015950399561	0.14622227864634096
Preuschdorf	7.80425	48.9435	2	0.3341873922037386	-0.09810706687516406
Merkweiler (Merkwiller-Pechelbronn)	7.82707	48.93886	1	-0.13605710141810876	0.04553439370197036
Diefenbach (Dieffenbach-Lès-Woerth)	7.77425	48.93532	2	0.3341873922037386	-0.08879674529279157
Oberdorf-Spachbach	7.75696	48.92512	1	-0.13605710141810876	0.034355070138638935
Wört (Woerth)	7.74374	48.93677	1	-0.13605710141810876	0.031066559267788747
Fröschweiler (Frœschwiller)	7.72171	48.94318	0	-0.6063015950399561	0.19751014349540325
Nehweiler (Nehwiller)	7.70322	48.96072	0	-0.6063015950399561	0.1919662180672677
Langensulzbach (Langensoultzbach)	7.73367	48.96812	1	-0.13605710141810876	0.03210717381374078
Riedselz (Riedseltz)	7.95195	48.99281	0	-0.6063015950399561	0.14210551772735586
Bremmelbach	7.90023	48.986	2	0.3341873922037386	-0.13040987837271958
Ingolsheim	7.93636	48.97357	0	-0.6063015950399561	0.22954776468926125
Oberseebach	7.98947	48.9672	1	-0.13605710141810876	0.030661843343769236
Hunspach	7.94316	48.9536	0	-0.6063015950399561	0.1610248344923877
Aschbach	7.98262	48.93423	0	-0.6063015950399561	0.08188674294159182
Stundweiler (Stundwiller)	7.99256	48.92477	0	-0.6063015950399561	0.05838169362205081
