Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Dambach	7.63179	49.00256	0	-0.770282808452417	0.1363382241142848
Obersteinbach	7.69364	49.03549	0	-0.770282808452417	0.19101771635329262
Niedersteinbach	7.71501	49.0295	0	-0.770282808452417	0.23786828928764325
Wingen	7.81729	49.02601	1	0.004630958768251	-0.0006648106878852126
Lembach	7.78942	49.00701	0	-0.770282808452417	0.1636986304959892
Weißenburg-Weiler	7.91271	49.0377	3	1.554458493209587	-0.0668351805020491
Weißenburg (Wissembourg)	7.9521	49.03733	0	-0.770282808452417	-0.02124656955870425
Altenstadt	7.96964	49.03158	2	0.7795447259889191	-0.03501007290660774
Rott	7.91304	49.02495	1	0.004630958768251	0.00011518988808415748
Steinselz (Steinseltz)	7.93035	49.0109	2	0.7795447259889191	-0.06973768352598642
Kleeburg (Cleebourg)	7.89318	49.00093	1	0.004630958768251	-0.0002856344977774647
Klimbach (Climbach)	7.85041	49.01803	0	-0.770282808452417	0.04747580097211368
Altweiler (Altwiller)	6.98122	48.93023	1	0.004630958768251	-0.0006165716170828145
Örmingen (Oermingen)	7.12881	49.00062	1	0.004630958768251	-3.5389951449500535e-05
Völlerdingen (Voellerdingen)	7.14098	48.9622	0	-0.770282808452417	0.08545815631740043
Domfessel	7.15171	48.95143	0	-0.770282808452417	0.35623544140664526
Rimsdorf	7.12568	48.92923	0	-0.770282808452417	0.45834900625173164
Saarwerden (Sarrewerden)	7.08411	48.9218	1	0.004630958768251	-0.0019047380389998199
Saarbuckenheim (Sarre-Union), Saarbuckenheim (Sarre-Union)	7.08686	48.93919	0	-0.770282808452417	0.28182143128275267
Keskastel	7.04339	48.96955	0	-0.770282808452417	-0.08795412071476674
Schopperten	7.05316	48.94524	0	-0.770282808452417	0.2513281439470198
Harskirchen	7.0389	48.93409	1	0.004630958768251	-0.0016763837352626939
Dehlingen	7.19095	48.98016	0	-0.770282808452417	0.23241567781224431
Bütten (Butten)	7.2205	48.97095	0	-0.770282808452417	0.24212801658452227
Ratzweiler (Ratzwiller)	7.23978	48.95501	2	0.7795447259889191	-0.3918958846601081
Lorenzen (Lorentzen)	7.1752	48.95249	1	0.004630958768251	-0.0022796582703383133
Diemeringen	7.18685	48.94061	0	-0.770282808452417	0.35442441913010136
Mackweiler (Mackwiller)	7.17502	48.9258	1	0.004630958768251	-0.0025752172572943463
Waldhambach	7.21529	48.92578	1	0.004630958768251	-0.0022982536576647027
Rosteig	7.33838	48.9327	0	-0.770282808452417	0.2752410823761321
Wingen (Wingen-Sur-Moder)	7.38129	48.91753	0	-0.770282808452417	0.34457328932245135
Reipertsweiler (Reipertswiller)	7.46373	48.93214	0	-0.770282808452417	0.25653738780463775
Oberbronn	7.6082	48.94109	1	0.004630958768251	-0.002034891645407966
Bad-Niederbronn (Niederbronn-Les-Bains), Niederbronn (GID von Niederbronn les bains), Bad-Niederbronn (Niederbronn-Les-Bains)	7.64282	48.95108	0	-0.770282808452417	0.2749535839588948
Reichshofen (Reichshoffen)	7.66338	48.93223	0	-0.770282808452417	0.266948703806351
Lembach-Pfaffenbronn (Pfaffenbronn) 	7.83111	48.99355	0	-0.770282808452417	0.14290914053546028
Mattstall	7.7613	48.98757	1	0.004630958768251	-0.0017715956322272978
Lampertsloch	7.81713	48.95698	4	2.3293722604302554	-0.6835788266127713
Mitschdorf	7.78435	48.9524	0	-0.770282808452417	0.2241149466012709
Görsdorf (Goersdorf)	7.76782	48.95111	0	-0.770282808452417	0.26952593247172885
Preuschdorf	7.80425	48.9435	1	0.004630958768251	-0.0012516220050273728
Merkweiler (Merkwiller-Pechelbronn)	7.82707	48.93886	0	-0.770282808452417	0.21678424652197703
Diefenbach (Dieffenbach-Lès-Woerth)	7.77425	48.93532	0	-0.770282808452417	0.2205010618952122
Oberdorf-Spachbach	7.75696	48.92512	2	0.7795447259889191	-0.24093129505294686
Wört (Woerth)	7.74374	48.93677	0	-0.770282808452417	0.22275179437906084
Fröschweiler (Frœschwiller)	7.72171	48.94318	1	0.004630958768251	-0.001983946335274948
Nehweiler (Nehwiller)	7.70322	48.96072	1	0.004630958768251	-0.002268713787013775
Langensulzbach (Langensoultzbach)	7.73367	48.96812	1	0.004630958768251	-0.0015933687938157483
Riedselz (Riedseltz)	7.95195	48.99281	2	0.7795447259889191	-0.10790831020283065
Bremmelbach	7.90023	48.986	1	0.004630958768251	-0.0004896083317479723
Ingolsheim	7.93636	48.97357	0	-0.770282808452417	0.09905143059633864
Oberseebach	7.98947	48.9672	1	0.004630958768251	-0.0008190872982379857
Hunspach	7.94316	48.9536	0	-0.770282808452417	0.11830678991000618
Aschbach	7.98262	48.93423	2	0.7795447259889191	-0.17741108019987245
Stundweiler (Stundwiller)	7.99256	48.92477	0	-0.770282808452417	0.20245440217937272
Leitersweiler (Leiterswiller)	7.94768	48.92407	1	0.004630958768251	-0.0011513051494988142
Hofen (Hoffen)	7.9412	48.92766	2	0.7795447259889191	-0.19983388856631573
