Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Dambach	7.63179	49.00256	7	2.045081334552369	0.19446557381917154
Obersteinbach	7.69364	49.03549	5	1.197077007587916	0.16568656830022963
Niedersteinbach	7.71501	49.0295	7	2.045081334552369	0.1426214472717106
Wingen	7.81729	49.02601	1	-0.4989316463409905	0.1904723743492271
Lembach	7.78942	49.00701	1	-0.4989316463409905	-0.014552296778671396
Weißenburg-Weiler	7.91271	49.0377	1	-0.4989316463409905	0.10138978401526798
Weißenburg (Wissembourg)	7.9521	49.03733	1	-0.4989316463409905	0.10060868348546678
Altenstadt	7.96964	49.03158	1	-0.4989316463409905	0.12231482198849113
Rott	7.91304	49.02495	0	-0.9229338098232172	0.2392598239601541
Steinselz (Steinseltz)	7.93035	49.0109	7	2.045081334552369	-0.8337569662827713
Kleeburg (Cleebourg)	7.89318	49.00093	0	-0.9229338098232172	0.3332110205633683
Klimbach (Climbach)	7.85041	49.01803	2	-0.0749294828587639	0.029357816142408608
Altweiler (Altwiller)	6.98122	48.93023	1	-0.4989316463409905	0.11776608812821893
Örmingen (Oermingen)	7.12881	49.00062	1	-0.4989316463409905	0.32354996981718115
Völlerdingen (Voellerdingen)	7.14098	48.9622	1	-0.4989316463409905	0.4118848948012209
Domfessel	7.15171	48.95143	0	-0.9229338098232172	0.5697669273594362
Rimsdorf	7.12568	48.92923	1	-0.4989316463409905	0.3490838336077078
Saarwerden (Sarrewerden)	7.08411	48.9218	2	-0.0749294828587639	0.03977818550355247
Saarbuckenheim (Sarre-Union), Saarbuckenheim (Sarre-Union)	7.08686	48.93919	0	-0.9229338098232172	0.42239753116023065
Keskastel	7.04339	48.96955	2	-0.0749294828587639	0.056358674149387285
Schopperten	7.05316	48.94524	0	-0.9229338098232172	0.49046709608630823
Harskirchen	7.0389	48.93409	0	-0.9229338098232172	0.5075099059234247
Dehlingen	7.19095	48.98016	0	-0.9229338098232172	0.13853310716479783
Bütten (Butten)	7.2205	48.97095	2	-0.0749294828587639	0.01384332358351231
Ratzweiler (Ratzwiller)	7.23978	48.95501	0	-0.9229338098232172	0.13494588314544015
Lorenzen (Lorentzen)	7.1752	48.95249	5	1.197077007587916	-0.6272316049254757
Diemeringen	7.18685	48.94061	0	-0.9229338098232172	0.22960932700582615
Mackweiler (Mackwiller)	7.17502	48.9258	2	-0.0749294828587639	0.0447722932360857
Waldhambach	7.21529	48.92578	0	-0.9229338098232172	0.24337607543358175
Rosteig	7.33838	48.9327	3	0.3490726806234627	-0.013430472326114346
Wingen (Wingen-Sur-Moder)	7.38129	48.91753	1	-0.4989316463409905	0.09983498977323205
Reipertsweiler (Reipertswiller)	7.46373	48.93214	0	-0.9229338098232172	0.11693052348930826
Oberbronn	7.6082	48.94109	0	-0.9229338098232172	-0.04547937323850542
Bad-Niederbronn (Niederbronn-Les-Bains), Niederbronn (GID von Niederbronn les bains), Bad-Niederbronn (Niederbronn-Les-Bains)	7.64282	48.95108	0	-0.9229338098232172	-0.2247654968428506
Reichshofen (Reichshoffen)	7.66338	48.93223	1	-0.4989316463409905	-0.022460075495053883
Lembach-Pfaffenbronn (Pfaffenbronn) 	7.83111	48.99355	2	-0.0749294828587639	0.03432632900888483
Mattstall	7.7613	48.98757	0	-0.9229338098232172	-0.0103216477815944
Lampertsloch	7.81713	48.95698	0	-0.9229338098232172	0.4715385623314373
Mitschdorf	7.78435	48.9524	0	-0.9229338098232172	0.10084456368979733
Görsdorf (Goersdorf)	7.76782	48.95111	1	-0.4989316463409905	0.014715334715048082
Preuschdorf	7.80425	48.9435	1	-0.4989316463409905	0.13546099930725994
Merkweiler (Merkwiller-Pechelbronn)	7.82707	48.93886	1	-0.4989316463409905	0.2791095729831045
Diefenbach (Dieffenbach-Lès-Woerth)	7.77425	48.93532	0	-0.9229338098232172	0.13113895628325284
Oberdorf-Spachbach	7.75696	48.92512	1	-0.4989316463409905	0.15105582172429116
Wört (Woerth)	7.74374	48.93677	0	-0.9229338098232172	0.14483561725756264
Fröschweiler (Frœschwiller)	7.72171	48.94318	3	0.3490726806234627	-0.006257823993802646
Nehweiler (Nehwiller)	7.70322	48.96072	2	-0.0749294828587639	-0.0016052869740329754
Langensulzbach (Langensoultzbach)	7.73367	48.96812	3	0.3490726806234627	-0.05754984902701094
Riedselz (Riedseltz), Riedselz (Riedseltz)	7.95195	48.99281	5	1.197077007587916	-0.6617498250800724
Ingolsheim	7.93636	48.97357	4	0.7730748441056893	-0.32593084800844924
Oberseebach	7.98947	48.9672	0	-0.9229338098232172	0.3649427803118132
Hunspach	7.94316	48.9536	0	-0.9229338098232172	0.37028860996673196
Aschbach	7.98262	48.93423	0	-0.9229338098232172	0.45417489818317075
Stundweiler (Stundwiller)	7.99256	48.92477	0	-0.9229338098232172	0.4205043916011137
Leitersweiler (Leiterswiller)	7.94768	48.92407	0	-0.9229338098232172	0.4146583927626367
Hofen (Hoffen)	7.9412	48.92766	0	-0.9229338098232172	0.3691027458806896
Kühlendorf (Kuhlendorf) und Hohweiler, Kühlendorf (Kuhlendorf)	7.92307	48.91408	0	-0.9229338098232172	0.32886112135124795
Hermersweiler (Hermerswiller)	7.91205	48.93588	1	-0.4989316463409905	0.1956222696396978
Schönenburg (Schoenenbourg)	7.91332	48.95207	0	-0.9229338098232172	0.3964979259104803
Sulz u. (f) (Soultz-Sous-Forêts)	7.88268	48.93782	0	-0.9229338098232172	0.4052709193499653
Kutzenhausen	7.85624	48.93375	2	-0.0749294828587639	0.034566845116472796
Retschweiler (Retschwiller)	7.87838	48.95025	1	-0.4989316463409905	0.21067223600132326
Memmelshofen (Memmelshoffen)	7.87106	48.96013	0	-0.9229338098232172	0.3838747418175189
Keffenach	7.88225	48.96489	1	-0.4989316463409905	0.21067223600132326
Birlenbach	7.8829	48.9763	0	-0.9229338098232172	0.4052709193499653
Drachenbronn, Drachenbronn	7.87037	48.98626	2	-0.0749294828587639	0.03279457331169646
Lobsann	7.84681	48.96327	6	1.6210791710701424	-0.8482504249692902
Oberkutzenhausen	7.84049	48.93847	0	-0.9229338098232172	0.409023264998679
Zollingen	7.07636	48.91048	0	-0.9229338098232172	0.5248141039214197
Pisdorf (Bischtroff-sur-Sarre)	7.06995	48.9005	1	-0.4989316463409905	0.29533916362776214
Burbach	7.11226	48.90144	0	-0.9229338098232172	0.5638725954574074
Berg	7.1532	48.89487	1	-0.4989316463409905	0.3481292445108421
Güngweiler (Gungwiller)	7.15771	48.88171	1	-0.4989316463409905	0.32841815680895603
Eyweiler (Eywiller)	7.13172	48.8709	1	-0.4989316463409905	0.35421757429178546
Eschweiler (Eschwiller)	7.11652	48.8596	0	-0.9229338098232172	0.5784288042023574
Weyer	7.15976	48.85488	3	0.3490726806234627	-0.21317069043328718
Bärendorf (Baerendorf)	7.08463	48.83742	1	-0.4989316463409905	0.21141775235508345
Wolfskirchen, Wolfskirchen	7.07612	48.87884	0	-0.9229338098232172	0.5715621693012217
Diedendorf	7.04974	48.87869	1	-0.4989316463409905	0.30878645809507876
Puberg	7.31461	48.91322	1	-0.4989316463409905	0.09780839660356543
Hinsburg (Hinsbourg)	7.28852	48.90706	0	-0.9229338098232172	0.2406926994572901
Frohmühl (Frohmuhl)	7.28007	48.90754	7	2.045081334552369	-0.7853917828487089
Tieffenbach	7.24987	48.90483	0	-0.9229338098232172	0.25023463213355657
Strut (Struth)	7.25475	48.89009	5	1.197077007587916	-0.35526484038785294
Petersbach	7.26874	48.86912	5	1.197077007587916	-0.34155117349388836
Lützelstein (La Petite-Pierre)	7.32076	48.85864	0	-0.9229338098232172	0.1922817772603055
Adamsweiler (Adamswiller)	7.20348	48.90463	3	0.3490726806234627	-0.15387314775833288
Dürstel (Durstel)	7.19745	48.89156	0	-0.9229338098232172	0.34931190613768204
Bettweiler (Bettwiller)	7.17993	48.88617	7	2.045081334552369	-1.2864318234377055
Aßweiler (Asswiller)	7.2198	48.88035	1	-0.4989316463409905	0.13470955324551548
Drulingen	7.18979	48.8662	1	-0.4989316463409905	0.16988349464075345
Ottweiler (Ottwiller)	7.23096	48.86516	0	-0.9229338098232172	0.21254125881708014
Lohr	7.24351	48.85748	1	-0.4989316463409905	0.09542695543902176
Sieweiler (Siewiller)	7.20676	48.84318	0	-0.9229338098232172	0.2627054242896793
Berg, Rexingen	7.17654	48.90012	0	-0.9229338098232172	0.4305946212080308
Lichtenberg	7.48181	48.9216	1	-0.4989316463409905	0.09157071156810231
Wimmenau	7.41957	48.91035	7	2.045081334552369	-0.6746817700295774
Zittersheim	7.34551	48.89955	0	-0.9229338098232172	0.03808458117540969
Erkartsweiler (Erckartswiller)	7.3596	48.87532	2	-0.0749294828587639	0.009962539911265403
Sparsbach	7.41533	48.87754	0	-0.9229338098232172	0.2471605210760969
Weinburg (Weinbourg)	7.44029	48.87157	1	-0.4989316463409905	0.14711786315507402
Ingweiler (Ingwiller)	7.48031	48.87322	2	-0.0749294828587639	0.026169810813775875
Menchhofen (Menchhoffen)	7.49498	48.85955	1	-0.4989316463409905	0.17676850249943582
Uttweiler (Uttwiller)	7.48667	48.84591	2	-0.0749294828587639	0.02603878765289154
Niedersulzbach (Niedersoultzbach)	7.4662	48.84923	0	-0.9229338098232172	0.3435273920865597
Obersulzbach (Obersoultzbach)	7.45013	48.85174	1	-0.4989316463409905	0.18526216413979385
Weitersweiler (Weiterswiller)	7.41341	48.85298	2	-0.0749294828587639	0.027771504345044235
Zinsweiler	7.59018	48.9196	2	-0.0749294828587639	0.010895589992978377
Offweiler	7.54296	48.91021	1	-0.4989316463409905	0.12178290226152308
Rotbach	7.52883	48.90568	3	0.3490726806234627	-0.16161823325405517
Bischholz	7.53995	48.89301	1	-0.4989316463409905	0.2210727811326105
Mühlhausen	7.5527	48.88226	1	-0.4989316463409905	0.25731074700558115
Uhrweiler (Uhrwiller)	7.57892	48.8784	2	-0.0749294828587639	0.03906815627967378
Engweiler	7.61501	48.88508	1	-0.4989316463409905	0.18761374651126625
Gumbrechtshofen	7.6319	48.90544	1	-0.4989316463409905	0.0804308174696013
Gundershofen	7.6592	48.90652	0	-0.9229338098232172	0.16627802583736015
Mietesheim	7.63837	48.87814	7	2.045081334552369	-0.9974701983811416
Bitschhofen	7.61913	48.85878	0	-0.9229338098232172	0.3994751156350706
Überach (Uberach)	7.62806	48.84844	0	-0.9229338098232172	0.24859397336675798
Pfaffenhofen, Pfaffenhofen -Volksberg	7.60881	48.84422	2	-0.0749294828587639	0.025130602945394733
Kindweiler	7.59731	48.86227	2	-0.0749294828587639	0.03530930926469141
Zutzendorf	7.54972	48.85428	2	-0.0749294828587639	0.03567966946510693
Schillersdorf	7.52526	48.87312	0	-0.9229338098232172	0.38358729183229145
Obermodern	7.53932	48.84466	0	-0.9229338098232172	0.41248273678875985
Eberbach 	7.71711	48.91154	2	-0.0749294828587639	0.02342996701579162
Forstheim	7.71468	48.89506	1	-0.4989316463409905	0.24459453718339927
Morsbronn (Morsbronn-Les-Bains)	7.74283	48.90037	2	-0.0749294828587639	0.034319299090867054
Hagenheim (Hegeney)	7.74557	48.89153	2	-0.0749294828587639	0.0290596615830086
Dürrenbach (Durrenbach)	7.76797	48.89675	0	-0.9229338098232172	0.23917465479616692
Biblisheim	7.79196	48.89991	0	-0.9229338098232172	0.3575170921236287
Walburg (Walbourg)	7.78939	48.88652	1	-0.4989316463409905	0.16397289440635252
Eschbach	7.73641	48.87453	0	-0.9229338098232172	0.354386854527241
Merzweiler (Mertzwiller)	7.67936	48.86259	2	-0.0749294828587639	0.03300256076043861
Griesbach	7.67856	48.89026	0	-0.9229338098232172	0.36677690281384834
Reimersweiler	7.88417	48.9137	3	0.3490726806234627	-0.13808339157579017
Surburg	7.84913	48.90982	7	2.045081334552369	-1.1795557742915102
Schwabweiler	7.87665	48.90207	0	-0.9229338098232172	0.3508242972786684
Oberbetschdorf	7.89812	48.8986	0	-0.9229338098232172	0.3098095451822474
