Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Dambach	7.63179	49.00256	0	-0.9000003500175333	-0.11432240418099958
Obersteinbach	7.69364	49.03549	4	1.5853246095405167	-0.09369425892869615
Niedersteinbach	7.71501	49.0295	2	0.3426621297614917	0.013459345334546902
Wingen	7.81729	49.02601	0	-0.9000003500175333	-0.25185169115241873
Lembach	7.78942	49.00701	0	-0.9000003500175333	-0.13167973217481124
Weißenburg-Weiler	7.91271	49.0377	2	0.3426621297614917	0.14846356986286602
Weißenburg (Wisembourg)	7.9521	49.03733	2	0.3426621297614917	0.14180012835541667
Altenstadt	7.96964	49.03158	5	2.2066558494300295	0.6075022275340755
Rott	7.91304	49.02495	6	2.827987089319542	0.8273826796708966
Steinselz (Steinseltz)	7.93035	49.0109	0	-0.9000003500175333	-0.3110391808243897
Kleeburg (Cleebourg)	7.89318	49.00093	2	0.3426621297614917	0.10112924343706901
Klimbach (Climbach)	7.85041	49.01803	0	-0.9000003500175333	-0.15752868103560408
Altweiler (Altwiller)	6.98122	48.93023	1	-0.2786691101280208	0.0629853200697075
Örmingen (Oermingen)	7.12881	49.00062	1	-0.2786691101280208	0.08937800009631267
Völlerdingen (Voellerdingen)	7.14098	48.9622	1	-0.2786691101280208	0.10554248710231263
Domfesel	7.15171	48.95143	0	-0.9000003500175333	0.23813460415162227
Rimsdorf	7.12568	48.92923	0	-0.9000003500175333	0.32393920824276723
Saarwerden (Sarrewerden)	7.08411	48.9218	3	0.9639933696510041	-0.45059263790967635
Saarbuckenheim (Sarre-Union), Saarbuckenheim (Sarre-Union)	7.08686	48.93919	1	-0.2786691101280208	0.09535491728706688
Keskastel	7.04339	48.96955	1	-0.2786691101280208	0.11571218639457193
Schopperten	7.05316	48.94524	0	-0.9000003500175333	0.31194149897573187
Harskirchen	7.0389	48.93409	0	-0.9000003500175333	0.30229583919878417
Dehlingen	7.19095	48.98016	0	-0.9000003500175333	-0.029577685968063542
Bütten (Butten)	7.2205	48.97095	2	0.3426621297614917	-0.025607165563435
Ratzweiler (Ratzwiller)	7.23978	48.95501	1	-0.2786691101280208	0.004808805493569295
Lorenzen (Lorentzen)	7.1752	48.95249	1	-0.2786691101280208	0.041254619080196404
Diemeringen	7.18685	48.94061	1	-0.2786691101280208	0.02886271341561224
Mackweiler (Mackwiller)	7.17502	48.9258	1	-0.2786691101280208	0.053694872280922595
Waldhambach	7.21529	48.92578	1	-0.2786691101280208	0.026594175283795766
Rosteig	7.33838	48.9327	2	0.3426621297614917	-0.0037446900661192166
Wingen (Wingen-Sur-Moder)	7.38129	48.91753	0	-0.9000003500175333	0.056326763968180704
Reipertsweiler (Reipertswiller)	7.46373	48.93214	0	-0.9000003500175333	-0.04328644490352552
Oberbronn	7.6082	48.94109	2	0.3426621297614917	-0.04750999798750789
Bad-Niederbronn (Niederbronn-Les-Bains), Niederbronn (GID von Niederbronn les bains), Bad-Niederbronn (Niederbronn-Les-Bains)	7.64282	48.95108	1	-0.2786691101280208	0.018750511477516336
Reichshofen (Reichshoffen)	7.66338	48.93223	1	-0.2786691101280208	0.03889289257458106
Lembach-Pfaffenbronn (Pfaffenbronn) 	7.83111	48.99355	2	0.3426621297614917	0.06648452276338837
Mattstall	7.7613	48.98757	1	-0.2786691101280208	-0.04780052500278005
Lampertsloch	7.81713	48.95698	1	-0.2786691101280208	-0.09035018292627953
Mitschdorf	7.78435	48.9524	1	-0.2786691101280208	-0.042861929187359725
Görsdorf (Goersdorf)	7.76782	48.95111	2	0.3426621297614917	0.03915251731957816
Preuschdorf	7.80425	48.9435	3	0.9639933696510041	0.037839012145170436
Merkweiler (Merkwiller-Pechelbronn)	7.82707	48.93886	1	-0.2786691101280208	-0.07759523035205794
Diefenbach (Dieffenbach-Lès-Woerth)	7.77425	48.93532	1	-0.2786691101280208	0.007848598100892711
Oberdorf-Spachbach	7.75696	48.92512	2	0.3426621297614917	-0.009826725135453716
Wört (Woerth)	7.74374	48.93677	3	0.9639933696510041	0.07300198124735091
Fröschweiler (Frœschwiller)	7.72171	48.94318	2	0.3426621297614917	-0.010711972659213915
Nehweiler (Nehwiller)	7.70322	48.96072	1	-0.2786691101280208	-0.0038315671246699425
Langensulzbach (Langensoultzbach)	7.73367	48.96812	1	-0.2786691101280208	-0.027781393637804932
Riedselz (Riedseltz)	7.95195	48.99281	8	4.070649569098567	0.25772518312913967
Bremmelbach	7.90023	48.986	5	2.2066558494300295	0.5055322091464097
Ingolsheim	7.93636	48.97357	0	-0.9000003500175333	-0.2562396734104602
HunSpach	7.94316	48.9536	2	0.3426621297614917	0.051028769444536666
Aschbach	7.98262	48.93423	0	-0.9000003500175333	-0.32030548272790604
Stundweiler (Stundwiller)	7.99256	48.92477	0	-0.9000003500175333	-0.17708260213712093
Leitersweiler (Leiterswiller)	7.94768	48.92407	0	-0.9000003500175333	0.010701160756212994
Hofen (Hoffen)	7.9412	48.92766	1	-0.2786691101280208	-0.03263558527521183
Kühlendorf (Kuhlendorf) und Hohweiler, Kühlendorf (Kuhlendorf)	7.92307	48.91408	0	-0.9000003500175333	-0.03966399171134318
Hermersweiler (Hermerswiller)	7.91205	48.93588	0	-0.9000003500175333	-0.22168542065182023
Schönenburg (Schoenenbourg)	7.91332	48.95207	10	5.313312048877592	0.6079822647418603
Sulz u. (f) (Soultz-Sous-Forêts)	7.88268	48.93782	1	-0.2786691101280208	-0.07019243673457934
Kutzenhausen	7.85624	48.93375	2	0.3426621297614917	0.06293930356162325
Retschweiler (Retschwiller)	7.87838	48.95025	2	0.3426621297614917	0.09011731789017682
Memmelshofen (Memmelshoffen)	7.87106	48.96013	0	-0.9000003500175333	-0.27836833258991
Keffenach	7.88225	48.96489	2	0.3426621297614917	0.09011731789017682
Birlenbach	7.8829	48.9763	2	0.3426621297614917	0.08111844215793136
Drachenbronn	7.87037	48.98626	1	-0.2786691101280208	-0.08186316036491774
Lobsann	7.84681	48.96327	1	-0.2786691101280208	-0.040226945710912614
Oberkutzenhausen	7.84049	48.93847	2	0.3426621297614917	0.08274972912226557
Zollingen	7.07636	48.91048	1	-0.2786691101280208	0.11146551738184243
Pisdorf (Bischtroff-sur-Sarre)	7.06995	48.9005	0	-0.9000003500175333	0.3056285221227402
Burbach	7.11226	48.90144	2	0.3426621297614917	-0.1349369127690397
Berg	7.1532	48.89487	2	0.3426621297614917	-0.08898935237194101
Güngweiler (Gungwiller)	7.15771	48.88171	2	0.3426621297614917	-0.07137763002365224
Eyweiler (Eywiller)	7.13172	48.8709	1	-0.2786691101280208	0.09439035834447007
Eschweiler (Eschwiller)	7.11652	48.8596	1	-0.2786691101280208	0.07628362296459068
Weyer	7.15976	48.85488	2	0.3426621297614917	-0.06151174103999604
Bärendorf (Baerendorf)	7.08463	48.83742	1	-0.2786691101280208	0.051678763435568674
