Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Dambach	7.63179	49.00256	1	-0.3498801846092687	-0.014202791245887575
Obersteinbach	7.69364	49.03549	2	0.27088474500458093	-0.019141435377865768
Niedersteinbach	7.71501	49.0295	1	-0.3498801846092687	0.00891234126415147
Wingen	7.81729	49.02601	0	-0.9706451142231183	0.14789648255299478
Lembach	7.78942	49.00701	0	-0.9706451142231183	0.08308697194665238
Weißenburg-Weiler	7.91271	49.0377	2	0.27088474500458093	-0.07963525819093989
Weißenburg (Wissembourg)	7.9521	49.03733	0	-0.9706451142231183	0.14537608885433573
Altenstadt	7.96964	49.03158	1	-0.3498801846092687	0.08270034934299611
Rott	7.91304	49.02495	0	-0.9706451142231183	0.2943074920567317
Steinselz (Steinseltz)	7.93035	49.0109	1	-0.3498801846092687	0.10208972584728825
Kleeburg (Cleebourg)	7.89318	49.00093	1	-0.3498801846092687	0.14371965922879942
Klimbach (Climbach)	7.85041	49.01803	1	-0.3498801846092687	0.10527230886073662
Altweiler (Altwiller)	6.98122	48.93023	1	-0.3498801846092687	-0.035549349610529475
Örmingen (Oermingen)	7.12881	49.00062	0	-0.9706451142231183	0.25836996361615505
Völlerdingen (Voellerdingen)	7.14098	48.9622	2	0.27088474500458093	-0.08199010730755162
Domfessel	7.15171	48.95143	1	-0.3498801846092687	0.059400351482014384
Rimsdorf	7.12568	48.92923	1	-0.3498801846092687	0.018793328970197618
Saarwerden (Sarrewerden)	7.08411	48.9218	1	-0.3498801846092687	0.06949492059133083
Saarbuckenheim (Sarre-Union), Saarbuckenheim (Sarre-Union)	7.08686	48.93919	0	-0.9706451142231183	0.15391063672247937
Keskastel	7.04339	48.96955	4	1.51241460423228	-0.7750737582552643
Schopperten	7.05316	48.94524	1	-0.3498801846092687	0.06915846582088915
Harskirchen	7.0389	48.93409	1	-0.3498801846092687	0.06886802731241806
Dehlingen	7.19095	48.98016	3	0.8916496746184306	0.01706474874474877
Bütten (Butten)	7.2205	48.97095	4	1.51241460423228	-0.020536449146965494
Ratzweiler (Ratzwiller)	7.23978	48.95501	1	-0.3498801846092687	-0.05765546759570442
Lorenzen (Lorentzen)	7.1752	48.95249	0	-0.9706451142231183	0.12095697461102585
Diemeringen	7.18685	48.94061	1	-0.3498801846092687	0.008877630125209488
Mackweiler (Mackwiller)	7.17502	48.9258	1	-0.3498801846092687	0.04451737645022285
Waldhambach	7.21529	48.92578	2	0.27088474500458093	-0.0040803267514989945
Rosteig	7.33838	48.9327	3	0.8916496746184306	-0.07225659213197198
Wingen (Wingen-Sur-Moder)	7.38129	48.91753	0	-0.9706451142231183	0.04353751235759838
Reipertsweiler (Reipertswiller)	7.46373	48.93214	2	0.27088474500458093	-0.05066948334696571
Oberbronn	7.6082	48.94109	2	0.27088474500458093	-0.06958557136814887
Bad-Niederbronn (Niederbronn-Les-Bains), Niederbronn (GID von Niederbronn les bains), Bad-Niederbronn (Niederbronn-Les-Bains)	7.64282	48.95108	0	-0.9706451142231183	0.03584864885756759
Reichshofen (Reichshoffen)	7.66338	48.93223	2	0.27088474500458093	-0.029739931761913987
Lembach-Pfaffenbronn (Pfaffenbronn) 	7.83111	48.99355	1	-0.3498801846092687	0.12421260796448075
Mattstall	7.7613	48.98757	0	-0.9706451142231183	0.039597190693319975
Lampertsloch	7.81713	48.95698	3	0.8916496746184306	-0.23310224097017532
Mitschdorf	7.78435	48.9524	0	-0.9706451142231183	0.08757280713697815
Görsdorf (Goersdorf)	7.76782	48.95111	1	-0.3498801846092687	0.038419462607152996
Preuschdorf	7.80425	48.9435	1	-0.3498801846092687	0.0665288339581005
Merkweiler (Merkwiller-Pechelbronn)	7.82707	48.93886	0	-0.9706451142231183	0.2737959197559923
Diefenbach (Dieffenbach-Lès-Woerth)	7.77425	48.93532	2	0.27088474500458093	-0.045784291078549685
Oberdorf-Spachbach	7.75696	48.92512	2	0.27088474500458093	-0.025195527952043214
Wört (Woerth)	7.74374	48.93677	0	-0.9706451142231183	0.03356023900709986
Fröschweiler (Frœschwiller)	7.72171	48.94318	5	2.1331795338461297	-0.2927677132779849
Nehweiler (Nehwiller)	7.70322	48.96072	3	0.8916496746184306	-0.0756977026790156
Langensulzbach (Langensoultzbach)	7.73367	48.96812	4	1.51241460423228	-0.15254019505567235
Riedselz (Riedseltz)	7.95195	48.99281	1	-0.3498801846092687	0.1468812175170806
Bremmelbach	7.90023	48.986	2	0.27088474500458093	-0.13075090601765613
Ingolsheim	7.93636	48.97357	0	-0.9706451142231183	0.39971316770697424
Oberseebach	7.98947	48.9672	1	-0.3498801846092687	0.16716817964172948
Hunspach	7.94316	48.9536	0	-0.9706451142231183	0.4065868337810873
Aschbach	7.98262	48.93423	0	-0.9706451142231183	0.30317518064646626
Stundweiler (Stundwiller)	7.99256	48.92477	3	0.8916496746184306	-0.28425173985108765
Leitersweiler (Leiterswiller)	7.94768	48.92407	2	0.27088474500458093	-0.09617265542580886
Hofen (Hoffen)	7.9412	48.92766	2	0.27088474500458093	-0.10369537285711451
Kühlendorf (Kuhlendorf) und Hohweiler, Kühlendorf (Kuhlendorf)	7.92307	48.91408	1	-0.3498801846092687	0.13226527968784407
Hermersweiler (Hermerswiller)	7.91205	48.93588	0	-0.9706451142231183	0.4183651031689809
Schönenburg (Schoenenbourg)	7.91332	48.95207	1	-0.3498801846092687	0.16987569248939471
Sulz u. (f) (Soultz-Sous-Forêts)	7.88268	48.93782	1	-0.3498801846092687	0.17848231236373255
Kutzenhausen	7.85624	48.93375	1	-0.3498801846092687	0.15503117257342597
Retschweiler (Retschwiller)	7.87838	48.95025	1	-0.3498801846092687	0.1687045400379014
Memmelshofen (Memmelshoffen)	7.87106	48.96013	1	-0.3498801846092687	0.15712456784916096
Keffenach	7.88225	48.96489	2	0.27088474500458093	-0.13481856790594804
Birlenbach	7.8829	48.9763	4	1.51241460423228	-0.8402157606674545
Drachenbronn	7.87037	48.98626	1	-0.3498801846092687	0.15712456784916096
Lobsann	7.84681	48.96327	0	-0.9706451142231183	0.3752002833018774
Oberkutzenhausen	7.84049	48.93847	0	-0.9706451142231183	0.33368499286055614
Zollingen	7.07636	48.91048	2	0.27088474500458093	-0.043003850940872106
Pisdorf (Bischtroff-sur-Sarre)	7.06995	48.9005	2	0.27088474500458093	-0.01903630966008075
Burbach	7.11226	48.90144	1	-0.3498801846092687	0.02911229120930478
Berg	7.1532	48.89487	1	-0.3498801846092687	-0.0009397533272810863
Güngweiler (Gungwiller)	7.15771	48.88171	4	1.51241460423228	-0.05924251696251264
Eyweiler (Eywiller)	7.13172	48.8709	0	-0.9706451142231183	0.006309692742500488
Eschweiler (Eschwiller)	7.11652	48.8596	0	-0.9706451142231183	0.11811918524075628
Weyer	7.15976	48.85488	2	0.27088474500458093	-0.033606010538018476
Bärendorf (Baerendorf)	7.08463	48.83742	2	0.27088474500458093	-0.016187507089448713
Wolfskirchen, Wolfskirchen	7.07612	48.87884	2	0.27088474500458093	-0.023050395644718585
Diedendorf	7.04974	48.87869	2	0.27088474500458093	-0.021174230954346042
Puberg	7.31461	48.91322	1	-0.3498801846092687	-0.011626806546176635
Hinsburg (Hinsbourg)	7.28852	48.90706	1	-0.3498801846092687	-0.03482787060509694
Frohmühl (Frohmuhl)	7.28007	48.90754	3	0.8916496746184306	0.0885050982928223
Weislingen	7.25159	48.91879	1	-0.3498801846092687	-0.042159573188567105
Tieffenbach	7.24987	48.90483	3	0.8916496746184306	0.06866590773994563
Strut (Struth)	7.25475	48.89009	2	0.27088474500458093	0.03131773181581094
Petersbach	7.26874	48.86912	2	0.27088474500458093	-0.022871376607287188
Lützelstein (La Petite-Pierre)	7.32076	48.85864	2	0.27088474500458093	-0.03663360118798978
Adamsweiler (Adamswiller)	7.20348	48.90463	2	0.27088474500458093	-0.007693721501702278
Dürstel (Durstel)	7.19745	48.89156	1	-0.3498801846092687	-0.013898812853728971
Bettweiler (Bettwiller)	7.17993	48.88617	1	-0.3498801846092687	-0.0006834793832568267
Aßweiler (Asswiller)	7.2198	48.88035	3	0.8916496746184306	0.02732696458907295
Drulingen	7.18979	48.8662	1	-0.3498801846092687	0.026671173428861192
Ottweiler (Ottwiller)	7.23096	48.86516	1	-0.3498801846092687	0.005334756149984746
Lohr	7.24351	48.85748	1	-0.3498801846092687	-0.020079268380991694
Sieweiler (Siewiller)	7.20676	48.84318	2	0.27088474500458093	-0.010649075466959791
Berg, Rexingen	7.17654	48.90012	1	-0.3498801846092687	0.0071174653297365964
Lichtenberg	7.48181	48.9216	2	0.27088474500458093	-0.055318346841752464
Wimmenau	7.41957	48.91035	2	0.27088474500458093	-0.02726207971194671
Zittersheim	7.34551	48.89955	0	-0.9706451142231183	-0.009940480030966446
Erkartsweiler (Erckartswiller)	7.3596	48.87532	1	-0.3498801846092687	0.027450894104957112
Sparsbach	7.41533	48.87754	1	-0.3498801846092687	0.033196406018234474
Weinburg (Weinbourg)	7.44029	48.87157	2	0.27088474500458093	-0.08772747486093092
Ingweiler (Ingwiller)	7.48031	48.87322	3	0.8916496746184306	-0.30343055653790335
Menchhofen (Menchhoffen)	7.49498	48.85955	2	0.27088474500458093	-0.0677746783646838
Uttweiler (Uttwiller)	7.48667	48.84591	0	-0.9706451142231183	0.21929434854436625
Niedersulzbach (Niedersoultzbach)	7.4662	48.84923	0	-0.9706451142231183	0.28397773751720545
Obersulzbach (Obersoultzbach)	7.45013	48.85174	1	-0.3498801846092687	0.11787144401644999
Weitersweiler (Weiterswiller)	7.41341	48.85298	2	0.27088474500458093	-0.03972915500710025
Zinsweiler	7.59018	48.9196	1	-0.3498801846092687	0.125176603683521
Offweiler	7.54296	48.91021	1	-0.3498801846092687	0.10938935928290366
Rotbach	7.52883	48.90568	0	-0.9706451142231183	0.21671460512862684
Bischholz	7.53995	48.89301	0	-0.9706451142231183	0.22242675188829628
Mühlhausen	7.5527	48.88226	1	-0.3498801846092687	0.1079572308386239
Uhrweiler (Uhrwiller)	7.57892	48.8784	0	-0.9706451142231183	0.277374522260489
Engweiler	7.61501	48.88508	0	-0.9706451142231183	0.2770742750430173
Gumbrechtshofen	7.6319	48.90544	2	0.27088474500458093	-0.05373838006591356
Gundershofen	7.6592	48.90652	1	-0.3498801846092687	0.02309879629596958
Mietesheim	7.63837	48.87814	2	0.27088474500458093	-0.04721073945584001
Bitschhofen	7.61913	48.85878	0	-0.9706451142231183	0.3186034387369384
Überach (Uberach)	7.62806	48.84844	1	-0.3498801846092687	0.08925145072224873
Pfaffenhofen, Pfaffenhofen -Volksberg	7.60881	48.84422	0	-0.9706451142231183	0.29135792782440567
Kindweiler	7.59731	48.86227	3	0.8916496746184306	-0.3343021687579536
Zutzendorf	7.54972	48.85428	1	-0.3498801846092687	0.11799339020007153
Schillersdorf	7.52526	48.87312	0	-0.9706451142231183	0.21461493185857883
Obermodern	7.53932	48.84466	0	-0.9706451142231183	0.2831046127333159
Eberbach 	7.71711	48.91154	1	-0.3498801846092687	0.03773601040922178
Forstheim	7.71468	48.89506	1	-0.3498801846092687	0.027675754954805665
Morsbronn (Morsbronn-Les-Bains)	7.74283	48.90037	2	0.27088474500458093	-0.006652074591703034
Hagenheim (Hegeney)	7.74557	48.89153	4	1.51241460423228	-0.07137113706545159
Dürrenbach (Durrenbach)	7.76797	48.89675	1	-0.3498801846092687	0.013325409884208193
Biblisheim	7.79196	48.89991	2	0.27088474500458093	-0.011502780650624714
Walburg (Walbourg)	7.78939	48.88652	3	0.8916496746184306	0.04182497936793635
Eschbach	7.73641	48.87453	0	-0.9706451142231183	-0.0845021712571069
Laubach	7.72032	48.88168	1	-0.3498801846092687	-0.01512466239341031
Merzweiler (Mertzwiller)	7.67936	48.86259	0	-0.9706451142231183	0.05114281340520697
Griesbach	7.67856	48.89026	1	-0.3498801846092687	0.018470834532219003
