Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Dambach	7.63179	49.00256	2	0.16660402140537486	0.04318616722232853
Obersteinbach	7.69364	49.03549	0	-0.7988067812025565	-0.20963558312950567
Niedersteinbach	7.71501	49.0295	10	4.0282472318371	-0.537127892047257
Wingen	7.81729	49.02601	0	-0.7988067812025565	-0.11267000623508541
Lembach, Lembach	7.78942	49.00701	0	-0.7988067812025565	-0.3015839746058262
Weißenburg-Weiler	7.91271	49.0377	2	0.16660402140537486	0.044515657533507155
Weißenburg (Wissembourg)	7.9521	49.03733	2	0.16660402140537486	0.05810932262453232
Altenstadt	7.96964	49.03158	4	1.1320148240133063	0.28799901081903184
Rott	7.91304	49.02495	0	-0.7988067812025565	-0.3018997577467745
Steinselz (Steinseltz)	7.93035	49.0109	2	0.16660402140537486	0.06354086613176735
Kleeburg (Cleebourg)	7.89318	49.00093	9	3.5455418305331348	0.9806574784688726
Klimbach (Climbach)	7.85041	49.01803	1	-0.31610137989859083	-0.05729577582669819
Altweiler (Altwiller)	6.98122	48.93023	2	0.16660402140537486	-0.0026011767474005587
Örmingen (Oermingen)	7.12881	49.00062	0	-0.7988067812025565	-0.1481259632595583
Domfessel	7.15171	48.95143	1	-0.31610137989859083	-0.08217895382501161
Rimsdorf	7.12568	48.92923	2	0.16660402140537486	0.07361957319657339
Saarwerden (Sarrewerden)	7.08411	48.9218	2	0.16660402140537486	0.020308789296040776
Saarbuckenheim (Sarre-Union), Saarbuckenheim (Sarre-Union)	7.08686	48.93919	1	-0.31610137989859083	0.004831856136797334
Keskastel	7.04339	48.96955	4	1.1320148240133063	-0.3701933554513954
Schopperten	7.05316	48.94524	0	-0.7988067812025565	0.0932018398436077
Harskirchen	7.0389	48.93409	1	-0.31610137989859083	-0.004396712095713471
Dehlingen	7.19095	48.98016	9	3.5455418305331348	0.7889201159127748
Bütten (Butten)	7.2205	48.97095	3	0.6493094227093406	0.2219904001722558
Ratzweiler (Ratzwiller)	7.23978	48.95501	0	-0.7988067812025565	-0.4550179896704561
Lorenzen (Lorentzen)	7.1752	48.95249	3	0.6493094227093406	0.17359127237837874
Diemeringen	7.18685	48.94061	6	2.097425626621238	0.5105059099613858
Mackweiler (Mackwiller)	7.17502	48.9258	1	-0.31610137989859083	-0.14532952047634765
Waldhambach	7.21529	48.92578	1	-0.31610137989859083	-0.10664933212031659
Rosteig	7.33838	48.9327	8	3.0628364292291694	-0.42851917467360084
Wingen (Wingen-Sur-Moder)	7.38129	48.91753	4	1.1320148240133063	0.09466751807757917
Reipertsweiler (Reipertswiller)	7.46373	48.93214	5	1.614720225317272	0.05135790589474119
Oberbronn	7.6082	48.94109	2	0.16660402140537486	-0.009598843281285067
Bad-Niederbronn (Niederbronn-Les-Bains), Niederbronn (GID von Niederbronn les bains), Bad-Niederbronn (Niederbronn-Les-Bains)	7.64282	48.95108	1	-0.31610137989859083	-0.07154438262824094
Reichshofen (Reichshoffen)	7.66338	48.93223	0	-0.7988067812025565	-0.20099720095246623
Lembach-Pfaffenbronn (Pfaffenbronn) 	7.83111	48.99355	9	3.5455418305331348	0.19735259378561124
Mattstall	7.7613	48.98757	0	-0.7988067812025565	-0.20845044111780567
Lampertsloch	7.81713	48.95698	0	-0.7988067812025565	-0.15116487519726132
Mitschdorf	7.78435	48.9524	0	-0.7988067812025565	-0.30214838608222794
Görsdorf (Goersdorf)	7.76782	48.95111	1	-0.31610137989859083	-0.09229887369182233
Preuschdorf	7.80425	48.9435	2	0.16660402140537486	0.07848927566349034
Merkweiler (Merkwiller-Pechelbronn)	7.82707	48.93886	0	-0.7988067812025565	-0.16757687017893225
Diefenbach (Dieffenbach-Lès-Woerth)	7.77425	48.93532	1	-0.31610137989859083	-0.1039658256150233
Oberdorf-Spachbach	7.75696	48.92512	3	0.6493094227093406	0.010745091837206192
Wört (Woerth)	7.74374	48.93677	2	0.16660402140537486	0.031859746288430545
Fröschweiler (Frœschwiller)	7.72171	48.94318	4	1.1320148240133063	0.07982858534961243
