Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Dambach	7.63179	49.00256	2	0.6867317058706535	-0.08652801333342482
Obersteinbach	7.69364	49.03549	1	-0.06611273517842121	0.0026355566670723924
Niedersteinbach	7.71501	49.0295	1	-0.06611273517842121	-0.0009211536293659395
Wingen	7.81729	49.02601	0	-0.8189571762274959	0.06365159877255172
Lembach	7.78942	49.00701	0	-0.8189571762274959	0.016112939023837605
Weißenburg-Weiler	7.91271	49.0377	1	-0.06611273517842121	0.006513110113219707
Weißenburg (Wissembourg)	7.9521	49.03733	1	-0.06611273517842121	0.007950813231213702
Altenstadt	7.96964	49.03158	1	-0.06611273517842121	0.011067122861468798
Rott	7.91304	49.02495	0	-0.8189571762274959	0.11603027341299824
Steinselz (Steinseltz)	7.93035	49.0109	1	-0.06611273517842121	0.01398501613966689
Kleeburg (Cleebourg)	7.89318	49.00093	1	-0.06611273517842121	0.019475771038061147
Klimbach (Climbach)	7.85041	49.01803	1	-0.06611273517842121	0.014558061866318998
Altweiler (Altwiller)	6.98122	48.93023	5	2.9452650290178775	1.4043770182937139
Örmingen (Oermingen)	7.12881	49.00062	5	2.9452650290178775	-0.547738738235609
Völlerdingen (Voellerdingen)	7.14098	48.9622	0	-0.8189571762274959	-0.2650776761234244
Domfessel	7.15171	48.95143	0	-0.8189571762274959	-0.4793823646306777
Rimsdorf	7.12568	48.92923	0	-0.8189571762274959	-0.5698814137299246
Saarwerden (Sarrewerden)	7.08411	48.9218	3	1.4395761469197281	0.8994547041878536
Saarbuckenheim (Sarre-Union), Saarbuckenheim (Sarre-Union)	7.08686	48.93919	0	-0.8189571762274959	-0.4986595543589771
Keskastel	7.04339	48.96955	1	-0.06611273517842121	-0.04659615816997888
Schopperten, Schopperten	7.05316	48.94524	2	0.6867317058706535	0.5927071216186024
Harskirchen	7.0389	48.93409	2	0.6867317058706535	0.6495800065642816
Dehlingen	7.19095	48.98016	1	-0.06611273517842121	-0.02074381037998618
Bütten (Butten)	7.2205	48.97095	2	0.6867317058706535	0.2084066139285972
Ratzweiler (Ratzwiller)	7.23978	48.95501	1	-0.06611273517842121	-0.007987816416326026
Lorenzen (Lorentzen)	7.1752	48.95249	0	-0.8189571762274959	-0.20467572113266597
Diemeringen	7.18685	48.94061	2	0.6867317058706535	0.20366754504256437
Mackweiler (Mackwiller)	7.17502	48.9258	1	-0.06611273517842121	-0.02182649032984239
Waldhambach	7.21529	48.92578	2	0.6867317058706535	0.2574355926829501
Rosteig	7.33838	48.9327	0	-0.8189571762274959	-0.26891152740993113
Wingen (Wingen-Sur-Moder)	7.38129	48.91753	0	-0.8189571762274959	-0.07962840847363348
Reipertsweiler (Reipertswiller)	7.46373	48.93214	1	-0.06611273517842121	-0.012139141524227697
Oberbronn	7.6082	48.94109	0	-0.8189571762274959	0.02922218388609852
Bad-Niederbronn (Niederbronn-Les-Bains), Niederbronn (GID von Niederbronn les bains), Bad-Niederbronn (Niederbronn-Les-Bains)	7.64282	48.95108	0	-0.8189571762274959	0.08323088437297199
Reichshofen (Reichshoffen)	7.66338	48.93223	1	-0.06611273517842121	0.007321640951706081
Lembach-Pfaffenbronn (Pfaffenbronn) 	7.83111	48.99355	2	0.6867317058706535	-0.16197088795601222
Mattstall	7.7613	48.98757	0	-0.8189571762274959	0.03444031850768067
Lampertsloch	7.81713	48.95698	2	0.6867317058706535	-0.14700459846218988
Mitschdorf	7.78435	48.9524	1	-0.06611273517842121	0.00719417798161963
Görsdorf (Goersdorf)	7.76782	48.95111	1	-0.06611273517842121	0.005003028858492553
Preuschdorf	7.80425	48.9435	1	-0.06611273517842121	0.008215217004657108
Merkweiler (Merkwiller-Pechelbronn)	7.82707	48.93886	1	-0.06611273517842121	0.01588291193970267
Diefenbach (Dieffenbach-Lès-Woerth)	7.77425	48.93532	2	0.6867317058706535	-0.06671477969406202
Oberdorf-Spachbach	7.75696	48.92512	2	0.6867317058706535	-0.04425306992617044
Wört (Woerth)	7.74374	48.93677	3	1.4395761469197281	-0.15037247918211744
Fröschweiler (Frœschwiller)	7.72171	48.94318	3	1.4395761469197281	-0.16470799765850253
Nehweiler (Nehwiller)	7.70322	48.96072	0	-0.8189571762274959	0.03904359360735167
Langensulzbach (Langensoultzbach)	7.73367	48.96812	0	-0.8189571762274959	0.06504260024588882
Riedselz (Riedseltz)	7.95195	48.99281	3	1.4395761469197281	-0.553948783971596
Bremmelbach	7.90023	48.986	0	-0.8189571762274959	0.26459268005499526
Ingolsheim	7.93636	48.97357	1	-0.06611273517842121	0.02307433389517999
Oberseebach	7.98947	48.9672	1	-0.06611273517842121	0.014763843400351695
Hunspach	7.94316	48.9536	0	-0.8189571762274959	0.275951315487426
Aschbach	7.98262	48.93423	0	-0.8189571762274959	0.1718442812500573
Stundweiler (Stundwiller)	7.99256	48.92477	0	-0.8189571762274959	0.1824142135432739
Leitersweiler (Leiterswiller)	7.94768	48.92407	0	-0.8189571762274959	0.3222956859493527
