Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Dambach	7.63179	49.00256	1	-0.2405949556040195	-0.0865930213606428
Obersteinbach	7.69364	49.03549	2	0.4875773879054907	0.09563447798870545
Niedersteinbach	7.71501	49.0295	4	1.9439220749245112	0.43488409384472104
Wingen	7.81729	49.02601	3	1.215749731415001	0.4411966397012771
Lembach	7.78942	49.00701	0	-0.9687672991135298	-0.5380703141163984
Weißenburg-Weiler	7.91271	49.0377	3	1.215749731415001	0.2049661163724797
Weißenburg (Wissembourg)	7.9521	49.03733	1	-0.2405949556040195	-0.03090793392111323
Altenstadt	7.96964	49.03158	1	-0.2405949556040195	-0.03243200737873731
Rott	7.91304	49.02495	2	0.4875773879054907	0.07774517313424986
Steinselz (Steinseltz)	7.93035	49.0109	0	-0.9687672991135298	-0.11565417104519769
Kleeburg (Cleebourg)	7.89318	49.00093	3	1.215749731415001	0.15405976192314738
Klimbach (Climbach)	7.85041	49.01803	0	-0.9687672991135298	-0.20930926096768526
Altweiler (Altwiller)	6.98122	48.93023	2	0.4875773879054907	0.07786872131825731
Örmingen (Oermingen)	7.12881	49.00062	1	-0.2405949556040195	-0.11516182046731567
Völlerdingen (Voellerdingen)	7.14098	48.9622	3	1.215749731415001	0.6680306716318435
Domfessel	7.15171	48.95143	2	0.4875773879054907	0.19310510672303483
Rimsdorf	7.12568	48.92923	3	1.215749731415001	0.5569223202801816
Saarwerden (Sarrewerden)	7.08411	48.9218	2	0.4875773879054907	0.17606791548751932
Saarbuckenheim (Sarre-Union), Saarbuckenheim (Sarre-Union)	7.08686	48.93919	0	-0.9687672991135298	-0.43060823167467427
Keskastel	7.04339	48.96955	2	0.4875773879054907	0.19938660933984528
Schopperten	7.05316	48.94524	1	-0.2405949556040195	-0.08142223674760753
Harskirchen	7.0389	48.93409	2	0.4875773879054907	0.11000110297304157
Dehlingen	7.19095	48.98016	1	-0.2405949556040195	-0.10540062551936703
Bütten (Butten)	7.2205	48.97095	3	1.215749731415001	0.45083115774662597
Ratzweiler (Ratzwiller)	7.23978	48.95501	2	0.4875773879054907	0.2279257575576114
Lorenzen (Lorentzen)	7.1752	48.95249	3	1.215749731415001	0.49165704325169723
Diemeringen	7.18685	48.94061	1	-0.2405949556040195	-0.09996730976612275
Mackweiler (Mackwiller)	7.17502	48.9258	2	0.4875773879054907	0.2048016936012518
Waldhambach	7.21529	48.92578	2	0.4875773879054907	0.20039885857302292
Rosteig	7.33838	48.9327	3	1.215749731415001	0.3435923051758318
Wingen (Wingen-Sur-Moder)	7.38129	48.91753	2	0.4875773879054907	0.05742983210939551
Reipertsweiler (Reipertswiller)	7.46373	48.93214	1	-0.2405949556040195	-0.004125945456642302
Oberbronn	7.6082	48.94109	0	-0.9687672991135298	-0.03132256181359801
Bad-Niederbronn (Niederbronn-Les-Bains), Niederbronn (GID von Niederbronn les bains), Bad-Niederbronn (Niederbronn-Les-Bains)	7.64282	48.95108	1	-0.2405949556040195	-0.10560358004594543
Reichshofen (Reichshoffen)	7.66338	48.93223	2	0.4875773879054907	0.2325162922127364
Lembach-Pfaffenbronn (Pfaffenbronn) 	7.83111	48.99355	5	2.672094418434021	0.6260504453420108
Mattstall	7.7613	48.98757	1	-0.2405949556040195	-0.1738783677014119
Lampertsloch	7.81713	48.95698	3	1.215749731415001	0.5082941555651995
Mitschdorf, Mitschdorf	7.78435	48.9524	0	-0.9687672991135298	-0.6740696578263287
Görsdorf (Goersdorf)	7.76782	48.95111	2	0.4875773879054907	0.3105210797131645
Preuschdorf	7.80425	48.9435	3	1.215749731415001	0.7510761487461269
Merkweiler (Merkwiller-Pechelbronn)	7.82707	48.93886	0	-0.9687672991135298	-0.33468718815207626
Diefenbach (Dieffenbach-Lès-Woerth)	7.77425	48.93532	3	1.215749731415001	0.6618488113155906
Oberdorf-Spachbach	7.75696	48.92512	3	1.215749731415001	0.5387624633149349
Wört (Woerth)	7.74374	48.93677	1	-0.2405949556040195	-0.17855174677846938
Fröschweiler (Frœschwiller)	7.72171	48.94318	6	3.400266761943531	1.956139734189875
Nehweiler (Nehwiller)	7.70322	48.96072	2	0.4875773879054907	0.26273738194376645
Langensulzbach (Langensoultzbach)	7.73367	48.96812	4	1.9439220749245112	1.2287801013974387
Riedselz (Riedseltz)	7.95195	48.99281	2	0.4875773879054907	-0.04587876681343689
Bremmelbach	7.90023	48.986	3	1.215749731415001	0.11334270075022376
Ingolsheim	7.93636	48.97357	0	-0.9687672991135298	0.03391436595936023
Oberseebach	7.98947	48.9672	2	0.4875773879054907	-0.05210524063690237
Hunspach	7.94316	48.9536	2	0.4875773879054907	-0.05754078253374047
