Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Dambach	7.63179	49.00256	5	1.7256277723050013	-0.17162627149714696
Obersteinbach	7.69364	49.03549	2	0.16244808513706052	0.006202328258174295
Niedersteinbach	7.71501	49.0295	1	-0.35861181058558644	-0.033440764855661206
Wingen	7.81729	49.02601	0	-0.8796717063082333	0.17887079364479852
Lembach	7.78942	49.00701	1	-0.35861181058558644	0.08735228225924084
Weißenburg-Weiler	7.91271	49.0377	1	-0.35861181058558644	0.12345924408039134
Weißenburg (Wissembourg)	7.9521	49.03733	0	-0.8796717063082333	0.31412151958659296
Altenstadt	7.96964	49.03158	0	-0.8796717063082333	0.33588591384600025
Rott	7.91304	49.02495	0	-0.8796717063082333	0.31163974785723525
Steinselz (Steinseltz)	7.93035	49.0109	1	-0.35861181058558644	0.14548340317196656
Kleeburg (Cleebourg)	7.89318	49.00093	0	-0.8796717063082333	0.43442489885620944
Klimbach (Climbach)	7.85041	49.01803	1	-0.35861181058558644	0.10124391600645011
Altweiler (Altwiller)	6.98122	48.93023	6	2.2466876680276484	-0.2710176051268536
Örmingen (Oermingen)	7.12881	49.00062	3	0.6835079808597074	-0.051601399475762165
Völlerdingen (Voellerdingen)	7.14098	48.9622	1	-0.35861181058558644	0.03811900680587405
Domfessel	7.15171	48.95143	1	-0.35861181058558644	0.05386446381149505
Rimsdorf	7.12568	48.92923	3	0.6835079808597074	-0.18500268684993537
Saarwerden (Sarrewerden)	7.08411	48.9218	3	0.6835079808597074	-0.07794747273114408
Saarbuckenheim (Sarre-Union), Saarbuckenheim (Sarre-Union)	7.08686	48.93919	1	-0.35861181058558644	0.01788340668972596
Keskastel	7.04339	48.96955	0	-0.8796717063082333	-0.3269321705564789
Schopperten	7.05316	48.94524	0	-0.8796717063082333	-0.15369680815646575
Harskirchen	7.0389	48.93409	1	-0.35861181058558644	-0.049479330858259445
Dehlingen	7.19095	48.98016	0	-0.8796717063082333	0.018807348313028636
Bütten (Butten)	7.2205	48.97095	0	-0.8796717063082333	0.045797884054715195
Ratzweiler (Ratzwiller)	7.23978	48.95501	0	-0.8796717063082333	0.17901359334396638
Lorenzen (Lorentzen)	7.1752	48.95249	5	1.7256277723050013	-0.4456792662465307
Diemeringen	7.18685	48.94061	2	0.16244808513706052	-0.026285945305090097
Mackweiler (Mackwiller)	7.17502	48.9258	0	-0.8796717063082333	0.12774281193511497
Waldhambach	7.21529	48.92578	1	-0.35861181058558644	0.03513582170807121
Rosteig	7.33838	48.9327	3	0.6835079808597074	-0.02023901224848771
Wingen (Wingen-Sur-Moder)	7.38129	48.91753	1	-0.35861181058558644	-0.004458082730713994
Reipertsweiler (Reipertswiller)	7.46373	48.93214	1	-0.35861181058558644	-0.01025248561737658
Oberbronn	7.6082	48.94109	0	-0.8796717063082333	-0.015951728789218873
Bad-Niederbronn (Niederbronn-Les-Bains), Niederbronn (GID von Niederbronn les bains), Bad-Niederbronn (Niederbronn-Les-Bains)	7.64282	48.95108	0	-0.8796717063082333	-0.036996275400182604
Reichshofen (Reichshoffen)	7.66338	48.93223	0	-0.8796717063082333	0.022388365407105825
Lembach-Pfaffenbronn (Pfaffenbronn) 	7.83111	48.99355	3	0.6835079808597074	-0.24161113004738308
Mattstall	7.7613	48.98757	3	0.6835079808597074	-0.13662223180376848
Lampertsloch	7.81713	48.95698	0	-0.8796717063082333	0.26590501746133655
Mitschdorf	7.78435	48.9524	1	-0.35861181058558644	0.10550505683787514
Görsdorf (Goersdorf)	7.76782	48.95111	2	0.16244808513706052	-0.02604822563034002
Preuschdorf	7.80425	48.9435	2	0.16244808513706052	-0.052681988893171924
Merkweiler (Merkwiller-Pechelbronn)	7.82707	48.93886	1	-0.35861181058558644	0.13027141823460373
Diefenbach (Dieffenbach-Lès-Woerth)	7.77425	48.93532	2	0.16244808513706052	-0.035367399929155476
Oberdorf-Spachbach	7.75696	48.92512	0	-0.8796717063082333	0.09679847408794559
Wört (Woerth)	7.74374	48.93677	0	-0.8796717063082333	0.0979528476412347
Fröschweiler (Frœschwiller)	7.72171	48.94318	2	0.16244808513706052	-0.01070477939667426
Nehweiler (Nehwiller)	7.70322	48.96072	2	0.16244808513706052	-0.009323928511739252
Langensulzbach (Langensoultzbach)	7.73367	48.96812	2	0.16244808513706052	-0.027946273429786672
Riedselz (Riedseltz)	7.95195	48.99281	1	-0.35861181058558644	0.1716178330950052
Bremmelbach	7.90023	48.986	1	-0.35861181058558644	0.16800522812317167
Ingolsheim	7.93636	48.97357	2	0.16244808513706052	-0.0784770023485765
Oberseebach	7.98947	48.9672	2	0.16244808513706052	-0.06709234098642664
Hunspach	7.94316	48.9536	0	-0.8796717063082333	0.4399239430425452
Aschbach	7.98262	48.93423	0	-0.8796717063082333	0.33911135376690194
Stundweiler (Stundwiller)	7.99256	48.92477	2	0.16244808513706052	-0.04885726893333591
Leitersweiler (Leiterswiller)	7.94768	48.92407	1	-0.35861181058558644	0.15426652482128295
Hofen (Hoffen)	7.9412	48.92766	1	-0.35861181058558644	0.14298169185626716
Kühlendorf (Kuhlendorf) und Hohweiler, Kühlendorf (Kuhlendorf)	7.92307	48.91408	0	-0.8796717063082333	0.2979681929609038
Hermersweiler (Hermerswiller)	7.91205	48.93588	2	0.16244808513706052	-0.07108062537506318
Schönenburg (Schoenenbourg)	7.91332	48.95207	3	0.6835079808597074	-0.3483294217446487
Sulz u, (f) (Soultz-Sous-Forêts)	7.88268	48.93782	0	-0.8796717063082333	0.44726457331764513
Kutzenhausen	7.85624	48.93375	2	0.16244808513706052	-0.06338574722873917
Retschweiler (Retschwiller)	7.87838	48.95025	0	-0.8796717063082333	0.42468352156289385
Memmelshofen (Memmelshoffen)	7.87106	48.96013	0	-0.8796717063082333	0.41226445375024
Keffenach	7.88225	48.96489	1	-0.35861181058558644	0.17780027819501407
Birlenbach	7.8829	48.9763	0	-0.8796717063082333	0.44726457331764513
Drachenbronn	7.87037	48.98626	0	-0.8796717063082333	0.41226445375024
Lobsann	7.84681	48.96327	1	-0.35861181058558644	0.12489102966631606
Oberkutzenhausen	7.84049	48.93847	2	0.16244808513706052	-0.0591843238885002
Zollingen	7.07636	48.91048	2	0.16244808513706052	0.03936531906165642
Pisdorf (Bischtroff-sur-Sarre)	7.06995	48.9005	4	1.2045678765823542	0.15608721724197677
Burbach	7.11226	48.90144	1	-0.35861181058558644	0.04046259015986518
Berg	7.1532	48.89487	2	0.16244808513706052	-0.032066588298492994
Güngweiler (Gungwiller)	7.15771	48.88171	2	0.16244808513706052	-0.033925995868700175
Eyweiler (Eywiller), Eyweiler (Eywiller)	7.13172	48.8709	0	-0.8796717063082333	0.1932187695699352
Eschweiler (Eschwiller)	7.11652	48.8596	1	-0.35861181058558644	0.04582218368213224
Weyer	7.15976	48.85488	5	1.7256277723050013	-0.30810598185465765
Bärendorf (Baerendorf)	7.08463	48.83742	2	0.16244808513706052	-0.009416827067919294
Wolfskirchen, Wolfskirchen	7.07612	48.87884	0	-0.8796717063082333	-0.15370525398608842
Diedendorf	7.04974	48.87869	1	-0.35861181058558644	-0.02908742540485311
Puberg	7.31461	48.91322	0	-0.8796717063082333	0.11514259556779446
Hinsburg (Hinsbourg)	7.28852	48.90706	1	-0.35861181058558644	0.09202981070183018
Frohmühl (Frohmuhl)	7.28007	48.90754	1	-0.35861181058558644	0.0821129393662853
Weislingen	7.25159	48.91879	3	0.6835079808597074	-0.11324401038470296
Tieffenbach	7.24987	48.90483	2	0.16244808513706052	-0.0377729623440506
Strut (Struth)	7.25475	48.89009	1	-0.35861181058558644	0.0751929766465825
Petersbach	7.26874	48.86912	0	-0.8796717063082333	0.10826140360469887
Lützelstein (La Petite-Pierre)	7.32076	48.85864	0	-0.8796717063082333	0.1523823091227432
Adamsweiler (Adamswiller)	7.20348	48.90463	2	0.16244808513706052	-0.03491760332615618
Dürstel (Durstel)	7.19745	48.89156	0	-0.8796717063082333	0.19537026484393724
Bettweiler (Bettwiller)	7.17993	48.88617	0	-0.8796717063082333	0.18803456157222043
Aßweiler (Asswiller)	7.2198	48.88035	1	-0.35861181058558644	0.07165351743305849
Drulingen	7.18979	48.8662	0	-0.8796717063082333	0.09095353009749625
Ottweiler (Ottwiller)	7.23096	48.86516	0	-0.8796717063082333	0.13941825389451948
