Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Dambach	7.63179	49.00256	1	-0.03269965417686212	-0.0023256077507886283
Obersteinbach	7.69364	49.03549	1	-0.03269965417686212	0.0020354858305627536
Niedersteinbach	7.71501	49.0295	0	-0.6899957330855034	-0.0018765964008552554
Wingen	7.81729	49.02601	0	-0.6899957330855034	0.0591026441310279
Lembach	7.78942	49.00701	1	-0.03269965417686212	0.002482036259840582
Weißenburg-Weiler	7.91271	49.0377	1	-0.03269965417686212	0.007026026662862894
Weißenburg (Wissembourg)	7.9521	49.03733	1	-0.03269965417686212	-0.0005618659276005074
Altenstadt	7.96964	49.03158	0	-0.6899957330855034	-0.018285746586124734
Rott	7.91304	49.02495	0	-0.6899957330855034	0.13677326537585136
Steinselz (Steinseltz)	7.93035	49.0109	0	-0.6899957330855034	0.1261912399892445
Kleeburg (Cleebourg)	7.89318	49.00093	1	-0.03269965417686212	0.010700386089179942
Klimbach (Climbach)	7.85041	49.01803	0	-0.6899957330855034	0.10155527762616423
Altweiler (Altwiller)	6.98122	48.93023	2	0.6245964247317792	-0.017043192344250325
Örmingen (Oermingen)	7.12881	49.00062	1	-0.03269965417686212	0.002302071860978896
Völlerdingen (Voellerdingen)	7.14098	48.9622	1	-0.03269965417686212	-0.0022859558262644155
Domfessel	7.15171	48.95143	0	-0.6899957330855034	-0.04243111111785067
Rimsdorf	7.12568	48.92923	2	0.6245964247317792	0.11962571050423336
Saarwerden (Sarrewerden)	7.08411	48.9218	2	0.6245964247317792	0.03134279890799747
Saarbuckenheim (Sarre-Union), Saarbuckenheim (Sarre-Union)	7.08686	48.93919	1	-0.03269965417686212	-0.005246247290236934
Keskastel	7.04339	48.96955	2	0.6245964247317792	-0.00405928026839684
Schopperten	7.05316	48.94524	1	-0.03269965417686212	-0.0013912909355697823
Harskirchen	7.0389	48.93409	0	-0.6899957330855034	-0.07290207656531403
Dehlingen	7.19095	48.98016	1	-0.03269965417686212	-0.005469390650620611
Bütten (Butten)	7.2205	48.97095	0	-0.6899957330855034	-0.15635583677105894
Ratzweiler (Ratzwiller)	7.23978	48.95501	0	-0.6899957330855034	-0.07974925475058088
Lorenzen (Lorentzen)	7.1752	48.95249	2	0.6245964247317792	0.02662460308027496
Diemeringen	7.18685	48.94061	3	1.2818925036404205	0.25445889663378307
Mackweiler (Mackwiller)	7.17502	48.9258	0	-0.6899957330855034	-0.14779072285149614
Waldhambach	7.21529	48.92578	1	-0.03269965417686212	-0.011070905473919297
Rosteig	7.33838	48.9327	0	-0.6899957330855034	-0.13954152647630183
Wingen (Wingen-Sur-Moder)	7.38129	48.91753	2	0.6245964247317792	0.05995603529235276
Reipertsweiler (Reipertswiller)	7.46373	48.93214	2	0.6245964247317792	-0.01782735986535322
Oberbronn	7.6082	48.94109	1	-0.03269965417686212	0.0009166361791232657
