Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Dambach	7.63179	49.00256	12	2.761908936793444	0.5425030123769811
Obersteinbach	7.69364	49.03549	9	1.8621860641985764	0.4157023253966596
Niedersteinbach	7.71501	49.0295	10	2.1620936883968653	0.38301491765817863
Wingen	7.81729	49.02601	0	-0.8369825535860267	0.06915185735453078
Lembach	7.78942	49.00701	0	-0.8369825535860267	-0.17244976851715613
Weißenburg-Weiler	7.91271	49.0377	4	0.3626479432071301	-0.025778905114267107
Weißenburg (Wissembourg)	7.9521	49.03733	1	-0.5370749293877375	-0.0456378615354225
Altenstadt	7.96964	49.03158	0	-0.8369825535860267	-0.04095144797040403
Rott	7.91304	49.02495	2	-0.2371673051894483	-0.0061307787050164445
Steinselz (Steinseltz)	7.93035	49.0109	3	0.0627403190088409	0.012649019600651292
Kleeburg (Cleebourg)	7.89318	49.00093	0	-0.8369825535860267	-0.030627860542527814
Klimbach (Climbach)	7.85041	49.01803	0	-0.8369825535860267	0.0995049226147273
Altweiler (Altwiller)	6.98122	48.93023	4	0.3626479432071301	0.025196106115675052
Örmingen (Oermingen)	7.12881	49.00062	0	-0.8369825535860267	-0.3471793921126361
Völlerdingen (Voellerdingen)	7.14098	48.9622	10	2.1620936883968653	0.8325280436677593
Domfessel	7.15171	48.95143	0	-0.8369825535860267	-0.03135922479973866
Rimsdorf	7.12568	48.92923	11	2.462001312595155	0.6355546701213713
Saarwerden (Sarrewerden)	7.08411	48.9218	2	-0.2371673051894483	-0.10455662368839587
Saarbuckenheim (Sarre-Union), Saarbuckenheim (Sarre-Union)	7.08686	48.93919	0	-0.8369825535860267	-0.2189393376065516
Keskastel	7.04339	48.96955	2	-0.2371673051894483	-0.14398306249793863
Schopperten	7.05316	48.94524	1	-0.5370749293877375	-0.18259644648062703
Harskirchen	7.0389	48.93409	2	-0.2371673051894483	-0.0785489297845203
Dehlingen	7.19095	48.98016	0	-0.8369825535860267	-0.014857398254697568
Bütten (Butten)	7.2205	48.97095	0	-0.8369825535860267	0.03583124743716034
Ratzweiler (Ratzwiller)	7.23978	48.95501	1	-0.5370749293877375	0.015007699169022096
Lorenzen (Lorentzen)	7.1752	48.95249	1	-0.5370749293877375	0.01926869194741174
Diemeringen	7.18685	48.94061	2	-0.2371673051894483	0.015657465973018887
Mackweiler (Mackwiller)	7.17502	48.9258	6	0.9624631916037085	0.046790877033992054
Waldhambach	7.21529	48.92578	10	2.1620936883968653	-0.36957845041649273
Rosteig	7.33838	48.9327	4	0.3626479432071301	-0.05635807664253826
Wingen (Wingen-Sur-Moder)	7.38129	48.91753	0	-0.8369825535860267	0.09676853578867822
Reipertsweiler (Reipertswiller)	7.46373	48.93214	1	-0.5370749293877375	0.08461996530896877
Oberbronn	7.6082	48.94109	1	-0.5370749293877375	-0.1813610573122027
Bad-Niederbronn (Niederbronn-Les-Bains), Niederbronn (GID von Niederbronn les bains), Bad-Niederbronn (Niederbronn-Les-Bains)	7.64282	48.95108	0	-0.8369825535860267	-0.3728286910526188
Reichshofen (Reichshoffen)	7.66338	48.93223	0	-0.8369825535860267	-0.07135895726243106
Lembach-Pfaffenbronn (Pfaffenbronn) 	7.83111	48.99355	10	2.1620936883968653	-0.34659497082349244
Mattstall	7.7613	48.98757	0	-0.8369825535860267	-0.006931652859303076
Lampertsloch	7.81713	48.95698	1	-0.5370749293877375	0.08692856595224516
Mitschdorf	7.78435	48.9524	0	-0.8369825535860267	-0.04432480476860375
Görsdorf (Goersdorf)	7.76782	48.95111	0	-0.8369825535860267	0.04177988802574952
Preuschdorf	7.80425	48.9435	1	-0.5370749293877375	0.03563516094492741
