Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Dambach	7.63179	49.00256	1	-0.06369724983163591	-0.004170575598117425
Obersteinbach	7.69364	49.03549	2	0.9160044807877799	-0.15262815508901495
Niedersteinbach	7.71501	49.0295	0	-1.0433989804510517	0.02948328144025145
Wingen	7.81729	49.02601	0	-1.0433989804510517	-0.11848996380259577
Lembach	7.78942	49.00701	0	-1.0433989804510517	0.055266605141922595
Weißenburg-Weiler	7.91271	49.0377	3	1.8957062114071956	0.32122246049988984
Weißenburg (Wissembourg)	7.9521	49.03733	1	-0.06369724983163591	-0.019846524221761655
Altenstadt	7.96964	49.03158	1	-0.06369724983163591	-0.026541666012258606
Rott	7.91304	49.02495	2	0.9160044807877799	0.2686755771097946
Steinselz (Steinseltz)	7.93035	49.0109	2	0.9160044807877799	0.38359243082103067
Kleeburg (Cleebourg)	7.89318	49.00093	2	0.9160044807877799	0.2636303456256577
Klimbach (Climbach)	7.85041	49.01803	1	-0.06369724983163591	-0.006781359057489163
Altweiler (Altwiller)	6.98122	48.93023	1	-0.06369724983163591	0.0002327871580186029
Örmingen (Oermingen)	7.12881	49.00062	0	-1.0433989804510517	0.3967902029940494
Völlerdingen (Voellerdingen)	7.14098	48.9622	1	-0.06369724983163591	0.03802898122307052
Domfessel	7.15171	48.95143	2	0.9160044807877799	-0.31791406106859393
Rimsdorf	7.12568	48.92923	0	-1.0433989804510517	0.20621722389970334
Saarwerden (Sarrewerden)	7.08411	48.9218	1	-0.06369724983163591	0.01232228403790142
Saarbuckenheim (Sarre-Union), Saarbuckenheim (Sarre-Union)	7.08686	48.93919	0	-1.0433989804510517	0.21029117765510083
Keskastel	7.04339	48.96955	1	-0.06369724983163591	0.03330315566954744
Schopperten	7.05316	48.94524	2	0.9160044807877799	-0.2695018399599123
Harskirchen	7.0389	48.93409	2	0.9160044807877799	-0.3058727662703067
Dehlingen	7.19095	48.98016	1	-0.06369724983163591	0.0007346550498421774
Bütten (Butten)	7.2205	48.97095	0	-1.0433989804510517	0.017354796305544328
Ratzweiler (Ratzwiller)	7.23978	48.95501	0	-1.0433989804510517	0.11512369810216233
Lorenzen (Lorentzen)	7.1752	48.95249	2	0.9160044807877799	-0.3566700994944869
Diemeringen	7.18685	48.94061	1	-0.06369724983163591	0.012605317601093236
Mackweiler (Mackwiller)	7.17502	48.9258	0	-1.0433989804510517	0.2976832949965857
Waldhambach	7.21529	48.92578	1	-0.06369724983163591	0.008532377826343413
Rosteig	7.33838	48.9327	0	-1.0433989804510517	0.07784525904557442
Wingen (Wingen-Sur-Moder)	7.38129	48.91753	0	-1.0433989804510517	0.10144448591112361
Reipertsweiler (Reipertswiller)	7.46373	48.93214	1	-0.06369724983163591	-0.0015135141410702897
Oberbronn	7.6082	48.94109	1	-0.06369724983163591	-0.009354057637821735
Bad-Niederbronn (Niederbronn-Les-Bains), Niederbronn (GID von Niederbronn les bains), Bad-Niederbronn (Niederbronn-Les-Bains)	7.64282	48.95108	0	-1.0433989804510517	-0.08078056488850932
Reichshofen (Reichshoffen)	7.66338	48.93223	0	-1.0433989804510517	-0.025372425240240352
Lembach-Pfaffenbronn (Pfaffenbronn) 	7.83111	48.99355	3	1.8957062114071956	0.02961514386599671
Mattstall	7.7613	48.98757	0	-1.0433989804510517	0.04706205519620906
Lampertsloch	7.81713	48.95698	2	0.9160044807877799	0.010264508161964982
Mitschdorf	7.78435	48.9524	0	-1.0433989804510517	0.0655752916664225
Görsdorf (Goersdorf)	7.76782	48.95111	0	-1.0433989804510517	0.04859528208316977
Preuschdorf	7.80425	48.9435	2	0.9160044807877799	-0.25469588464115717
Merkweiler (Merkwiller-Pechelbronn)	7.82707	48.93886	0	-1.0433989804510517	-0.09490387088704268
Diefenbach (Dieffenbach-Lès-Woerth)	7.77425	48.93532	1	-0.06369724983163591	0.010048883166439529
Oberdorf-Spachbach	7.75696	48.92512	0	-1.0433989804510517	0.05126296348833756
Wört (Woerth)	7.74374	48.93677	0	-1.0433989804510517	0.027100157531157437
Fröschweiler (Frœschwiller)	7.72171	48.94318	1	-0.06369724983163591	0.0035855654589138585
Nehweiler (Nehwiller)	7.70322	48.96072	5	3.855109672646027	-0.770736187074106
Langensulzbach (Langensoultzbach), Langensulzbach (Langensoultzbach)	7.73367	48.96812	1	-0.06369724983163591	0.006527980957919245
Riedselz (Riedseltz)	7.95195	48.99281	2	0.9160044807877799	0.34290334125304756
Bremmelbach	7.90023	48.986	2	0.9160044807877799	0.2614564534763327
Ingolsheim	7.93636	48.97357	1	-0.06369724983163591	-0.021289102929355038
Oberseebach	7.98947	48.9672	1	-0.06369724983163591	-0.036360897466684465
Hunspach	7.94316	48.9536	1	-0.06369724983163591	-0.021722372639015906
Aschbach	7.98262	48.93423	3	1.8957062114071956	0.8348305094173282
Stundweiler (Stundwiller)	7.99256	48.92477	2	0.9160044807877799	0.44390312201683885
Leitersweiler (Leiterswiller)	7.94768	48.92407	1	-0.06369724983163591	-0.016177365481537736
Hofen (Hoffen)	7.9412	48.92766	1	-0.06369724983163591	-0.014444487017431291
Kühlendorf (Kuhlendorf) und Hohweiler, Kühlendorf (Kuhlendorf) und Hohweiler, Kühlendorf (Kuhlendorf)	7.92307	48.91408	1	-0.06369724983163591	-0.013836842036177027
Hermersweiler (Hermerswiller)	7.91205	48.93588	3	1.8957062114071956	0.3487088710507543
Schönenburg (Schoenenbourg)	7.91332	48.95207	3	1.8957062114071956	0.4973897684499155
Sulz u. (f) (Soultz-Sous-Forêts)	7.88268	48.93782	0	-1.0433989804510517	-0.22125796701057773
Kutzenhausen	7.85624	48.93375	0	-1.0433989804510517	-0.004884826623026189
Retschweiler (Retschwiller)	7.87838	48.95025	2	0.9160044807877799	0.10034196505010978
Memmelshofen (Memmelshoffen)	7.87106	48.96013	1	-0.06369724983163591	-0.010115054374264293
Keffe ch	7.88225	48.96489	2	0.9160044807877799	0.10034196505010978
Birlenbach	7.8829	48.9763	0	-1.0433989804510517	-0.22125796701057773
Drachenbronn	7.87037	48.98626	1	-0.06369724983163591	-0.010115054374264293
Lobsann	7.84681	48.96327	0	-1.0433989804510517	-0.06501819511419363
Oberkutzenhausen	7.84049	48.93847	2	0.9160044807877799	0.06642029194698501
Zollingen	7.07636	48.91048	1	-0.06369724983163591	0.00559797763582317
Pisdorf (Bischtroff-sur-Sarre)	7.06995	48.9005	0	-1.0433989804510517	-0.012889315418794657
Burbach	7.11226	48.90144	1	-0.06369724983163591	0.003943337710792396
Berg	7.1532	48.89487	2	0.9160044807877799	-0.0971181667681512
Güngweiler (Gungwiller)	7.15771	48.88171	2	0.9160044807877799	-0.12731914646869308
Eyweiler (Eywiller)	7.13172	48.8709	0	-1.0433989804510517	-0.09695074668403239
Eschweiler (Eschwiller)	7.11652	48.8596	1	-0.06369724983163591	-0.00485942347071118
Weyer	7.15976	48.85488	0	-1.0433989804510517	0.04891987799607677
Bärendorf (Baerendorf)	7.08463	48.83742	0	-1.0433989804510517	-0.011891090585544942
Wolfskirchen, Wolfskirchen	7.07612	48.87884	1	-0.06369724983163591	-0.002762250896262287
Diedendorf	7.04974	48.87869	0	-1.0433989804510517	-0.051026866133979096
Puberg	7.31461	48.91322	0	-1.0433989804510517	0.31425446789458916
Hinsburg (Hinsbourg)	7.28852	48.90706	2	0.9160044807877799	-0.22631481493434952
Frohmühl (Frohmuhl)	7.28007	48.90754	2	0.9160044807877799	-0.16846209130236298
Weislingen	7.25159	48.91879	2	0.9160044807877799	-0.18070511880345724
Tieffenbach	7.24987	48.90483	1	-0.06369724983163591	0.00839517644564879
Strut (Struth)	7.25475	48.89009	0	-1.0433989804510517	0.15992444077882112
Petersbach	7.26874	48.86912	1	-0.06369724983163591	0.013564971424298546
Lützelstein (La Petite-Pierre)	7.32076	48.85864	0	-1.0433989804510517	0.14002893034945563
Adamsweiler (Adamswiller)	7.20348	48.90463	0	-1.0433989804510517	-0.006662223688355695
Dürstel (Durstel)	7.19745	48.89156	3	1.8957062114071956	-0.037075513745924306
Bettweiler (Bettwiller)	7.17993	48.88617	0	-1.0433989804510517	0.12163720161093942
Aßweiler (Asswiller)	7.2198	48.88035	2	0.9160044807877799	-0.06889334544457036
Drulingen	7.18979	48.8662	1	-0.06369724983163591	0.00019126667675475547
Ottweiler (Ottwiller)	7.23096	48.86516	0	-1.0433989804510517	-0.027528467536344133
Lohr	7.24351	48.85748	0	-1.0433989804510517	0.0011770253477019555
Sieweiler (Siewiller)	7.20676	48.84318	2	0.9160044807877799	0.032871507009195694
Berg, Rexingen	7.17654	48.90012	1	-0.06369724983163591	0.01401816795336467
Lichtenberg	7.48181	48.9216	2	0.9160044807877799	-0.007671758724189076
Wimme u	7.41957	48.91035	4	2.875407942026611	-0.8538694798000418
Zittersheim	7.34551	48.89955	0	-1.0433989804510517	0.05410196790178057
Erkartsweiler (Erckartswiller)	7.3596	48.87532	0	-1.0433989804510517	0.027289042177546054
Sparsbach	7.41533	48.87754	1	-0.06369724983163591	0.009950976806875693
Weinburg (Weinbourg)	7.44029	48.87157	0	-1.0433989804510517	0.09687349821437345
Ingweiler (Ingwiller)	7.48031	48.87322	3	1.8957062114071956	-0.28294064286732357
Menchhofen (Menchhoffen), Menchhofen (Menchhoffen)	7.49498	48.85955	0	-1.0433989804510517	0.09318613515444238
Uttweiler (Uttwiller)	7.48667	48.84591	0	-1.0433989804510517	0.09525553565918314
Niedersulzbach (Niedersoultzbach)	7.4662	48.84923	1	-0.06369724983163591	0.00871596261967633
Obersulzbach (Obersoultzbach)	7.45013	48.85174	0	-1.0433989804510517	0.11764307497678743
Weitersweiler (Weiterswiller)	7.41341	48.85298	1	-0.06369724983163591	0.009985498037213499
Zinsweiler	7.59018	48.9196	0	-1.0433989804510517	0.1332327077967102
Offweiler, Offweiler	7.54296	48.91021	1	-0.06369724983163591	0.003342446235069717
Rotbach	7.52883	48.90568	0	-1.0433989804510517	0.1107496592765149
Bischholz	7.53995	48.89301	0	-1.0433989804510517	0.03883937524350397
Mühlhausen	7.5527	48.88226	2	0.9160044807877799	-0.08414374566765762
Uhrweiler (Uhrwiller)	7.57892	48.8784	0	-1.0433989804510517	0.06768113095226519
Engweiler	7.61501	48.88508	2	0.9160044807877799	-0.08848738781915999
Gumbrechtshofen	7.6319	48.90544	3	1.8957062114071956	-0.21802900025036137
Gundershofen	7.6592	48.90652	1	-0.06369724983163591	0.002786129027688622
Mietesheim	7.63837	48.87814	2	0.9160044807877799	0.013335761825122099
Bitschhofen	7.61913	48.85878	2	0.9160044807877799	-0.1436208338683594
Überach (Uberach)	7.62806	48.84844	2	0.9160044807877799	-0.0828885760410851
Pfaffenhofen, Pfaffenhofen -Volksberg	7.60881	48.84422	2	0.9160044807877799	-0.06948793972031836
Kindweiler	7.59731	48.86227	1	-0.06369724983163591	0.00969396199236683
Zutzendorf	7.54972	48.85428	0	-1.0433989804510517	0.12251772741870479
Schillersdorf	7.52526	48.87312	1	-0.06369724983163591	0.008124896459528762
Obermodern	7.53932	48.84466	2	0.9160044807877799	-0.13973610217565804
Eberbach 	7.71711	48.91154	1	-0.06369724983163591	0.009318096743814924
Forstheim	7.71468	48.89506	1	-0.06369724983163591	0.0052493610712155804
Morsbronn (Morsbronn-Les-Bains)	7.74283	48.90037	3	1.8957062114071956	-0.2923443915314282
Hagenheim (Hegeney)	7.74557	48.89153	2	0.9160044807877799	-0.13285256584870322
Biblisheim	7.79196	48.89991	0	-1.0433989804510517	0.06232215176876115
Walburg (Walbourg)	7.78939	48.88652	1	-0.06369724983163591	0.00886329332583946
Eschbach	7.73641	48.87453	1	-0.06369724983163591	0.004956073320377233
Laubach	7.72032	48.88168	0	-1.0433989804510517	-0.07633961504485286
Merzweiler (Mertzwiller)	7.67936	48.86259	1	-0.06369724983163591	-0.0067988984290839145
Griesbach	7.67856	48.89026	0	-1.0433989804510517	0.039056953394908896
Reimersweiler	7.88417	48.9137	1	-0.06369724983163591	-0.005459662699475364
