Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Dambach	7.63179	49.00256	2	0.579173955242239	0.02491382792448732
Obersteinbach	7.69364	49.03549	2	0.579173955242239	0.014280542722592968
Niedersteinbach	7.71501	49.0295	0	-0.7832733848769967	-0.04148335561661096
Wingen	7.81729	49.02601	2	0.579173955242239	-0.05257954924555866
Lembach	7.78942	49.00701	0	-0.7832733848769967	0.021164176891994686
Weißenburg-Weiler	7.91271	49.0377	4	1.9416212953614747	-0.3236190239932443
Weißenburg (Wissembourg)	7.9521	49.03733	0	-0.7832733848769967	0.03426511019859384
Altenstadt	7.96964	49.03158	1	-0.10204971481737883	0.010445435783935442
Rott	7.91304	49.02495	3	1.260397625301857	-0.24656477238132635
Steinselz (Steinseltz)	7.93035	49.0109	0	-0.7832733848769967	0.15919611085717586
Kleeburg (Cleebourg)	7.89318	49.00093	0	-0.7832733848769967	0.178341009918066
Klimbach (Climbach)	7.85041	49.01803	0	-0.7832733848769967	0.17478969559817592
Altweiler (Altwiller)	6.98122	48.93023	0	-0.7832733848769967	-0.06422343187342013
Örmingen (Oermingen)	7.12881	49.00062	0	-0.7832733848769967	-0.23824722725247283
Völlerdingen (Voellerdingen)	7.14098	48.9622	0	-0.7832733848769967	-0.17666572127053143
Domfessel	7.15171	48.95143	2	0.579173955242239	-0.15031506244599485
Rimsdorf	7.12568	48.92923	3	1.260397625301857	-0.06846201114443878
Saarwerden (Sarrewerden)	7.08411	48.9218	2	0.579173955242239	-0.013480824409053523
Saarbuckenheim (Sarre-Union), Saarbuckenheim (Sarre-Union)	7.08686	48.93919	0	-0.7832733848769967	0.040159899832477586
Keskastel	7.04339	48.96955	0	-0.7832733848769967	-0.20336834281032887
Schopperten	7.05316	48.94524	2	0.579173955242239	-0.08516313116983124
Harskirchen	7.0389	48.93409	1	-0.10204971481737883	0.008186887788863244
Dehlingen	7.19095	48.98016	2	0.579173955242239	-0.08744943015622614
Bütten (Butten)	7.2205	48.97095	3	1.260397625301857	-0.2706300839904192
Ratzweiler (Ratzwiller)	7.23978	48.95501	0	-0.7832733848769967	0.17212747485961252
Lorenzen (Lorentzen)	7.1752	48.95249	0	-0.7832733848769967	0.19229268302382146
Diemeringen	7.18685	48.94061	0	-0.7832733848769967	0.1835612722746351
Mackweiler (Mackwiller)	7.17502	48.9258	0	-0.7832733848769967	0.16703164714625576
Waldhambach	7.21529	48.92578	2	0.579173955242239	-0.134538566488089
Rosteig	7.33838	48.9327	1	-0.10204971481737883	0.020574743405713847
Wingen (Wingen-Sur-Moder)	7.38129	48.91753	0	-0.7832733848769967	0.08613571200970783
Reipertsweiler (Reipertswiller)	7.46373	48.93214	1	-0.10204971481737883	0.004350141972182686
Oberbronn	7.6082	48.94109	2	0.579173955242239	-0.014710448634776595
Bad-Niederbronn (Niederbronn-Les-Bains), Niederbronn (GID von Niederbronn les bains), Bad-Niederbronn (Niederbronn-Les-Bains)	7.64282	48.95108	0	-0.7832733848769967	-0.21341490249119902
Reichshofen (Reichshoffen)	7.66338	48.93223	0	-0.7832733848769967	-0.12850718613077372
Lembach-Pfaffenbronn (Pfaffenbronn) 	7.83111	48.99355	1	-0.10204971481737883	0.02025648073487326
Mattstall	7.7613	48.98757	0	-0.7832733848769967	-0.056671897736952546
Lampertsloch	7.81713	48.95698	1	-0.10204971481737883	0.012313108919891855
Mitschdorf	7.78435	48.9524	1	-0.10204971481737883	-0.0031561160228365625
Görsdorf (Goersdorf)	7.76782	48.95111	0	-0.7832733848769967	-0.038220932896821186
Preuschdorf	7.80425	48.9435	0	-0.7832733848769967	0.0683013078334563
Merkweiler (Merkwiller-Pechelbronn)	7.82707	48.93886	0	-0.7832733848769967	0.14459233596174215
Diefenbach (Dieffenbach-Lès-Woerth)	7.77425	48.93532	1	-0.10204971481737883	0.0027194613269905413
Oberdorf-Spachbach	7.75696	48.92512	0	-0.7832733848769967	0.011258802413463588
Wört (Woerth)	7.74374	48.93677	0	-0.7832733848769967	-0.02510427281893423
Fröschweiler (Frœschwiller)	7.72171	48.94318	4	1.9416212953614747	0.02022106452930824
Nehweiler (Nehwiller)	7.70322	48.96072	3	1.260397625301857	0.11197894677390187
Langensulzbach (Langensoultzbach)	7.73367	48.96812	3	1.260397625301857	-0.0005168863536113001
Riedselz (Riedseltz)	7.95195	48.99281	2	0.579173955242239	-0.17947780087683612
Bremmelbach	7.90023	48.986	0	-0.7832733848769967	0.19858445537692015
Ingolsheim	7.93636	48.97357	1	-0.10204971481737883	0.03008919606543691
Oberseebach	7.98947	48.9672	0	-0.7832733848769967	0.1984156122524962
Hunspach	7.94316	48.9536	1	-0.10204971481737883	0.03604930887067699
Aschbach	7.98262	48.93423	1	-0.10204971481737883	0.034050818472003294
Stundweiler (Stundwiller)	7.99256	48.92477	1	-0.10204971481737883	0.03875591569040239
Leitersweiler (Leiterswiller)	7.94768	48.92407	0	-0.7832733848769967	0.36090638793538693
Hofen (Hoffen)	7.9412	48.92766	0	-0.7832733848769967	0.3098369288698826
Kühlendorf (Kuhlendorf) und Hohweiler, Kühlendorf (Kuhlendorf)	7.92307	48.91408	0	-0.7832733848769967	0.33928009012128846
Hermersweiler (Hermerswiller)	7.91205	48.93588	0	-0.7832733848769967	0.23180964513435207
Schönenburg (Schoenenbourg)	7.91332	48.95207	0	-0.7832733848769967	0.1999683287501307
Sulz u. (f) (Soultz-Sous-Forêts)	7.88268	48.93782	0	-0.7832733848769967	0.23477759495270462
Kutzenhausen	7.85624	48.93375	0	-0.7832733848769967	0.3100975154236321
Retschweiler (Retschwiller)	7.87838	48.95025	0	-0.7832733848769967	0.23211970408608096
Memmelshofen (Memmelshoffen)	7.87106	48.96013	0	-0.7832733848769967	0.21888639474462704
Keffenach	7.88225	48.96489	3	1.260397625301857	-0.437909376078573
Birlenbach	7.8829	48.9763	0	-0.7832733848769967	0.23477759495270462
Drachenbronn	7.87037	48.98626	2	0.579173955242239	-0.18157799082371104
Lobsann	7.84681	48.96327	2	0.579173955242239	-0.1876700606997696
Oberkutzenhausen	7.84049	48.93847	0	-0.7832733848769967	0.1983623922172427
Zollingen	7.07636	48.91048	1	-0.10204971481737883	0.0027772385258197116
Pisdorf (Bischtroff-sur-Sarre)	7.06995	48.9005	0	-0.7832733848769967	-0.07083674302457633
Burbach	7.11226	48.90144	1	-0.10204971481737883	-0.001311613942425717
Berg	7.1532	48.89487	1	-0.10204971481737883	0.018660302318992187
Güngweiler (Gungwiller)	7.15771	48.88171	1	-0.10204971481737883	0.02124659898921184
Eyweiler (Eywiller)	7.13172	48.8709	0	-0.7832733848769967	0.03715183396074351
Eschweiler (Eschwiller)	7.11652	48.8596	0	-0.7832733848769967	-0.061772125252347876
Weyer	7.15976	48.85488	3	1.260397625301857	-0.3943723247655496
Bärendorf (Baerendorf)	7.08463	48.83742	1	-0.10204971481737883	-0.009846885767673756
Wolfskirchen, Wolfskirchen	7.07612	48.87884	0	-0.7832733848769967	0.01880912334841636
Diedendorf	7.04974	48.87869	6	3.3040686354807103	-0.7710575810513551
Puberg	7.31461	48.91322	0	-0.7832733848769967	0.17375265294727016
Hinsburg (Hinsbourg)	7.28852	48.90706	3	1.260397625301857	-0.3630551082356821
Frohmühl (Frohmuhl)	7.28007	48.90754	0	-0.7832733848769967	0.14303631796887395
Weislingen	7.25159	48.91879	0	-0.7832733848769967	0.14627923273731241
Tieffenbach	7.24987	48.90483	3	1.260397625301857	-0.370578053531686
Strut (Struth)	7.25475	48.89009	0	-0.7832733848769967	0.1921150629927656
Petersbach	7.26874	48.86912	1	-0.10204971481737883	0.04521718642323964
Lützelstein (La Petite-Pierre)	7.32076	48.85864	0	-0.7832733848769967	0.15579496049357003
Adamsweiler (Adamswiller)	7.20348	48.90463	0	-0.7832733848769967	0.12039601315375177
Dürstel (Durstel)	7.19745	48.89156	0	-0.7832733848769967	0.08764503595041849
Bettweiler (Bettwiller)	7.17993	48.88617	0	-0.7832733848769967	0.1590013158165275
Aßweiler (Asswiller)	7.2198	48.88035	0	-0.7832733848769967	0.1339471055677372
Drulingen	7.18979	48.8662	1	-0.10204971481737883	0.021012421152165867
Ottweiler (Ottwiller)	7.23096	48.86516	0	-0.7832733848769967	0.2471541487801317
Lohr	7.24351	48.85748	0	-0.7832733848769967	0.21336088311720777
